,0
449,The hotel was really beautiful - a holiday in itself.  Everything is spotless and luxurious.  The beds are very comfy and the rooms are spacious and sumptuous.  Pay for a view room and ask for a high floor to see the city lights.  Allow time in your trip to spend in the hotel as it is huge and worth exploring.
450,"Although its a large hotel, they got us through check in and check out quickly, efficiently and, most importantly, with a smile.  Excellent  and very glamorous facilities.  The suites were amazing and so comfortable!  This is a hotel that works very hard to make sure their guests are well catered for and have a great time.  The final check out with the wonderful Sylvia ensured we left wanting to come back!  It far outshines the dated money-grabbing Bellagio - well done!"
451,My husband and I were ending a two week driving trip through the Western Natinal Parks. The Venetian was the perfect end!  We upgraded to a king suite that was extremely spacious and comfortable. We had a relaxing two days before driving home to San Francisco.
452,The room was nice staff was good
453,This hotel is truely enormous. Incredible decor. Overwhelming.  Were there three days and still got lost. Excellent facilities. Centrally located on strip but also take the time to go downtown to Fremont Street for a totally different experience and atmosphere.
454,"You didn't even need to leave the Venetian everything right there!
Thank you"
455,good size room
456,"The rooms were luxurious and everything we could wish for.  Really beautiful rooms.
We had a great check-in, a lot of guests arriving but we moved quickly.
Pool complex on the 4th Floor provides a vista of the city, Saint Mark's in the background.  Plenty sunbeds, towels, supportive staff, friendly conversational lifeguards
Huge choice of restaurants, Otto's for lively and atmospheric openers, CUT for formal dinner and exquisite meal.  Great shopping variety, great walks through to The Palazzo.
The television-based account and room check-out system offers an efficient alternative to the Guest Reception on peak times. very good innovation.
Indoor Gondola experience perfect.  Our first stay at The Venetian, everyone helped and supportive."
457,"Venetian have bigger room compare to  other hotels on strip , one of the biggest casino."
458,"The receptionist was really nice and upgraded us to a larger suite (free of charge) as we were tired and only had one night to stay- he wanted us to have a 'good night :)'- great service.
The suite was enormous and beautifully designed and quiet as we requested. We got a great nights sleep with a very comfortable bed.
Very easy acess to the rest of the hotel and restruants and shops."
459,The supervisor offered us an upgrade to the top floor of the property at a discounted rate.
460,"The hotel is so impressive the room was wonderful, the furnishings were beautiful and everything was very clean. So many things to do and see in the complex alone before stepping a foot outside! Lovely shops and restaurants. A real must if you like luxury and want to be spoilt."
461,The hotel was nice and felt very clean ! All the staff was nice and very helpful. There were a lot of great shops in the hotel as well.
462,"Enjoyed the spa & the room was very nice. 
La Bouchon is top notch."
463,The rooms are superbig. The beds are very comfortable.
464,"The suites are huge and luxurious, what you would expect of a hotel of this calibre.  Beds and linen to die for.The pool areas are immaculate, and nice fluffy towels are provided.  The shopping area is huge. The canal, and surrounding areas, ""St Mark's Square"" etc, are just stunning.  It is hard to imagine you are indoors, the way they have done the starry sky is very, very clever.  The most impressive hotel we saw during our stay, by far."
465,"We LOVED this hotel, ended up extending stay for extra night. Facilities were excellent, location was exactly what we needed, rooms were huge! Great value for money! Happy hours in the hotel brasserie were delicious too! Wifi was quick and always to hand. Pools are amazing and there is something for everyone! Cameron and Terri on the check in/out des deserve a special mention. SO helpful, well mannered and welcoming!"
466,"Immaculate hotel as expected, we didn't have breakfast so cannot comment on that. Pool choices and privacy were well appreciated, along with the shopping mall connected."
467,"The room was superb, spacious, very comfortable bed, lovely bathroom, just lovely. The hotel is simply sumptuous."
468,Huge amount of facilities & location.
469,The suite was palacial & very comfortable. The view was fantastic!
470,"The suites are huge, there's a minimum of three TV's per suite! The dining area was really nice with the great view. Comfy beds with lots of pillows. The bathroom was awesome."
471,"The room space was amazing more like a 7 star hotel with TV's everywhere even in thr bathroom
The location was perfect near to all attractions"
472,"The rooms were unbelievably beautiful.  The location great and the bed was so comfortable I would like to have it at home.
The staff were very helpful and friendly.
The Bouchon restaurant had good food, and pool on the 10th floor was very tranquil."
473,"Ate at the B and B our service was beyond excellent . Helen was wonderful explaining everything. We had a fantastic meal . The room was cleaner than clean . We enjoyed our stay sorry we couldn't stay longer , but plan to return in the future ."
474,"food, shopping, it's beautiful and sparkly clean.  Staff are very nice and smiley and very helpful.  It's a fantastic hotel"
475,"Great experience, large and comfortable room. Lots of restaurants and a unique experiece"
476,Everything was good; we have been provided with late check out and staff were very helpful
477,"Accommodations excellent. Enjoyed eating at the Grand Lux.  Enjoyed the circular casino bar.  Excellent restaurants available.  Will indulge next trip.  Will also enjoy poolside next visit, pending itinerary."
478,"Wonderful suit, best value for money"
479,"Room was nice & spacious
Housekeeping were really nice"
480,"Room is really big, bathroom is awesome, there are about 10 pools, spa and lots of shops and restaurants. You may never leave the hotel if you want!"
481,Hotel Location on the strip & size of room
482,Huge room.  It really felt like I was staying somewhere with class.
483,Location.
484,"Loved this hotel - stayed in many and overall this was the favorite.  
When you first walk in, you feel 'Wow' right away.  The staff makes everybody feel like royalty.  They are helpful and fast and so good at their jobs - they make the stay here extra special.  
All staff wonderful,  desk, housekeeper, dining.  
All top notch.  And the concierge floor made a big difference !  Would def say you should get that Upgrade - it is floor 23. 
That was a wonderful perk.   The apps were delightful and area is so sophisticated and fun.  
In the room - amazing rooms.  Loved the dream machine night time ocean sound maker - slept so very well.   Views were wonderful.  
These beds were like clouds - never wanted to get out of the beds!"
485,"This was our final stop on a fairly energetic tour of California. We decided to treat ourselves the Venetian. It was great, easily the best hotel in Vegas as far as I can see."
486,"The staff are very helpful,polite and friendly .The hotel is always spotlessly clean.The buffet breakfast at the restaurant is very good value with plenty of options."
487,"Great hotel to feel the spirit of Las Vegas in the very heart of the gambling city. Too big, too crowded but you feel yourself just in the center of everything. You may spend the whole day in this hotel as it has everything in it - SPA, swimming pools, casino, shopping center, variery of restaurants. Spacious rooms with comfortable furniture and excellent views. Good location near the shopping mall."
488,"Good location and interesting hotel.  It is a huge complex with various restaurants scattered around, the ones we visited were good.  Bedrooms are big and comfortable and also quiet apart from a parent playing with a screaming child in the corridor late at night. Good swimming pools"
489,"Suites were very comfortable and high quality.
Staff went above and beyond
Facilities were second to none.
A good variety of restaurants
Entertainment everywhere."
490,"I loved the Venetian. Excellent hotel and has all the facilities under the sun. The staff were friendly, Casino was great, bars and restaurants are excellent (especially Delmonicos steakhouse!) I can't wait to go back! Everyone should stay at The Venetian!"
491,Beds super comfortable. Suite superb.  Good choice of restaurants and fast food outlets in the complex along with one of the best casinos on the strip.      Vegas is Vegas baby......   What can I say.  Ha ha
492,"Excellent location with great shops, restaurants and shows. Beautiful pool complex with both quiet areas or high energy music from TAO. The Italian theme with gondolas and performers in the square provide a wonderful ambience for walking, shopping, dining, watching street performers or just some gelato!"
493,"Excellent customer service, especially the manager 'Emily' on the front desk. She was very empathetic and helpful and offered personal assistance throughout our stay.
Very comfy beds, interconnecting, large suites, exceptionally clean, good security, a fabulous resort. We will definitely stay here again, next time we visit Las Vegas!!!!"
494,"it has all you need, it is a great location and the rooms were huge. You almost don't need to leave the hotel."
495,"The canal
Shops 
Restaurant"
496,"Great staff. Always ready to help. Immediate assistance and free supplies ""for the road"" when a member of the party twisted their ankle."
497,"Location great; right at the strip
Experience great; if you are going to Vegas it is this one or the Bellagio
Restaurants great and many (and normally priced)
Parking free with great vallet staff (do not forget to tip them)"
498,"From our explorations of most of the hotels on the strip the Venetian / Palazzo is probably the best / most beautiful / flashy. Interior is unbelievable. Room was palatial. Access to so many diverse pools was great for kids. Very helpful staff. Brilliant for kids, car parking included."
499,"This hotel room was like an apartment! It was awesome! We had a view of the strip, the room was clean and comfortable. There was a tv in the living room, the bedroom, and the bathroom! Next to the bed on both sides were plugs at table height for charging phones which makes excellent sense!"
500,"I took my wife for her birthday at the Venetian.  We fell in love with the suite, but she fell in love with the bathtub. All she talked about was wanting one at our house. We wanted to make time for the pool but couldn't make it.  But the restaurants The Yard bird and The B&B burger served food that was delicious and well worth the wait."
501,"High luxurious hotel, a lot of marble finishs inside, very big and connected to the canal shopping mall through internal bridge, the room is spacious and very comfortable, big bathroom, despite the building looks old but it is well maintained"
502,good location and facility
503,Huge room with comfortable bed. Very helpful staff at front desk check in/ out. Well equipped gym.
504,The whole stay was amazing.. I won't stay anywhere else from now on when I come to Vegas. I was even upgraded because the facility was full and I have to say I couldn't be happier with my experience
505,"Nice stay in Las Vegas. The canal and plazza with all the restaurants and shops are really great, create a Venice atmosphere. The suite was spacious and luxury."
506,"Suite was wonderful, luxurious. All staff was incredibly friendly ."
507,"Spacious room, hotel interior and big bathroom"
508,"I liked the suite. It's spacious well arranged. Well thought through.
I liked the bathroom. It is also spacious. The bathtub fills out fairly quickly.
Bedsheets were clean.
The shopping center attached to the resort is marvelous, you really don't need to step out of the resort because you got varieties of shops and dining."
509,"Everything is here in the hotel, so much here to see and do. Fantastic room very very comfortable bed"
510,Everything good.
511,"Everything. Staff fantastic, nothing a problem. One of the cleanest hotel I have stayed in as always seeing staff clean and dust the hotel. Great atmosphere."
512,"Liked everything!! 
On check in the girl Katherine who checked us in ensured we were incredibly well looked after. The suite was absolutely amazing. Much appreciated. 
Food in any of the restaurants was lovely. 
Booked a helicopter tour through hotel services, again great deal and an excellent trip."
513,A huge hotel with lots of facilities. The restaurants and shops were good . Great location to explore the Strip
514,"The staff was super friendly and helpful.
Big hotel with everything in it."
515,Guest room area was impeccably clean. Central location.
516,"- spacious room
- luxury hotel
- free parking
- canal shoppes is an attraction
- enough restaurants in the hotel with good quality and reasonable price"
517,The sunken living room provided the extra space for a family. The location was close enough to the strip but far enough to avoid the noise at night.
518,"The suite was amazing, the bed was so comfortable, and the bath and shower room was large and excellent, The pools the hotel had were great, and the choice of places to eat and spa treatments were excellent."
519,"Lovely comfortable and clean suite with comfortable beds.friendly,efficient staff.
Location is excellent and pool areas are first class."
520,"Beautiful hotel , fantastic location, felt save staying here ,it's worth paying that extra bit , believe me you won't regret it"
521,"It was a beautiful hotel and room, very spacious with lots of amenities which made the price of staying there for a few days much more worth it! Security in the upper levels to try and keep out riff-raff and the gym was enormous with every machine you can think of and then some!"
522,"Everything, everything there was just perfect. The room is incredible, with a great view to the pool.  The amenities were on point,  food was great, really felt welcomed."
523,The bed extra comfy and housekeeping ladies were lots of help and very nice.
524,"Stunning beautiful hotel, many shops and restaurants. Current exchange rate means things are pricey, but you get what you pay for, superb hotel!!!!!"
525,Very nice hotel and pools.  Everything else is extra like fridge in room or coffee in room.  Security made you feel secure
526,"Great location, huge comfortable rooms, amazing gym, tonnes of food options downstairs and very polite staff."
527,The Venetian is the # 1 destination In Vegas !! Great staff beautiful surroundings we had a fabulous stay !'
528,"Check in was so easy and when I checked out, I was able to store my bags and use the hotel facilities all day until I needed to leave. Everyone was very friendly and helpful. The suite I stayed in was amazing and great value."
529,"Bed was comfortable down pillows
Room was clean and spacious
Wide screen Tvs in living room
And bedroom"
530,Room was spacious.  Good location
531,The rooms are really large and comfortable
532,"Room service was great, standard rooms are huge, bathroom was equally as big."
533,Size of the room was larger than expected which accommodated our family of 4 very well. Everything was pretty much walking distance so the location is excellent. Dining at the hotel was extraordinary - every option available.
534,"GREAT CENTRAL  LOCATION CLOSE TO  SHOPPING CENTERS AND CITY ATTRACTIONS,BIG AND COMFORTABLE ROOM ,AMAZING VIEW FROM THE 24 th FLOOR ."
535,We were upgraded to a suite with a view which was stunning. The entry foyer is amazing and the shopping area looks like an Italian village complete with gondola rides.
536,"Everything 
Will definitely come back to the Venetian"
537,"Our suite had an amazing view of the strip and the mountains.  The bed was extremely comfortable and we had a luxurious marble bathroom.  There were many restaurants, we tried Grand Lux Cafe and Tao, both were excellent.   We booked Tao for dinner on a Saturday night, fabulous food, impeccable service, DJ playing great music, buzzing atmosphere."
538,Beds were amazing as was the room! Amazing value for money! Hotel had so much to offer all under one roof! Location was perfect!
539,Good location
540,"We loved the whole experience we are from Australia and it this Hotel was luxury. We loved the Gondola ride the indoor Piazza music shops and restaurants, the room was very nice and big it was clean the bed comfortable the view amazing the pool areas were great. This Hotel was amazing we highly recommend this to people."
541,"Rooms were fabulous, large, well equipped. Housekeeping thorough."
542,Very nice hotel. A lot of shops!
543,"Great location
Staff very responsive
Big rooms
Good value"
544,"Most staff excellent, a couple were downright rude. Pools beautiful but really difficult to get a sun lounger with a little shade. Room security appeared excellent but found drunk party goer sleeping on sofa by lifts one morning - probably OK, but in this day and age,  who knows?"
545,This is an amazing hotel and the room was fantastic. The facilities were great and the pools were great.
546,"While staying for the four nights, the stay was marvelous. From checking in to checking out, the complete stay was very smooth and fun. If I needed any help, the employees did not hesitate to help me with any questions that I had. There was no noise outside of the suite, which was great!"
547,The room is spacious & the bed is comfy
548,"I can say ,It's more less you can call the new hotel and it has nice shopping area and clean suite's, it's ok not bad..."
549,"Upgraded to a nicer suite, location was great, many dining and entertainment options, shopping"
550,It's the most luxurious Room I've ever stayed in. It has remote control blinds and drapes! The beds were super comfortable
551,"Room was excellent, staff friendly. Great location if you want to be on the strip."
552,We loved the size of the suite they were fantastic and we only had a standard one.
553,"It is an elegant Hotel. Also, it is pleasant, and you can have a good night's sleep because it is triggered for a 25 and up crowd so it is not a wild party type of place. You will party, but it is very distinguished...Their staff is friendly and professional. They have great reataurants, wherher you crave just casual or perhaps fine dining, plus great shopping  and a great ambience. The pool area is amazing! Simply spectacular throughout!"
554,Perfection. Massive rooms of top quality decor and fittings. Immaculate throughout. Ample free undercover parking.
555,Good location very clean and comfortable
556,This is an excellent property in the heart of the strip absolutely beautiful would highly recommend it even with children we upgraded to Royal suite on arrival got a good deal 2 bedroom lounge 3 bathroom even a grand piano !!! Bar! Steam room and gym it was stunning service was great !!
557,"THE BEDS. The Venetian contains the most comfortable beds of all time. Also, this is my favourite Vegas hotel. I love that its a hotel full of suites, means you always have a lot of space, which is hard to come by in a hotel. Yet again another wonderful stay at this hotel. Even made it to the swimming pools this time, and they are also a lovely environment."
558,Loved the huge suite.  Furniture was just beautiful. Bed and Lien were comfortable.  We ate all of our meals at the hotel.  Food was of great quality and value for Vegas. A true 5 star hotel.
559,"The room was amazing, and the bed was just about the most comfortable I've ever slept in. Loved all the shopping and restaurant options in and around the hotel/casino, and the indoor canal was a ton of fun!"
560,"Kudos to the following staff members:
Gilbert (valet to get me over to oversized lot -- you were awesome! Give this guy a raise.), Ron (valet), Carlos (he found my eyeglasses I had dropped after getting bellman to load luggage boat. He returned them to me while I was on-line to check-in. I had realized my loss while on line and went to inform those at the bellman area. I went back on line and Bam! Carlos showed up with the glasses. Thanks!
The bellman Andres was very helpful. 
Joseph at the front desk was very patient, informative and accommodating. A great employee. 
The facilities are so very clean, the bed was awesome and the view was great!
The Lux cafe was a great offer of food later at night, many tasty choices. Delmonicos is first rate. The many shops enable you to not even need to exit the facility. The concierge was great at making my dinner and entertainment arrangements. 
And, of course, a TV in the bathroom makes taking care of your personal necessities a better endeavor."
561,"Not much- wouldn't stay there again. Okay to be fair, the lobby decor is very nice: but it smells of smoke so unless you like smoke- you can't enjoy it."
562,Loved the fact that the property was just north of the evening undesirables and the room was excellent even though we requested a view of the strip but had a great view of the pool area! Not impressed!
563,"Cleanliness, using resort credit and spacious rooms."
564,"- Gorgeous, spacy room
- Our room was on the 33th floor and the view over Las Vegas was wonderful
- Luxurious hotel all in all
- Good location"
565,Wonderful amenities.
566,Staff at the hotel are awesome!! Top class customer service. Excellent job
567,Excellent location. Great suite for a family of 4 at a reasonable price. The staff is welcoming. The food is excellent. Beautiful swimming pool. We had a very nice stay. Thank you.
568,Bed was comfy. Plenty of options for food. Check out was a synch. Room size as great.
569,The room and bathroom are beautiful and the bed was so comfortable.  The hotel is beautiful.  The staff are very attentive and pleasing to customers. The pool deck is top notch. Love this place very much!
570,The room / suite was very spacious as was the bathroom! Everything was clean. Pool area very nice (though crowded!).
571,Every little detail was taken into consideration when building this beautiful hotel and casino. The canal shops are amazing and you must enjoy the gondola ride.
572,"The room was excellent, checkin was swift and very friendly."
573,Property is on the strip which makes easier to walk around and enjoy other locations on the strip
574,"The opulence
The view
The sheer amount of choice on site for food, gambling, entertainment.
Human Nature Jukebox show
Excellent concierge desk"
575,"All the staff was very helpful and kind.
Rooms were large, bright and clean.
Something really positive was free wifi throughout even though the website stated that it was surcharge."
576,"Good location, nice rooms, very good beds."
577,Luxury and clean rooms. The mall bellow has lot to offer for shopping food. On the strip so almost everything was close by
578,Great location and nice indoor facilities
579,The room was very large. We were able to host a small wedding reception prior to going out on the strip!
580,The location is great and the shopping center    Is wonderful
581,Everything Excellent only they need to provide COFFEE MAKER MACHINE in rooms as its not possible to order bed Tea or coffee  early  morning.
582,It's nice and romantic for a couple but I found it rather boring.
583,Beds were comfortable and the staff was friendly! The rooms were awesome as well.
584,"Food is delicious, the surroundings are opulent & gorgeous, staff is friendly & helpful. Pools, pools, pools!"
585,Great location. Great suites. Beds are amazing. wifi is ok. Great service.  Pools are amazing. Fast lifts. Makeup area. Mirrors! Barkerys are excellent.
586,We have not been yet due to my partner done his archilles tendon 😢But the hotel has been great an held our reservations over until he is fit to travel thank you very much and we look forward to comin soon
587,"Beautiful hotel and casino. Very good location on the strip. Great options for shopping, dining and gambling. Will probably stay again."
588,"The staff was friendly and helpful. Check in and out was quick and easy!
Room was very spacious, clean, neat and very comfortable!! 
Location of the hotel was great for checking out the strip for first timers!"
589,The suite we had was fantastic. All the restaurants and fast food places were excellent.  The staff were very helpful. I would definately recommend this hotel. The shops were very good.
590,"We loved the room, the bed, the sunken lounge, the bathroom. It was quiet & clean. The whole experience of staying really exceeded our expectations."
591,Great hotel and service! Room is one of the biggest I've seen on a Standard Room. Great for a nice weekend stay. At the grand canal shoppes you can find all kind of restaurants of any budget.
592,Great features and beautiful decorations! I wish I had a better view but it was still decent since we were on the higher floor.
593,Rooms (suites) are fantastic
594,"Everything was clean, the room was spacious. Could have stayed in the hotel for a week and not seen it all."
595,"Beautiful suites, rooms are big, good location."
596,The location and the typical vegas action...
597,"The room was spacious and well appointed. The bathroom was huge, with separate bath and shower. The staff were excellent, from the room service crew to the valet. 
There are some very good bars and restaurants within the casino/hotel."
598,Big room and nearby CASINO. Give $15 credits.
599,location and design of the hotel is amazing
600,Excellent staff and service - great restaurants
601,"Our room was amazing and very luxurious. The facilities were fantastic and had everything we needed and lots of choice for restaurants and bars. The pool areas were all very different so catered to everyone - some very quiet, some for families with shallow pools and a beach club to party plus they actually had sunbeds free!!"
602,It's like a complete city in itself.the most charming part is the piazza..It feels time has stopped there..beautiful and magical..
603,"Beautiful hotel, beautiful room, excellent facilities and the wonderful Venetian Canal Shoppes area."
604,The suite-style rooms were huge.  It was great having a living room space to relax in.  The bathroom was also huge and well appointed.  The Yardbird restaurant was excellent.  It was one of many highly rated restaurants on the property.
605,"Great pool, great food options and quality"
606,The pool area was great and there is a lot of good restaurants to choose from.
607,"The facilities were excellent
The bed was comfiest we've been in
Staff were helpful and the rooms were kept clean
Upgraded as there for a celebration to a room with a view"
608,"The Venetian is located right in the heart of the strip, close to everything and the bed was super comfy!"
609,Clean and great location on the strip
610,I really enjoyed my stay at the Venetian hotel it was extraordinary stay and will recommend it to all my contacts the rooms and suits are designed in classy way one of the best hotels I stayed in.
611,"The bed was very comfortable ,room size was good bathroom was spacious good location and view was very nice"
612,Room very comfy but a little fridge and coffee making facilities would make it perfect!!!
613,Couldn't fault the hotel. Attention to detail was impressive
614,I
615,"Room was very clean and comfortable. Location was perfect for everything you could want to do in Vegas. We also had plenty to do within the air conditioned hotel when the outside temp got a bit too high! I really recommend this hotel for families, friends or any group wanting a classy, comfortable place to stay that isn't your usual smoke infused trashy-feeling Vegas hotel!"
616,"The room (all rooms are suites)  is just wonderful, one of the biggest rooms I stayed in a hotel.
The hotel has great restaurants, some of the best chefs in the world."
617,Everything here is amazing. The lady who checked us in was especially considerate. She offered us late check out by 2 hours cause she noticed we were checking in late by 4 hours.
618,"good location and cool to have Venice just below you as well as Tao, Vegas' hottest nightclub"
619,"I was beautiful staff was very nice, fast efficient.  Room was comfortable I was very happy with our stay."
620,"Lovely spacious and comfortable room, quite luxurious. Big comfy bed."
621,"Very nice pool. Close to all amenities. Rooms live up to photos on booking.com. Great in house entertainment. Central to everything, great location."
622,"Everything was perfect, from the moment we checked in, the staff were extremely friendly and helpful, the hotel is pure luxury and elegance.  Very comfy queen size beds, good size room, fantastic view of the High Roller.  The casino area was well-lit compared to other hotels. The pool areas could get quite busy but the pool boys always did there best to locate spare sun loungers in the sun for us and the girls were always on hand to bring the cocktails. The location of the Venetian was perfect. Very highly recommended, 5 stars and more, thoroughly enjoyed our stay."
623,"+ very nice and spacious room
+ awesome building and outside facilities
+ central location"
624,Beautiful suite with pool view. Great pool area with good staff
625,"Bed comfort, bathroom.  Open to placing my room close to my friends even though I checked in later.  Shops.  The fact that there's a bridge over to the pool and spa area that bypasses the casino"
626,"The room was amazing. Hotel was clean staff was friendly...and we had a great deal. The pool was great however during our stay the ""family"" pool was closed.
Overall great."
627,"Large, comfortable room. Hotel entrance very grand and beautifully decorated yet welcoming. Pool-side area large with good facilities."
628,"The bed was very comfy and warm. The food at the Bouchon was great. My little niece loved the gondola ride. Given the facility, the price was reasonable. The room was spacious and clean."
629,"The hotel is beautiful, there is no doubt about it. It is huge and everything is worth looking at."
630,"The room size , poll and pool staff ,hotel facilities , restaurants ."
631,Very noisy at times..and the room very far to walk to.
632,"The room and the beds were amazing! Big and comfortable with dining table and living room. The bathroom was also superb. 
The location was nice."
633,Room ambience and air conditions
634,"Location, casino, the room was great we upgraded at the front desk to a luxurious suite at the Palazzo. It was great to be able to use the Venetian amneties."
635,"One of the best Theme Places to stay at LV. Am telling that, because over the years Ive been at 10 LV Hotels 
Ask for a 40+ Floor at the Palazzo for best view over LV."
636,"Excellent decor - truly 'Grand Venetian' theme. Comfy beds. Excellent facitilites. Multiple pool decks. The staff were friendly, helpful and attentive. Good location on the Vegas strip. Very clean."
637,Staff excellent
638,Location excellent
639,"Beautiful suite, comfy bed, clean sheet, fast wifi, equipped facility, good location!"
640,Excellent room with lots of space. One of the best hotel room I have experienced.
641,The spacious room and location
642,Our room was gorgeous!  We were treated like royalty when we checked in!  The staff in the whole facility was more than helpful and courteous!
643,We liked the room but the location of the room was terrible.
644,I was pleased with the size of the suite and staff that assisted us during this trip.
645,"From the valet check-in, to having luggage taken to our room, the suite was way beyond what we are used to, the staff were very friendly and knowledgeable and helpful. the décor of the hotel was breathtaking, the shops, the restaurants, the gondolas, the best money we have spent."
646,"Good sized room, very helpful staff"
647,"Room was great, in particular the bathroom was stunning"
648,"Everything, great hotel, great facilities."
649,"Hmmmm. Good question. I liked the concierge we had when we left, he
was awesome."
650,Almost everything is great in this hotel. But the staff could be more personal to their hotel guests.
651,"-Beautifully decorated interiors, large shopping area with many restaurants.
-Spacious room with a great view of the strip."
652,"The room was immaculate as well as the staff's ""service first"" attitude."
653,the staff is very friendly
654,The  suite at the Venetian was lovely and expected  it to be as seen online. The bed was comfortable and the whole experience was fantastic . Nice and clean.
655,Beautiful and spacious rooms. one of the best i've seen in USA... would definitely come back to stay here.
656,The bed was super comfy. Enjoyed the little sitting room in the suite.
657,Lobby is cool. Staff is nice. Price is affordable. Room is big.
658,"We were upgraded to a bigger suite for free and it was fabulous - we enjoyed it a lot.
Valet parking is free - use it!"
659,Very helpful staff. Everything about the hotel/resort looks/is classy. Excellent quality touches throughout. Grimaldi's pizza a must for pizza lovers.
660,"It was the first time staying in the venetian. The room was amazing very spacious,clean, and a perfect view."
661,Very nice rooms and casino.
662,"Beautiful decor, amazing bathroom and facilities. Good bath and surroundings and amenities. Breakfast to the room was massive and delicious."
663,the casino is big。room is big。thats all。the hotel looks really Modern and grand
664,"Fabulous hotel, excellent for first trip to Las Vegas. Nice casino compared to some of the other dated ones (e.g. Ceaser's Palace) and so many shops and restaurants it is a real spectacle. The room was fabulous, large, as was the bathroom that had a separate bath, shower and WC, dressing table and good lighting. Vegas is like Disneyland for adults - fun, tacky but an absolutely amazing place for a few days - we stayed for 3 days... would go back,"
665,"Location and facilities are nice so is the staff, very friendly and helpful. Good variety of restaurants and shops"
666,Comfortable beds! Great view from room - particularly at night.
667,"Our room was awesome. Lots or restaurants and shops... Chill environment..I mean you can do pretty much anything you want....
Had a lots of fun."
668,Awesome rooms! great facilities.
669,The bed was like a cloud and so comfy. The room was comfortable and spacious. It was clean and located at the nicer end of the strip and there were good transport links.
670,"The room was beautiful and very clean. Upon checking in we were greeted with a huge smile and excellent customer service. Our checkout was the same,"
671,"This hotel was absolutely gorgeous. The lobby was gorgeous, the restaurants we tried were amazing, the bed was so soft, the area with the canal shops was great I felt like I was actually in Italy. This hotel is just simply amazing and I intend to go back."
672,"For such a large Resort, the Staff were so helpful"
673,"Hotel was amazing and big, limousine service for 50US$, you can gamble all night and if you do you can get the cheap casino alcoholic drinks all night, the suite was clean."
674,"The (standard) room was brilliant, so spacious and it was as luxurious as it looked on the web site which was a nice surprise (usually they are not!). One of the best rooms we have ever experienced, especially for the money, excellent!!"
675,Locate on the Strip is great.  We also had a great meal at Tao Asia which was very good.
676,The restaurants are the only reason we picked this hotel.
677,"Everything was perfect, the room, the dining options, the pools and the feeling during all the stay. I will ve coming back!"
678,"Great restaurants, friendly staff, great shopping and in general a great experience."
679,Location.
680,Great choice of restaurants in the hotel. Luxurious large suite.
681,"My buddy and I spent a couple of days at the main pool bar and were treated very well by the bartenders there (Ivan, Kawika?, Jonathan).  Good easy vibe and they changed the t.v. channels for us."
682,"The size of the room was very spacious including 2 TVs, a lounge area and huge bathroom as big as some hotel rooms we have stayed at. Beds were super comfortable. Walls where installed so you couldn't hear your neighbors (always a bonus). Location excellent and within walking distance of the other casinos. Has its own shopping mall and food court within the casino complex so you don't even have to leave the premises. Numerous swimming pools so there's room and space for everyone to escape the hustle and bustle of the strip."
683,The suite was beautiful and we enjoyed the view of the strip. The hotel is located in the vibrant hub of the strip and close to major attractions. My husband and I loved the many shops and restaurants within the hotel. We had a magnificent and memorable time.
684,We ordered in suite dinning on two occasions and it was stupendous
685,"Facility was great. Room was great. Used the Valet, Hotel staff, Casino and everyone took excellent care of us. Liked the companion Casino Palazzo"
686,"Room was great, a really good size with the extra living room area. Massive comfy bed and really good shower, bath was a bonus. 
The hotel's interior decoration is amazing. 
Great pools and hot tubs too."
687,"We chose this hotel for the Gondola which met all expectations, especially the indoor one on the second floor.
The view from our spacious room over the Mirage and Treasure Island was also exceptional.
Concierge were exceptional."
688,We had a suite and it was lovely ! Nice big bed and the bathroom was huge . Walking round the hotel it a great experience looking at all the paintings and feeling like you are in Venice
689,"The overall ambiance, cleanliness, facilities, gondola ride, everything was really enjoyable. The staff was very cooperative."
690,Suite was very nice
691,Room was very nice.
692,"Great rooms, plenty of space and very comfortable. The big bathtub is fun to use as a couple! Expect plenty of romance at the venetian...."
693,Gym was great and hotel was beautiful
694,Many things to do and see without leaving the property...plus super comfortable rooms and beds.
695,"The room and view were above expectations, bathroom exceptional, staff very helpful"
696,The size of the room was great and the French bakery Bouchon was wonderful.
697,"The room was absolute luxury, and one of the most comfortable beds I have ever stayed in. Also there were 3 TVs! - in our bathroom, over the bed, and in the living area! 
The staff were friendly and the casino itself is beautiful. The amenities are also great - plenty of places to eat and shop in the Venetian's Grand Canal Shoppes, and any of the pools, as well as Madame Tussaud's, provide great entertainment."
698,Luxury! Great environment. Friendly and staff. Lovely grounds and communal areas.
699,I LOVE THE THE NIGHT HOST AND THE MORNING BOTH THE YOUNG MAN AND THE YOUNG LADY WERE AMAZING EXCELLENT CUSTOMER SERVICE FRONT DESK.
700,Rooms are very spacious! And clean! Great location and has a lot to do just at the hotel alone; bars shopping and pools!
701,Ambiance
702,Clean and easy parking
703,"big room, good location"
704,"The ambiance, TAO, variety of things to do, boarding passes printed for us."
705,it's everything you would expect in Vegas
706,Big and clean room. Central location
707,The suite was very spacious and comfortable
708,They printed the airplane tickets for me
709,Beautiful property
710,Location and luxury
711,The large suites and comfortable beds
712,The room
713,Beautiful room friendly staff good facilities
714,good price!
715,staff and service was excellent
716,Lovely bed
717,Awesome
718,Location and facilities
719,Everything. Can’t wait to go back
