,Name,Nationality,Date,Score,Topic,Tags,History reviews
383,Rakel,Iceland,"Reviewed: September 26, 2016",9.2,"Very spacious room, comfortable beds but wi-fi is slow.",• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights,15 Reviews
384,David,United Kingdom,"Reviewed: September 25, 2016",10,Fantastic stay at the Venetian hotel had by all,• Leisure trip• Family with young children• 2 rooms• Stayed 5 nights• Submitted from a mobile device,6 Reviews
385,Dragana,United States of America,"Reviewed: September 25, 2016",9.2,Excellent !,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 4 nights,6 Reviews
386,Lani,United States of America,"Reviewed: September 25, 2016",4.6,The location is goog.,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,4 Reviews
387,Mimi,France,"Reviewed: September 25, 2016",10,Amazing Hotel,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,3 Reviews
388,Skuli,United States of America,"Reviewed: September 25, 2016",9.2,Viva Las Vegas,• Leisure trip• Group• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit• Stayed 3 nights• Submitted from a mobile device,1 review
389,Sultan,Qatar,"Reviewed: September 25, 2016",8.3,Great location and surroundings.,• Leisure trip• Solo traveler• Venetian Luxury Suite with a King Bed• Stayed 5 nights,71 Reviews
390,Gillian,Ireland,"Reviewed: September 25, 2016",8.8,Beautiful little piece of Venice in the heart of buzzing Las Vegas,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit• Stayed 3 nights• Submitted from a mobile device,6 Reviews
391,Christopher,United Kingdom,"Reviewed: September 25, 2016",10,"Amazing hotel in an amazing resort, great rooms, great...",• Leisure trip• Couple• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit• Stayed 3 nights• Submitted from a mobile device,8 Reviews
392,Kerry,United Kingdom,"Reviewed: September 25, 2016",6.7,Paying for location,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 1 night• Submitted from a mobile device,7 Reviews
393,Fridman,Australia,"Reviewed: September 25, 2016",10,A fantastic hotel resort .... It has it all !!!,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit• Stayed 3 nights• Submitted from a mobile device,43 Reviews
394,Brian,United States of America,"Reviewed: September 24, 2016",9.6,Great view of the strip,• Leisure trip• Solo traveler• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,2 Reviews
395,Robert,Australia,"Reviewed: September 24, 2016",7.9,Didn't fail to live up to expectation,• Leisure trip• Couple• Smart Plan- Venetian Luxury View Suite with a King Bed• Stayed 1 night• Submitted from a mobile device,9 Reviews
396,Caroline,New Zealand,"Reviewed: September 24, 2016",9.6,Fabulous time!,• Leisure trip• Group• Venetian Bella Suite with Two Queen Beds• Stayed 5 nights,6 Reviews
397,Michelle,United States of America,"Reviewed: September 23, 2016",10,An amazing stay,• Leisure trip• Family with young children• Venetian Bella Suite with Two Queen Beds with 150USD Resort Credit• Stayed 2 nights• Submitted from a mobile device,1 review
398,AAHZZ,United Kingdom,"Reviewed: September 23, 2016",5.4,Location and the design of the room.,• Leisure trip• Travelers with friends• Venetian Bella Suite with Two Queen Beds• Stayed 2 nights• Submitted from a mobile device,39 Reviews
399,Anonymous,Australia,"Reviewed: September 22, 2016",9.6,Rooms were really large and very comfortable.,• Leisure trip• Group• Venetian Bella Suite with Two Queen Beds• Stayed 6 nights• Submitted from a mobile device,4 Reviews
400,Mark,Australia,"Reviewed: September 21, 2016",9.2,"Wonderful setting, very clean and extravagant.",• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,6 Reviews
401,Non-gambler,United States of America,"Reviewed: September 21, 2016",9.6,Most beautiful hotel in LV,• Business trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 4 nights,1 review
402,Naomi,Canada,"Reviewed: September 21, 2016",10,Love the Venetian!,• Leisure trip• Group• Venetian Bella Suite with Two Queen Beds with 150USD Resort Credit• Stayed 3 nights,1 review
403,Anonymous,Denmark,"Reviewed: September 20, 2016",8.3,Las Vegas Decadence Classic,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights,17 Reviews
404,Raj,Canada,"Reviewed: September 20, 2016",7.1,Venetian was beautiful but wouldn't pay for any extra services cause you wouldn't get it on time.,• Leisure trip• Group• Venetian Bella Suite with Two Queen Beds• Stayed 3 nights,1 review
405,JJFos85,United Kingdom,"Reviewed: September 20, 2016",10,Amazing place to stay... no end of things to do and see!,• Leisure trip• Group• Venetian Luxury Suite with a King Bed• Stayed 4 nights,5 Reviews
406,Anonymous,United Kingdom,"Reviewed: September 20, 2016",9.6,Great value for money if you want a luxury stay.,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 1 night• Submitted from a mobile device,7 Reviews
407,Ana2008,United States of America,"Reviewed: September 20, 2016",8.3,Great Getaway,• Leisure trip• Group• Venetian Bella Suite with Two Queen Beds• Stayed 2 nights• Submitted from a mobile device,2 Reviews
408,Umit,Turkey,"Reviewed: September 19, 2016",7.1,not good  value for money,• Leisure trip• Group• Venetian Bella Suite with Two Queen Beds with 150USD Resort Credit• Stayed 2 nights,39 Reviews
409,Stephanie,Cyprus,"Reviewed: September 19, 2016",10,Get ready to be wowed!,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 1 night,23 Reviews
410,Robin,United Kingdom,"Reviewed: September 18, 2016",8.3,"an experience but very overpriced for what you get, especially on a weekend.",• Business trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 4 nights,8 Reviews
411,Kinjal,France,"Reviewed: September 18, 2016",7.9,The perfect hotel on the strip!!,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 1 night• Submitted from a mobile device,8 Reviews
412,Xochitl,United States of America,"Reviewed: September 16, 2016",10,Staying in Vegas is always a 24 hour life.,• Leisure trip• Couple• Venetian Luxury View Suite with a King Bed• Stayed 1 night• Submitted from a mobile device,1 review
413,Kamil,Canada,"Reviewed: September 16, 2016",10,"WOW, upgrade to an apartment not even a suite !!!!",• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 1 night,3 Reviews
414,Anonymous,United Kingdom,"Reviewed: September 16, 2016",9.6,Lovely luxurious and superb location,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 3 nights• Submitted from a mobile device,20 Reviews
415,turkeysandwich,United States of America,"Reviewed: September 16, 2016",7.5,Bella Suites sleep 4 comfortably and were a great choice for...,• Leisure trip• Group• Venetian Bella Suite with Two Queen Beds• Stayed 2 nights,10 Reviews
416,Richard,United Kingdom,"Reviewed: September 15, 2016",9.6,"Clean, modern with every facility you could ask for.",• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 4 nights• Submitted from a mobile device,15 Reviews
417,Stephane,United Kingdom,"Reviewed: September 15, 2016",9.6,Fantastic,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights,6 Reviews
418,Laura,United Kingdom,"Reviewed: September 15, 2016",9.6,"Excellent hotel with huge, clean, amazing rooms",• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 5 nights• Submitted from a mobile device,10 Reviews
419,Helen,United Kingdom,"Reviewed: September 15, 2016",10,Perfect Stay,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,6 Reviews
420,Susan,Australia,"Reviewed: September 13, 2016",10,Best place in Las Vegas! Don't miss!,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,16 Reviews
421,Alex,United Kingdom,"Reviewed: September 9, 2016",9.6,Beware of Booking.com understating the resort fees,• Leisure trip• Family with young children• Venetian Luxury Suite with a King Bed• Stayed 6 nights,24 Reviews
422,Peter,United States of America,"Reviewed: September 8, 2016",8.8,"If you have to go to Vegas, you have to stay at the Venetian.",• Leisure trip• Group• Venetian Luxury Suite with a King Bed• Stayed 4 nights,1 review
423,Sharyn,New Zealand,"Reviewed: September 8, 2016",10,Best Place to Stay.,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,42 Reviews
424,Anonymous,Australia,"Reviewed: September 8, 2016",6.7,Over the top,• Leisure trip• Family with young children• Venetian Bella Suite with Two Queen Beds• Stayed 1 night• Submitted from a mobile device,6 Reviews
425,Dmitry,Israel,"Reviewed: September 7, 2016",7.9,"The room looked great, just like in the pictures.",• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 3 nights,21 Reviews
426,Rhonda,Australia,"Reviewed: September 7, 2016",9.6,Relax to the max.,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 4 nights,11 Reviews
427,Thomas,United Kingdom,"Reviewed: September 7, 2016",9.6,"Excellent spacious clean suite, good pool area.",• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 4 nights• Submitted from a mobile device,1 review
428,Anonymous,United Kingdom,"Reviewed: September 6, 2016",4.2,Not a 5 star hotel!,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit• Stayed 2 nights,3 Reviews
429,Andrew,United States of America,"Reviewed: September 6, 2016",10,Room was exactly what I had expected.,• Leisure trip• Group• Venetian Bella Suite with Two Queen Beds• Stayed 4 nights• Submitted from a mobile device,1 review
430,Kevin,Australia,"Reviewed: September 6, 2016",7.5,The room was very quiet even though there was a hens party...,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,1 review
431,Kiara,United States of America,"Reviewed: September 6, 2016",6.3,Pist customer due to customer service,• Leisure trip• Travelers with friends• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit• Stayed 2 nights• Submitted from a mobile device,1 review
432,Anonymous,United Kingdom,"Reviewed: September 6, 2016",9.6,Luxurious place to stay on the strip,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 4 nights,12 Reviews
433,Sarah,United Kingdom,"Reviewed: September 6, 2016",9.2,Beautiful hotel with excellent suite but everything costs extra! ,• Leisure trip• Family with young children• Venetian Bella Suite with Two Queen Beds• Stayed 2 nights• Submitted from a mobile device,11 Reviews
434,Soledad,Germany,"Reviewed: September 6, 2016",9.6,The hotel is amazing!,• Leisure trip• Family with young children• Venetian Luxury Suite with a King Bed• Stayed 1 night• Submitted from a mobile device,24 Reviews
435,Marie,United States of America,"Reviewed: September 6, 2016",5.4,"The room smelled of sewage, the bathroom & the sheets...",• Leisure trip• Group• Venetian Bella Suite with Two Queen Beds• Stayed 2 nights• Submitted from a mobile device,1 review
436,Andrew,United States of America,"Reviewed: September 6, 2016",9.2,"Great hotel, but you pay for it.",• Leisure trip• Family with young children• Venetian Bella Suite with Two Queen Beds• Stayed 3 nights,29 Reviews
437,Anonymous,United States of America,"Reviewed: September 6, 2016",8.3,Great place to stay if you have a lot of money.,• Leisure trip• Solo traveler• Venetian Luxury Suite with a King Bed• Stayed 5 nights• Submitted from a mobile device,2 Reviews
438,Rafael,United States of America,"Reviewed: September 5, 2016",9.2,"Everything was awesome, the hotel is impressive",• Leisure trip• Couple• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit• Stayed 2 nights,31 Reviews
439,Michael,Italy,"Reviewed: September 5, 2016",8.3,"Great to look at, but not to stay",• Leisure trip• Family with young children• Venetian Bella Suite with Two Queen Beds• Stayed 1 night,13 Reviews
440,Natalie,France,"Reviewed: September 5, 2016",10,The only place to stay in Vegas! It was perfection,• Leisure trip• Family with young children• Venetian Bella Suite with Two Queen Beds with 150USD Resort Credit• Stayed 4 nights• Submitted from a mobile device,5 Reviews
441,Ronald,United States of America,"Reviewed: September 4, 2016",10,Anniversary trip,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit• Stayed 3 nights• Submitted from a mobile device,1 review
442,David,United Kingdom,"Reviewed: September 4, 2016",9.2,Nice stylish hotel with great restaurants just just away from the manic buzz of the strip,• Leisure trip• Family with young children• Venetian Bella Suite with Two Queen Beds• Stayed 5 nights• Submitted from a mobile device,6 Reviews
443,Xue,Netherlands,"Reviewed: September 3, 2016",8.3,"Super nice room and facility, good view, very clean and...",• Leisure trip• Travelers with friends• Venetian Bella Suite with Two Queen Beds• Stayed 2 nights• Submitted from a mobile device,16 Reviews
444,Mansi,India,"Reviewed: September 3, 2016",10,Venetian paradise,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 3 nights• Submitted from a mobile device,16 Reviews
445,Paul,United Kingdom,"Reviewed: September 2, 2016",8.3,It's got everything you need (of course).,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit• Stayed 2 nights• Submitted from a mobile device,11 Reviews
446,Candice,United Kingdom,"Reviewed: September 1, 2016",10,Amazing,• Leisure trip• Group• Venetian Luxury Suite with a King Bed• Stayed 4 nights• Submitted from a mobile device,3 Reviews
447,Ewa,United States of America,"Reviewed: September 1, 2016",10,AMAZING stay!,• Leisure trip• Couple• Venetian Luxury View Suite with a King Bed• Stayed 1 night,3 Reviews
448,Christopher,South Africa,"Reviewed: September 1, 2016",10,Fabulous destination resort hotel in the centre of all the action,• Leisure trip• Family with young children• Venetian Bella Suite with Two Queen Beds• Stayed 3 nights• Submitted from a mobile device,37 Reviews
449,IljaG,Netherlands,"Reviewed: September 1, 2016",6.3,"Great hotel, if you want to party and gamble. Stay away with families with young kids!",• Leisure trip• Family with young children• Venetian Bella Suite with Two Queen Beds• Stayed 2 nights,31 Reviews
450,Anonymous,United States of America,"Reviewed: August 30, 2016",9.2,The one touch electronic window blinds are straight...,• Leisure trip• Couple• 2 rooms• Stayed 3 nights,4 Reviews
451,Narindra,United Kingdom,"Reviewed: August 30, 2016",8.3,Perfect spot to stay in vegas,• Leisure trip• Family with older children• Venetian Bella Suite with Two Queen Beds• Stayed 1 night• Submitted from a mobile device,1 review
452,Lynn,Canada,"Reviewed: August 30, 2016",7.5,Not one of my top hotels in Vegas.,• Business trip• Couple• Venetian Luxury View Suite with a King Bed• Stayed 3 nights,17 Reviews
453,Qasim,Pakistan,"Reviewed: August 30, 2016",10,VALUE FOR MONEY,• Business trip• Group• Venetian Bella Suite with Two Queen Beds• Stayed 2 nights,49 Reviews
454,Gai,Israel,"Reviewed: August 30, 2016",7.5,"Nice rooms, unreliable staff",• Leisure trip• Family with older children• 2 rooms• Stayed 3 nights,13 Reviews
455,Melanie,United Kingdom,"Reviewed: August 29, 2016",9.6,Great Vegas hotel,• Leisure trip• Family with older children• Venetian Bella Suite with Two Queen Beds• Stayed 2 nights,9 Reviews
456,Susan,Australia,"Reviewed: August 29, 2016",10,beautiful and comfortable place to stay,• Leisure trip• Couple• Venetian Bella Suite with Two Queen Beds• Stayed 1 night,12 Reviews
457,Danielle,United Kingdom,"Reviewed: August 28, 2016",8.3,"Quiet room, very comfy bed, beautiful layout of cafes and...",• Leisure trip• Family with older children• Smart Plan- Venetian Bella Suite with Two Queen Beds• Stayed 3 nights,2 Reviews
458,Tina,United Kingdom,"Reviewed: August 28, 2016",7.5,"nice, comfy rooms but rude staff...",• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 6 nights• Submitted from a mobile device,11 Reviews
459,Barbara,Australia,"Reviewed: August 28, 2016",9.2,Great stay!,• Leisure trip• Family with older children• Venetian Bella Suite with Two Queen Beds• Stayed 7 nights• Submitted from a mobile device,17 Reviews
460,Abdulrahman,Kuwait,"Reviewed: August 27, 2016",6.7,"Bed ,location,and staff are very good .",• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 3 nights• Submitted from a mobile device,7 Reviews
461,Susan,United Kingdom,"Reviewed: August 26, 2016",7.5,Lovely hotel the gondolas going through  the,• Couple• Venetian Luxury Suite with a King Bed• Stayed 3 nights• Submitted from a mobile device,1 review
462,Carl,United Kingdom,"Reviewed: August 26, 2016",9.2,Honeymoon treat didn't disappoint,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 1 night,13 Reviews
463,Stephen,United Kingdom,"Reviewed: August 26, 2016",7.9,"Great facilities and value, but Vegas and these sort of hotels are not for us.",• Leisure trip• Family with older children• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit• Stayed 3 nights,6 Reviews
464,Frederick,United Kingdom,"Reviewed: August 26, 2016",7.1,"Wonderful suite, don't bother with resort credit as they block £400 on your credit card until you ch",• Leisure trip• Group• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit• Stayed 3 nights• Submitted from a mobile device,6 Reviews
465,Tracey,United Kingdom,"Reviewed: August 26, 2016",9.6,Venetian vacation in Vegas,• Leisure trip• Group• Venetian Luxury Suite with a King Bed• Stayed 6 nights• Submitted from a mobile device,2 Reviews
466,Bernard,Philippines,"Reviewed: August 26, 2016",10,Still the best for the money.,• Leisure trip• Solo traveler• Venetian Luxury Suite with a King Bed• Stayed 4 nights• Submitted from a mobile device,7 Reviews
467,Natalie,Jersey,"Reviewed: August 26, 2016",8.8,Amazing rooms! No spare loungers around pool area,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 1 night• Submitted from a mobile device,7 Reviews
468,Natalia,Switzerland,"Reviewed: August 24, 2016",3.8,WORST HOTEL I EVER BEEN,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights,49 Reviews
469,Anonymous,Czech Republic,"Reviewed: August 24, 2016",8.5,Luxury hotel / casino with very slow wi-fi.,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit• Stayed 2 nights,81 Reviews
470,Katja,Sweden,"Reviewed: August 24, 2016",9.2,Perfect location and very luxurious feeling.,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,12 Reviews
471,Nicole,United States of America,"Reviewed: August 23, 2016",9.2,Staff was very welcoming,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 3 nights• Submitted from a mobile device,2 Reviews
472,Michelle,United States of America,"Reviewed: August 23, 2016",9.2,Nice hotel once were in our room. A very stressful check in!,• Leisure trip• Group• Venetian Bella Suite with Two Queen Beds with 150USD Resort Credit• Stayed 2 nights• Submitted from a mobile device,1 review
473,Mohammad,Kuwait,"Reviewed: August 23, 2016",9.6,It was just prefect,• Leisure trip• Solo traveler• Venetian Luxury View Suite with a King Bed• Stayed 3 nights• Submitted from a mobile device,4 Reviews
474,Grace,United Kingdom,"Reviewed: August 23, 2016",10,Best hotel in Vegas,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit• Stayed 5 nights• Submitted from a mobile device,1 review
475,Carlo Ottaviani,Switzerland,"Reviewed: August 23, 2016",8.8,Las vegas 2 days,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,5 Reviews
476,Heidi,Canada,"Reviewed: August 23, 2016",5.0,Don't expect a 5 star service or room.,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights,13 Reviews
477,Abdul,United Kingdom,"Reviewed: August 23, 2016",8.3,"Beautiful hotel, awful concierge, location could be more central",• Leisure trip• Group• Venetian Bella Suite with Two Queen Beds with 150USD Resort Credit• Stayed 4 nights• Submitted from a mobile device,2 Reviews
478,Donald,United Kingdom,"Reviewed: August 23, 2016",5.8,Won't stay here again,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,15 Reviews
479,Annette,United States of America,"Reviewed: August 23, 2016",8.3,The pros and cons of staying at the Venetian,• Leisure trip• Family with older children• Venetian Bella Suite with Two Queen Beds• Stayed 1 night• Submitted from a mobile device,1 review
480,Yvonne,United Kingdom,"Reviewed: August 23, 2016",10,Fantastic Experience,• Leisure trip• Couple• Venetian Bella Suite with Two Queen Beds• Stayed 4 nights,5 Reviews
481,Steve0608,United Kingdom,"Reviewed: August 23, 2016",9.6,Absolutely amazing,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 4 nights• Submitted from a mobile device,10 Reviews
482,David,France,"Reviewed: August 22, 2016",10,One of the best in Vegas,• Leisure trip• Family with older children• Venetian Bella Suite with Two Queen Beds• Stayed 2 nights,9 Reviews
483,Barry,United Kingdom,"Reviewed: August 22, 2016",10,Pure Luxury in a Sea of Desperation,• Leisure trip• Family with older children• Venetian Bella View Suite with Two Queen Beds• Stayed 4 nights,4 Reviews
484,California,United Kingdom,"Reviewed: August 22, 2016",10,A holiday destination on it's own,• Leisure trip• Family with older children• Venetian Luxury View Suite with a King Bed• Stayed 3 nights,6 Reviews
485,Caroline,United Kingdom,"Reviewed: August 21, 2016",9.6,Glamorous and Amazing!,• Leisure trip• Couple• Venetian Luxury View Suite with a King Bed• Stayed 2 nights,10 Reviews
486,Michael,United States of America,"Reviewed: August 21, 2016",10,Delightful end to a drive in the West,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,3 Reviews
487,Rachel,United States of America,"Reviewed: August 21, 2016",5.4,Save more somewhere else,• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,2 Reviews
488,Nicholas,United Kingdom,"Reviewed: August 21, 2016",9.2,"Huge hotel, everything available but can be costly.",• Leisure trip• Family with older children• 2 rooms• Stayed 3 nights• Submitted from a mobile device,2 Reviews
489,Nick,Australia,"Reviewed: August 21, 2016",10,"The swimming pool rules, the life guards are not police!",• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 1 night• Submitted from a mobile device,3 Reviews
490,Corrina,United States of America,"Reviewed: August 21, 2016",10,Very nice,• Leisure trip• Group• Venetian Luxury Suite with a King Bed• Stayed 1 night• Submitted from a mobile device,1 review
491,Gerardo,Spain,"Reviewed: August 20, 2016",4.6,they over charge with respect to booking.com price which means that booking.com is not reliable,• Leisure trip• Family with young children• Venetian Luxury Suite with a King Bed• Stayed 2 nights,38 Reviews
492,David,Belgium,"Reviewed: August 20, 2016",9.6,"The Venetian, Emblematic Luxury Hotel & Resort for Las Vegas",• Leisure trip• Family with older children• Venetian Luxury Suite with a King Bed• Stayed 2 nights,8 Reviews
493,TARINIMENDIRATTA,United Kingdom,"Reviewed: August 20, 2016",3.3,Awesome stay at Venetian,• Leisure trip• Couple• Venetian Bella Suite with Two Queen Beds• Stayed 5 nights• Submitted from a mobile device,3 Reviews
494,Roger,Australia,"Reviewed: August 20, 2016",10,Luxuriant leisure,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 1 night• Submitted from a mobile device,22 Reviews
495,J,Australia,"Reviewed: August 20, 2016",7.5,The supervisor offered us an upgrade to the top floor of the...,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit• Stayed 3 nights• Submitted from a mobile device,6 Reviews
496,Frances,United Kingdom,"Reviewed: August 19, 2016",9.6,Fabulous hotel,• Leisure trip• Solo traveler• Venetian Luxury Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,13 Reviews
497,Monique,United States of America,"Reviewed: August 19, 2016",9.2,The hotel was nice and felt very clean !,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit• Stayed 2 nights• Submitted from a mobile device,1 review
498,Doug,United States of America,"Reviewed: August 18, 2016",8.3,Fantastic accomodations & restaurants.  Room service food is disgusting & overpriced.,• Leisure trip• Couple• Venetian Luxury View Suite with a King Bed• Stayed 3 nights,1 review
499,Magdalena,Austria,"Reviewed: August 18, 2016",9.6,Nearly perfect stay ,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 3 nights• Submitted from a mobile device,29 Reviews
500,Sam,United Kingdom,"Reviewed: August 18, 2016",8.3,"Magnificent hotel, if a little daunting",• Leisure trip• Family with older children• Venetian Bella Suite with Two Queen Beds (4 Adults)• Stayed 2 nights,12 Reviews
501,Rebecca,United Kingdom,"Reviewed: August 18, 2016",10,"We LOVED this hotel, ended up extending stay for extra night.",• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 2 nights,16 Reviews
502,Tim,United Kingdom,"Reviewed: August 17, 2016",9.6,Wow what a stay! Worth every penny for my birthday night in Vegas!,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 1 night• Submitted from a mobile device,12 Reviews
503,Cliff,United Kingdom,"Reviewed: August 17, 2016",9.6,Awesome hotel,• Leisure trip• Solo traveler• Venetian Luxury Suite with a King Bed with 150 USD Resort Credit• Stayed 9 nights• Submitted from a mobile device,40 Reviews
504,Anonymous,United Kingdom,"Reviewed: August 16, 2016",7.1,Ok but dated.,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 1 night• Submitted from a mobile device,8 Reviews
505,Susan,United States of America,"Reviewed: August 15, 2016",9.6,"Beautiful property & suites & Delmonico's is a fabulous restaurant, with the most delicious steaks!",• Leisure trip• Couple• Venetian Luxury View Suite with a King Bed• Stayed 2 nights• Submitted from a mobile device,4 Reviews
506,Marlene,United Kingdom,"Reviewed: August 15, 2016",8.8,Awesome!,• Leisure trip• Group• Venetian Luxury Suite with a King Bed• Stayed 3 nights• Submitted from a mobile device,7 Reviews
507,Sofia,Kuwait,"Reviewed: August 15, 2016",10,Amazing in every way,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 4 nights• Submitted from a mobile device,17 Reviews
508,Rhonda,Australia,"Reviewed: August 15, 2016",10,Very enjoyable stay.  Probably the best hotel I've ever stayed at.  Will definitely be going back.,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 8 nights,11 Reviews
509,Michael,United States of America,"Reviewed: August 14, 2016",10,Fantastic staff throughout .,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 1 night• Submitted from a mobile device,1 review
510,Mana,United States of America,"Reviewed: August 14, 2016",10,family trip,• Leisure trip• Family with older children• Venetian Bella Suite with Two Queen Beds• Stayed 3 nights,3 Reviews
511,Roderick,Netherlands,"Reviewed: August 13, 2016",9.6,You should try this at least once.,• Leisure trip• Family with older children• Venetian Bella Suite with Two Queen Beds• Stayed 1 night,40 Reviews
512,Mariam Alanzoor,Bahrain,"Reviewed: August 12, 2016",7.5,Great hotel great location,• Leisure trip• Family with young children• Venetian Bella Suite with Two Queen Beds with 150USD Resort Credit• Stayed 2 nights• Submitted from a mobile device,9 Reviews
513,Richard,United States of America,"Reviewed: August 12, 2016",10,Wife and I enjoyed the Venetian...,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 1 night,1 review
514,Oronb,Israel,"Reviewed: August 12, 2016",9.6,Best value for money!,• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 1 night• Submitted from a mobile device,48 Reviews
515,Marge494,United Kingdom,"Reviewed: August 11, 2016",5.8,"Not really great value for money , stay somewhere else",• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 7 nights• Submitted from a mobile device,7 Reviews
516,Ronaldo,Brazil,"Reviewed: August 11, 2016",8.8,"Great, but expensive",• Leisure trip• Couple• Venetian Luxury Suite with a King Bed• Stayed 5 nights,13 Reviews
517,Anonymous,United Kingdom,"Reviewed: August 11, 2016",6.7,Hotel Location on the strip & size of room,• Leisure trip• Family with older children• Venetian Bella Suite with Two Queen Beds with 150USD Resort Credit• Stayed 2 nights• Submitted from a mobile device,1 review
518,Hanzsolo,United States of America,"Reviewed: August 10, 2016",8.3,Huge room at a fair price,• Leisure trip• Solo traveler• Venetian Luxury Suite with a King Bed• Stayed 1 night,1 review
