,neg_review
153,"눉
The automated parking gate on the way out of the parking structure.  It is not user-friendly for those of us drivers who are short or have short reaches.  By the time I was checking out and inserted my room key into the collection box, it took me some time to get back into the car, and in that time the gate had already closed on us.  We had to contact an attendant by phone (pressed the button on the machine) to get assistance.  The attendant was very understanding, but the last thing I needed was this bit of aggravation and inconvenience!"
154,"눉
We didn't like the fact that there wasn't enough easily read signposts. We got lost quite often seeking the exits."
155,"눉
Their was one lady in parking valet who directed us to the back to check in...which didn't make sense to us. We went to back of hotel and they Re- directed us to the front. That was a bit of a mess because of all the cars and people. Our patience was tested a little."
156,"눉
Nothing. Although as expected things are pricey."
157,"눉
Communication with staff, check-in and check-out could be troublesome because of number of staff is not enough for number of guests."
158,"눉
the sewer smell in one of the bathrooms"
159,"눉
Normally, it's a casino hotel so that it will a bit noisy when you've got the room near the nightclub.  Moreover, the coffee bar inside the room was not free as a result be careful while you want to have something to eat or drink in your room."
160,"눉
The room service is really slow ( an hour to get water bottles) and the in room amenities was really poor no water bottles no coffee no bathrobes it was just empty"
161,"눉
Stuff is not friendly or welcoming. The lady at reception was grumpy and seemed to be tired. We didn't hear any sort of greeting from her at check-in, or anything like ""enjoy your stay"". 
No fruit plates/chocolate/flowers/compliments from the hotel are offered on birthdays or any special occasions.
Reception ladies at the buffet are haughty. 
At the same time all the waiters are super friendly and helpful."
162,"눉
The pool was not so clean as expected, and the roman decoration made me feel like in a fountain. 
The table service at Bacchanal Buffet is below average. I was not able to find our attendant to get any drink after our initial order."
163,"눉
We didn't like the weighted fridge. On arrival we took some things out of the mini bar to put water in, we were automatically charged for the things we removed due to the fridge being weighted. We got charges removed, so no big deal."
164,"눉
There was a sewage odor coming from on of the two bathrooms. We left the doors closed on bathroom to keep the smell down. Not pleasant. I should have complained at hotel. But never found the time to stand in line to wait."
165,"눉
The shower did not work and when i went to call the front desk to have it fixed, the phone was also not connected.  I then tried to connect it by following the phone line and it went behind the cabinetry so i could not fix it myself.  This meant we could not shower the night we arrived.  The next day we used the pool and showered in the pool bathroom."
166,"눉
Cold grey room dirty sofa with stains 
2 hour wait for room service"
167,"눉
I arrived to the hotel and the staff told me my reservation was cancelled as I didn't pay more of a deposit I'm very disappointed with the lack of communication between caesars palace and booking.com"
168,"눉
as above"
169,"눉
Caesars Palace is a tourist attraction and by staying there you become part of the attraction. Anyone off the street can access the pool area when we were there.  A beefy security card shouts at you get out of the pool area at 6pm.  Anyone off the street can access any floor of the hotel. No information what so ever in the room about the resort.   And the icing on the cake is Booking.com advertising breakfast in the room rate and then only gives you $10 per person for breakfast!  No complementary tea or coffee in room.  $14 to make your own so much for the $10 breakfast voucher.  Breakfast in the restaurant is $50 plus tax plus tip"
170,"눉
Had to request for toothbrush and toothpaste which was fixed pronto.
Another thing, my partner said the AC was not cold enough although the temperature was at 
60 degrees."
171,"눉
No tea or coffee making facilities in the room, poor considering the price of rooms."
172,"눉
Hated that smoking was allowed in the hotel, although it was not nearly as bad as the other hotels/casinos."
173,"눉
Parking situation was deplorable.  We got in Sunday Night & tried to get Valet at the front of the Hotel.  Waited in line for 20-30 minutes only to be told it was not available.  Could not park there because it was full.  Then they gave us this small card with directions to the Colosseum parking.  Waited in line for another 20-30 minutes only to find out had no one at the Valet parking again so we had to Self park & drag all our bags and clothing through 300-yards of parking lot.  Then once we got into the Hotel another long line to get our room.  Then we were sent to the Nobu Hotel registration where they took care of us after a short wait."
174,"눉
It couldn't have been better."
175,"눉
It did not include breakfast as stated... Instead a $20 discount but that didn't cover breakfast costs."
176,"눉
Got repeatedly ID'd in the casino, at one point it was 4 times in 15 mins"
177,"눉
no real breakfast deal offered in the Caesar, only a $20 prepaid amount in total each day for the entire room to spare at one of the restaurants provided, which means for everyone in the room (in our case two). Access to the spa is allowed, which means you can access the spa as you are a customer of the hotel but you have to pay for it, which is non-sense as many other hotels offer the use of the spa for their customers. In the bathroom, the shower was ok but the bathtub with jacuzzi didn't work."
178,"눉
Food was expensive. There was no signal for 2 days so there was no television to watch."
179,"눉
Misleading and irrational!
Breakfast-
1. Deal says ""breakfast included"". In practice you get 20$ a day per room for use on some of the hotel's restaurants. This was not enough for 2 hot drinks and a snack.
2. They consider the 20$ to be used on the day before (e.g check in day is first breakfast day, even if you arrive by night), of course we discovered that by checkout.
Rooms-
We ordered a king bed room.
Upon arrival we were told that we got an upgrade.
Getting to the room we found a 2 queen room. Considered an upgrade because it costs more, but practically as a couple we can use only 1 bed, so this ""upgrade"" got us from a king bed to a queen bed.
Eventually we got our original room order after 1 night, and a breakfast for the last day.
However, we had to argue with them about it."
180,"눉
False advertising and hidden costs accompanied by very pool customer service.
1. On arrival, the self service check in didn't work, the que was long and slow, understaffed and when finally being served, no manners, poor customer service and no information about our stay. we have to find out everything for ourselves, not what expect for the price. 
2. It said that breakfast was included and there was a coffee machine in the room. Breakfast WAS NOT included, a $10 credit on site was, again, we had to find this out for ourselves. When we went to claim this back, we found out that one of the places we had breakfast wasn't owned by Ceasers and we missed out on our $40 discount. There as a coffee machine by the way... but no coffee... you could use the minibar to get 4 coffee pods for $12 thought... we opted to go buy our own"
181,"눉
Absolutely no worth the money . Smells cigarette smoke everywhere , rude stuff at check in not explaining anything . Charged €35 resort fees doesn't let you use any fascilitoes apart from outdoor pool that as well surprise surprise closing at 6pm and some days at 4pm . No bottle of water in the room for guests dedpite price . Total rip off, but it's Las Vegas - the end of the world !"
182,"눉
Nothing"
183,"눉
The room was beautiful and the staff was incredible but the room had issues, a light in the bathroom didn't work, the electrical sockets in the bathroom didn't work the Jacuzzi didn't work and the air condition went out one night, the fixed everything right away but for what the room cost it should not have had those many issues."
184,"눉
Wi-fi connection awful!!! Even with extreme resort fee paid, very bad internet connection or no connection at all. ""Breakfast included"" is a joke. Only $10 per person, max of $20 per room allowed daily for room service food or drinks. On average $25 to $30 is breakfast for one person, so $10 per person doesn't do anything. Only two devices allowed on wi-fi otherwise additional charge!  Checking in front desk staff not so friendly. I broke a glass in the bathroom, it took over 2 hours for someone to come and clean the bathroom floor since the glass was all over. When we came back to the room, figured that the floor wasn't truly cleaned, just large peaces of glass picked up. There was still a lot of small glass peaces over the floor, so we had to put shoes on when walking in."
185,"눉
Check-in took 45 minutes. The receptionist who dealt with us tried to get us to upgrade to a newer, larger room. He tried a little too hard and made us feel a little uncomfortable. We didn't spend the extra money and were very happy with the room we had.
The snacks and bottled water are on a tray with sensors. I believe that if you lift the items from the tray, you are charged whether or not you consume them. This is explained in one of the books in the room but it isn't obvious. I understand there is also a charge for the fridge if you use it for your own goods."
186,"눉
You do not really interact with the staff. Everything is automatic: check in, chek out.....
I do not like that they try to make money on everything: water, faster wifi, snacks and event early check in!!"
187,"눉
There was no breakfast even though it was supposed to be included in the room rate - I got only a $10 voucher which was not enough for a meal at their overpriced restaurants
Automated check-in kiosk - my room was not available and was only ready after I reported it to one of the staff members
Impersonal touch - had to wait in lines to talk to any of the staff, no one to tell you about the facilities and surroundings - the opposite of a luxury hotel!
Very difficult to find reception from parking - had to walk 20 min around the crowded casino
The hotel and room decor felt dated."
188,"눉
Paying parking even if you stay at the hotel. Gambling tables were a little bit full at night even though it was Tuesday."
189,"눉
No complaints about the hotel. However, one word of warning, Booking.com stated that the room price included free breakfast, this is not the case - you do get a $20 allowance for food per day but this would not cover breakfast.....this is an error on Booking.com's part and not the fault of the hotel."
190,"눉
Booked with included breakfast, however they just give you a $20 voucher per day for food. The breakfast there is $40 plus so the voucher doesn't cover it. 
Everything is very pricey."
191,"눉
We arrived at the self parking but there was no signage (where we parked anyway) to indicate the way into the hotel. After some confusion and asking directions we eventually arrived at reception. The room (non smoking) did smell of stale smoke. Also, there are probably thousands of rooms in the hotel and we were unlucky to get a room with a view of the side of the hotel wall (room 6019 if anyone gets allocated this room). We only stayed two nights but for a longer stay, a room changed would've been requested. Word of caution, don't go near the minibar, you will be billed for even touching the contents!"
192,"눉
Washroom could have been cleaner. Room is musty . It smells smoky even though i requested a non-smoking room... hard to find which tower your room is booked..no clear signs...very confusing and path to the tower smells very smoky from cigarette smoke. Dress code should be enforced in the casual dining rooms specially men.. hate seeing men eat with their armpits hair sticking out...just ruins my appetite.... the hotel should look into this and all the dining rooms should enforce at least a dress code that covers the armpit, specially when the armpit is so hairy...yuks.. Elevators also smells cigarette smoke which literally makes you choke......this should be enforced as well...."
193,"눇
Enjoyed the pool area very much, The drinks were expensive, but you did get a larger drink. We did find it hard to find out where we were going. We had to ask people all of the time where things were. Because it was a holiday week end it was hard to find a place to eat. I called on the phone and no one at the desk could help me get a reservation for a place to eat.  But we understood that. All of your staff were very friendly and nice to us."
194,"눉
Food is way too expensive in the hotels, esp just a breakfast or lunch, but found some nice options outside the hotel.  Taxi service is way too expensive. Uber is the only way to go!"
195,"눉
No fridge for personal items and only 2 devices per room can be connected to the wifi."
196,"눉
Room facilities. Paying $13 to have a coffee in my room coffee maker. Wifi was poor and expensive and not enough staff around the pool to serve food and drinks. Waited over an hour and then they got thr order wrong"
197,"눉
very high distance to the restaurants, strong smell of marijuana in the room"
198,"눉
Check-in and check-out process is an absolute nightmare, be prepared for long waiting time, swimming pool is overcrowded, casino is quite old-school. It doesn't feel like a luxury, modern hotel."
199,"눉
It's a VERY large establishment - a challenge to get around. Getting to/from with a car was not easy. Traffic on Las Vegas Blvd was crazy busy. Next time - no car."
200,"눉
Hotel is huge.  It's a long way from the front door to the room!!!  But that shouldn't be a complaint - it just goes to show how successful the hotel is!"
201,"눉
Paying $13.00 for K-cups!?  Not cool.
While shopping, we noticed there was no pricing on many items.  Not surprised when purchase totals were very high.  I know.  It's Caesar's.  It's Las Vegas.  But I still hate sticker shock."
202,"눉
No complimentary tea/coffee in rooms which feels stingy, no soap or shampoo in showers by pool which was annoying if you've  checked out already. loud air con but room a little stuffy without. Unhelpful bell desk and taxi rank - conflicting advice on transport to the airport."
203,"눉
The fact the we asked for a shower chair for
My aputee friend and never got it after 5 hours very disappointed and he couldn't shower."
204,"눉
The room was extremely disappointing. Very poorly kept and very wore down, furniture was scratch, furniture looked dirty and old. Upon arriving we reported that the blinds and curtains, which are electronic, were not working. They said someone would be up within 20-30 minutes, nothing. Called later that same night around 8, told them no one came up and same thing. Called again at around 12 to tell them that the problem was reported twice and never fixed. Went to bed. At around 6 am, room across us starts getting loud. Some dude kept knocking very hard on the room door across us, he then banged the door and screamed, kicking followed, which woke us up. Again I call to tell them, they tell me they are sending security right away, well this went on another 30 minutes, awake all this time cause the guy does not stop and security never makes it there, called again, get told the same thing. The door banging and kicking and shouting keeps on going till about 7 am and I dont think security ever made it. So did not slept well at all. 
 Visit was rather disappointing, I thought that Ceasars Palace would be beautiful and well kept and it was not. I will not stay there again and will not recommend it to any one. I have videos of the screaming guy that I would love to share."
205,"눉
On the second last day we awoke to smell of weed coming through the A/C.  Housekeeping was sent to deodorize the room, but was not really that effective.  The only place you could use breakfast credit was Payard's Patisserie, where there were not a whole lot of options anyway. Also $10 per person does not get you very far in Caesar's Palace."
206,"눉
I used the internet for 5 minutes and they hit me with a $35 ""resort fee"". Regular drink at the bar was $24.00! What a scam!"
207,"눉
Check-in was very difficult.   There was a self service check in which I could see some people were having trouble with and the queue for the actual desk to see a real person was massive.
It was exactly the same to check out.   There is a real need for more people here.
We had issues extending our stay and the keys didn't work so I had to wait in that queue to get the keys switched.... painful.
The pools also need to have an adults only area. If there was one I didn't see it or it wasn't enforced."
208,"눉
The self-parking lot is a little bit too far from the check-in lobby."
209,"눉
It's a caos to walk in the casino itself. The lobby was very far away from the room. Pool was not that good (I mean, it's a good pool, but I prefer the one in the Bellagio)"
210,"눉
It takes forever to check-in, parking the car was very complicated (no instructions as to how to enter). There was also no assistance as to how to reach reception, and no assistance as to how to get to our room (it's a huge hotel). The rooms are pretty dated (ours had a... CD player!)."
211,"눉
It is too big and too crowded. the check-in took more than an hour.
finding the right tower was not easy.
we were in the newly renovated tower,however, the renovation did not seem to include the elevators as they were producing an annoying sound."
212,"눉
The price drinks at the poolside, and the fact you had to pay for coffee in the room was crazy!!"
213,"눉
I didn't get a strip view and hotel is very huge so it takes a few minutes to get to your room"
214,"눉
It was difficult to park even with valet parking on Saturday night, front entrance was full so they sent us to another parking lot at the back without clear direction. And the casino is always full of smokers so not great place to stay if you can not stand the smoke. Food inside the hotel is overpriced and not very tasty."
215,"눉
There are hidden daily resort fees ($39/day ) and high frequency of cleaning room service charge (up to three time/day x $8).  The cleaning work was NOT request by us and it was done while we were NOT in the room.  
It is a SCAM"
216,"눉
-Smoky room
-I've booked three identical rooms but Booking has failed to arrange the rooms to be located on the same floor.
-There are HIDDEN daily resort fee ($39 USD per day per room) and too many DAILY room service charges (i.e. two to three times per room for un-necessary cleaning service charge - $8 x 3 times x 3 room)????  I am so disappointed."
217,"눉
I think wine/ champagne glasses and tea cups need to be in the room so that you don't need to ask the room service all the time. A Nespresso machine is a must for a hotel of that level. We get used to good coffee in European hotels."
218,"눉
Personal not nice, cold hotel (stop the air conditioning, I had to wear jacket), in the swimming pool could enter EVERYBODY (even NOT guests, amazing!), NOT free parking, not free wifi, 1hour waiting for the check in and check out (AMAZING, even at the machines, please more personal in the front desk!), the parking is 15 min walking to the front desk (with all luggage) through all Casino"
219,"눉
I liked everything."
220,"눉
The bed is very comfortable and the shower is superb otherwise I felt the room very small and the view unacceptable . It is overall very dirty and we ate at the steakhouse where the service is average and the dishes outrageous expensive. Honestly I had higher expectations ."
221,"눉
Staff was unprofessional. I was told by Shamay (if that was her real name?) that there was no strip view rooms and u get whatever rooms are available even though I paid more for strip view. She said I booked through 3rd party and booking.com need to redo website because not correct saying strip view."
222,"눉
Having booked on Booking.com for another individual was problematic AT THIS HOTEL.  Entire hotel cost was not charged on credit card online.  Rather, the difference had to be paid by the guest upon arrival, defeating the purpose of my purchasing the room for them.  It was lucky they had enough money to cover the remainder which the hotel refused to charge to the same credit card used online.  The hotel staff did not explain this well upon arrival and we thought we were getting double-charged.  It took phone calls to both Bookin.com and Ceasars customer support to find out what was going on as well as multiple tries at the Hotel check-in.  The issue was not fully resolved (as described above.)"
223,"눉
We didn't like the fact that we were told that breakfast was included in the room rate. This is in fact a LIE and we actually got a $10 voucher each per day which gets you NOWHERE as one continental breakfast shared between 2 was $42 and the cheapest breakfast is $22 dollars excluding a drink. Had we know that breakfast was actually not included in the room rate, we would not have stayed there. We tried to complain to the hotel staff but they were rude and unsympathetic."
224,"눉
Overcrowded
Too many people at the pool, couldn't find a bed to sit at
Room service food was disgusting, took over an hour to get to the room, didn't even eat it. When I went to complain I was told would get a call back when the manager was available. I was not in the room and when I called again same story
Room was small and view was terrible
Taxi line always too long
Lines to check in are also enourmous"
225,"눉
The internet connection wasn't great and the additional fees for more than two devices was annoying when there were 4 people in the room. Robes in the rooms would have been good and slightly better lighting as the room did feel quite dark."
226,"눉
The rooms smelled terrible. We had non-smoking rooms, but they smelled like smoke. We asked for them to be neutralized, but no one ever came."
227,"눉
It was a dive! Filthy and disgusting pool area. Pools not cleaned cloudy water and scum floating on the top. Staff disinterested and not bothered. Human poo in lifts and corridors for 24 hours. Book with breakfast but in reality you get $10 credit per person per day and the breakfast buffet costs $50 per person! A Diet Coke will set you back $10 plus tax. Everyone expects a tip! There are several pools and would be lovely if they cleaned it. It's filthy. Loads of shops in the forum shopping centre but again I think the prices have been hiked up. There was a Rolex that in the uk is £18,000 but there it is nearly $29,000 even with the current exchange rate it still comes out over £24k. The weather was great and if I ever went back it would be to a different hotel as this one really is the pits! Which is a shame. Oh yeah you don't even get free tea or coffee making facilities in your room. It's $13 for a kit that will give you 4 coffee pods and coffee mate powder. There is tax on top of that too and there is a $39.99 resort fee per day per person too! Won't return to this poor hotel"
228,"눉
As we all know, its got a great brand name but for me and my family, it was nothing more then a 'cattle market' not a hotel - long queues, thousands of people everywhere - paid parking that went up in $ without any prior notification - rooms didnt have any tea/coffee facilites, no breakfast, so long queues on a morning just for a coffee.
There was also a major confrenace on while we were there and they just took over the whole hotel - if you take children - make sure you never let go of there hand!
I know we are all differnt and want differnt things but this was the biggest disapointment of our whole trip."
229,"눉
the hallway is dirty! There was dishes left  all day. Hallway smell smoking and weed! I have allergy! Don't want to experienced that first time we were arrived. There was a black stain on the sheet. Not really clean for the price we paid.  Other hotels is better with clean sheet. The small brown blanket were stain too with iron burn. Don't see any quality at all. Won't come back at all. Not worth it!!"
230,"눉
Check in was a hassle.  Finding the elevator to our room was difficult as the place is so huge that we walked for 45 minutes trying to find the correct elevator.  Would be nice to have elevators next to the check in site.  Also the parking did not have signage to guide the guests to the hotel.  We parked on the opposite end of where we needed to be and had to walk the parking garage to get to the actual hotel elevator to lobby."
231,"눉
It is a very busy hotel, so you have to be ok with a high level of energy."
232,"눉
No opening windows, only A/C. Shower was working, however the holder of the shower did not work (welcome to vegas suites).
No possiblity to use cash on the reception, at least during the checkout. 
Noone reminded about missed checkout (i know that this is my fault, but still, it would be better if the called me or at least dropped an email).
Houseclean woman knocked in the morning, i asked to come later. Moreover, i put a ""please clean my room"", however, the room still was not cleaned."
233,"눉
When we booked our room, it included breakfast. But, a $20 credit DOES NOT cover breakfast for 2 at any hotel in Las Vegas, including Caesars Palace. Coffee or tea is $5.00..all entrees are $20 and up. Also, you only get the $20 credit if you charge the meal back to your room. We felt that the 'Breakfast included' was misleading.
There is a coffee maker in the room, but you have to pay for the coffee pods to make a cup.
Bathrobes are no longer available!"
234,"눉
Long distance from the garage to checking in at the reception. Hard to find the way thru the buildings to the right tower. We would have liked a kettle for warming water in the room."
235,"눉
Noisy....too noisy...
The check out wating time was absurd!!!"
236,"눉
Would like to have an empty fridge for cold beers!"
237,"눉
Got an upgrade. One bedroom suite with a view of a wall. Would have rather received a King room with a view. Blood on bathroom floor. Room phone didn't work. Air conditioner was spotty. Went back to room at 2am and keys didn't work. Had to go all the way back to front desk and was poorly handled. Won't stay there again."
238,"눉
We booked a suite at the top of hotel. But no window! (In Forum Tower)
The Caesar Palace is getting a little old. And it smells smoke everywhere in the casino."
239,"눉
The staff were a little obnoxious but nothing too offensive. Restaurant staff very attentive."
240,"눉
There is nothing that disappointed me in this hotel.  Everything was amazing."
241,"눉
Breakfast restaurants were very expensive compering to nearby restaurants.The free breakfast was a 10$ bill per person, while a full breakfast costed at least 30-40$."
242,"눉
Swimming pools not very clean, and very annoying DJ playing with bad music too loud with poor sound quality.
Room floors,should be restricted to hotel guests, didn't like the fact that just anyone could take the elevators to wander freely in the hotel.
When will booking.com enable the reservation of connecting rooms?"
243,"눉
Parking and getting a valet person was horrible and confusing. Board said one thing and valet said sign was wrong and we had to move car around to get it valet"
244,"눉
Forum Tower- close down, remodel, and reopen!! Filthy floor and furniture worn down. So disappointed... can't believe Celine D is still around. Oh I get it... cater to the rich, regular hard working class gets NO catering what so ever. Shape up guys, shape up."
245,"눉
Nothing!!"
246,"눉
No sun umbrellas in the pool area. Wifi and network is terrible even though you're paying for it through the daily resort fee and only allows for 2 devices! Other hotels offer free wifi! For such a big, luxurious property they need to improve their network. The charge of $15/day for wifi for each additional device is absurd and a cash grab."
247,"눉
Spa bath didn't work first night but hotel engineer fixed it within an hour. Food and drink in Hotel very expensive. Coffee in room not free $13 to buy a kit that makes 4 paper cups worth."
248,"눉
Only 2 devices for wifi per room and you have to log-in every 24 hours.
No free coffe or tea facility in room."
249,"눉
It's enormous and quite impersonal. Staff were helpful but didn't really have any contact with them."
250,"눉
Octavius and Julius towers were old , old furniture. 
Palace tower was under construction. it was noisy."
251,"눉
For price should include movies on demand and room in fridge for personal items would be nice"
252,"눉
Check-in was a disaster (took 1.5 hours), earliest check-in was 4:00 pm, and the room was not still ready by 4:45 pm, rooms are quite a distance from front desk, as well as the car park"
253,"눉
The rooms are quite far from the reception (it takes between 10 and 15 minutes to get to the reception desk from the room) and there is always (regardless of time) a line at the counter. This makes it difficult to solve any problems you may have.
I had booked a non-smoking room in the premium category.  I got an amazing room with crazy-beautiful views, but that was connected through a door to another room where the guests smoked. My clothes and luggage smelled for days.
When we asked for a solution, we were moved to a room of a lesser category. Although a really nice room, I had paid for another room category. This was not explained to me at the desk, neither was I asked if I wanted to change categories.
We had further problems with the self-parking validation (valet parking is around 20 dollars and if you plan to move around Vegas in your car during your stay, this is not a very sustainable option) and had to spend a lot of time coming and going to and from the reception and waiting in line to get our problems solved.
All in all, the staff who helped us with our problems were very nice and helpful, but unfortunately, it doesn't seem like the hotel cares what kind of experience the guests have or about making problems right. 
For a hotel that claims to be of such category and demands such prices, I would have expected a better guest service."
254,"눇
Amazing resort! Excellent customer service and our suite was impeccable! Clean etc. We where for a week on our honeymoon and everything was great! Totally worth the money !"
255,"눉
I honestly don't think there was 1 thing I did not like. Other than I couldn't stay Longer."
256,"눉
Breakfast included , no way , I wouldn't have booked with you knowing it wasn't included"
257,"눉
Returning the car was a little frustrating and signage to the drop off was not clear.  Wifi is only available for 2 devices which isn't great when you have a room that sleeps 4."
258,"눉
No complimentary coffee making facility. In room Coffee charged at over the odds. (I like my morning cuppa!) long walk from self parking to hotel registration."
259,"눉
At check-in, they had no idea on my requested upgrade through your site.  Parking was really bad, even vallet was full.  Hardly any chairs to sit down by the pools.  Bad bellman experience during checkout."
260,"눉
It's took 15 minutes to walk, fast walk, from the parking to the room. It's just too much! Just because of that, I won't come back to this hotel."
261,"눉
The price of the buffet. We went just before 10 PM (after a show we attended) and we were going to be charged $70+ per person for maybe 30 minutes to eat if we were lucky. The gentleman at the register wasn't very friendly so we declined and ate elsewhere."
262,"눉
My view from the Forum Tower was awful - onto a rooftop."
263,"눉
Chaotic valet parking and long wait to check in"
264,"눉
Avoid local Taxis from the Airport to Caesars as they will take the longest route and it will be $50.00
Uber upon my departure was $12.00 
Wanted to try the Bacchanal Buffet -but the wait time was 145 minutes!"
265,"눉
As with most large casino properties just very confusing coming from parking garage to hotel registration. Didn't seem to be signed real well but that's the only thing I experienced any frustration with, awesome hotel and beautiful grounds"
266,"눉
We had absolutely zero view. Looked right into a wall 2 feet away that was outside, was disappointed and wish I would have known as I would have paid a little more to have literally any kind of view at all."
267,"눉
The lights in the room was dark.
Long way to walk from the self parking through all the casino to the check in and back again to the room with the bags after 5 hours of driving... I understand that everything made to make me go straight to the casino... but i didnt like this."
268,"눉
I tried to play straight Black Jack at a $10 table and work my bets up to as high as $100. I was not able to find a seat last night and today around noon. 
I was also not happy with the number of times I was approached by prostitutes all over the casino. 
I had my family who lives in Arizona meet us for breakfast at the American Grill. There was nothing about the American Grill that's American. There was a total of six of us and the check came to $249 including tip. The food quality for what we paid was terrible. The eggs Benedict where way over cooked, the bacon was so over cooked it was black in color, the ham steak I ordered was burnt the only thing good about the breakfast. I had to apologize to my guests for such a terrible experience."
269,"눉
No complimentary coffee. $13 for in room 4 cup coffee. Everything thing was extra. Nothing except sleeping and bath, and television included in room price. $40 per day resort fee. We do not even gamble."
270,"눉
Disappointed that such a highly sort after hotel had so many extra room costs involved. A $25 charge to unlock the mini fridge was excessive and $15 for wifi seemed like just another way to make money. For such a large hotel I felt like everything was very overpriced and perks such as the above should be complimentary which would really help to add to the seemingly ""luxuriosness"" of the hotel. 
It was also very easy to get lost in such a large hotel. We found the wayfinding very lacking which made it very hard to find anything in the hotel. When visiting other hotels we didn't experience the same confusion when finding our way around. So more signage would be hugely beneficial! 
Although we were upgraded to an amazing room we were never told about the renovation works that were happening in the wing we were upgraded too. Had we been told about this in advance we would have asked not to be upgraded as construction was happening in the room right above us, waking us up each morning at 7am. Ideally people would be advised about this before being upgraded."
271,"눉
It was hard to find the self parking. The swimming pool closed early in the evening."
272,"눉
I didn't like there were no vending machines that I could fine for when everything else was closed."
273,"눉
Expect long waits for just about everything! Requested early check in and paid for it,eight hours later,still no room, finally was assigned a room only to find out it was already occupied!! After finally getting a room and heavy complaining,spent most of the evening at the Paris casino,which was very enjoyable, returned to my room to settle in and watch some TV,only to discover it didn't work,so had to call the desk and wait for service. It seemed like everything that could go wrong did,it's a beautiful place but seemed more hype than service and comfort and definitely not worth the price especially after all the hassle it took,one night was all I could handle,spent the rest of my vacation at the Bellagio."
274,"눉
The level of service of the staff was not up to an hotel of this category. For example, at the front desk, we have waited a very long time for check-in and check-out. Only 1-2 receptionist, even if there was a long line-up. We know we can check-in/check-out online, but had questions to ask to the receptionist. Another example: the hostess at the dining room was rude! In one word, the feeling we had is that we were bothering them! It is a large hotel and we can feel it!"
275,"눉
I don't understand the resort fee, in other locations things like WiFi are free. $35 / day seems excessive. I understand this is a Las Vegas 'thing' not just Caesars."
276,"눉
Smell of cigarette smoke not always welcome."
277,"눉
There was no daylight in the room as the window was facing a wall."
278,"눉
Main breakfast buffet was extortionately priced - $43 each!"
279,"눉
The cost of the breakfast in the AMERICANO
It's to big ,you get lost g"
280,"눉
Pretty much pay for the name only. Night was very expensive and didn't get much else... even had to pay for parking too (self parking)"
281,"눉
I didn't like finding a bloody band-aid on the floor by the bed when I first got into the room I paid $550 for. I also didnt like when I complained to booking.com -- they were only able to offer me free wifi in exchange for the issue."
282,"눉
Nothing!"
283,"눉
No microwave or fridge.  No blow dryer.  Prices of everything was over the top expensive."
284,"눉
The distances from the room to different venues is far.  One day on the fit bit we clocked over 3 miles."
285,"눉
Tower Wing undergoing renovation our room was noisy because of exposed hvac duct behind closet door. Requested new room but they were fully booked so we checked out after the first night because we couldn't sleep with the noise. Request credit for one night we didn't use."
286,"눉
I was very disappointed having to pay for parking! You would think that after paying for a high priced suite it would be free, also we had a coffee maker in the room but no coffee for it!"
287,"눇
The upgrade for the premium suite was well worth it and the bacchanal buffet is a must! Everything was well worth its cost. All staff encountered were friendly and helpful, I would definitely book my next trip at Caesars."
288,"눉
Had to wait nearly 3 hours to check in however this was sorted with a $35 dollar added to my room to spent on food for later so top marks"
289,"눇
We knew this was going to be good, but WOW! The room was nice and elegant, comfortable bed and very spacious bathroom. The resort, restaurants and casino are great. Swimming pool to die for!"
290,"눉
I was charged $15 for internet as we used 3 devices instead of the allowed 2 for free. We were also incorrectly charged for early check in 3-4 times which was rectified at checkout but only because I had to query it."
291,"눉
My original room was cancelled and went from two queen bed to a king size. But was given a roll away bed at no course. So still all good."
292,"눉
N/A"
293,"눉
Fell in shower due to not draining   Medicine stuck in my throat while using slot machine, waitress refused to give me water because not her station. Reserved room was not available, received a different room"
294,"눉
Very expensive place to stay between the hotel fee, resort fee, meals, drinks etc...  It can really add up quickly.  
Hotel charged $40/night for a ""resort fee"" on top of the nightly hotel fee.  I would have thought the hotel fee would cover the ""resort fee"".  I think it's just another way to get more money from us.  Resort fee didn't allow access to sauna, hot tub or steam room which was depressing."
295,"눉
$350 a night should have complimentary coffee in room."
296,"눉
Housekeeping did a poor job. Staff was generally nice, but we did encounter a few that would have benefitted from some customer service training."
297,"눉
The bed was uncomfortable."
298,"눉
We've enjoyed every minute there! Thank you so much!!"
299,"눉
asked for adjoining rooms during reservation and at check in not able to accompdate. Not even on same floor. Furniture set up in rooms room odd.  All jammed by bed and nothing across rhe room??  No robe, hair blower in bathrooms.  Parking fees were confusing .. paid inside hotel at kiosk and were charged again on room bill. Better value at the palazzo and venetian"
300,"눉
Breakfast was  ""included"" but in fact this is only $40 per room which could be spent in a number of different eating places but was not enough to cover 2 whole breakfast meals."
301,"눉
The hotel epitomised everything we disliked about vegas. As european's looking for we found it extremely busy, tacky and class'less but this is mainly an issue because of our preconceptions of vegas."
302,"눉
Check in lines are quite long"
