,Name,Nationality,Date,Score,Topic,Tags,History reviews
152,Rose,United Kingdom,"Reviewed: November 9, 2016",3.3,Rude staff who herd you about like cattle and shout at you,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,4 Reviews
153,James,Canada,"Reviewed: November 2, 2016",9.6,A diamond in vegas,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,4 Reviews
154,Yanxin,China,"Reviewed: November 1, 2016",9.6,Great experience at reasonable price,• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night,3 Reviews
155,Dain,United States of America,"Reviewed: October 31, 2016",7.5,The hotel was beautiful and set up nicely.,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights,1 review
156,Jo,United Kingdom,"Reviewed: October 31, 2016",9.6,Excellent hotel but you do need plenty of money .,• Leisure trip• Couple• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,11 Reviews
157,Humaid,United Arab Emirates,"Reviewed: October 31, 2016",9.6,Amazing resort.,• Leisure trip• Couple• Tower Room• Stayed 3 nights• Submitted from a mobile device,16 Reviews
158,Cherokee,United Kingdom,"Reviewed: October 30, 2016",8.8,David & Cherokee - 4 days at the Wynn Vegas,• Leisure trip• Couple• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,2 Reviews
159,Scott,United States of America,"Reviewed: October 28, 2016",10,Wynn is a win!,• Leisure trip• Couple• Special Offer - Deluxe Resort King - Resort Credit• Stayed 1 night• Submitted from a mobile device,1 review
160,Charlene,United States of America,"Reviewed: October 25, 2016",7.1,"Exceptionally beautiful room, Very comfortable bed. Eat elsewhere or pay $ 19.20 for one bagel!!",• Leisure trip• Group• Special Offer - Deluxe Resort King - Resort Credit• Stayed 2 nights,1 review
161,Elizabeth,United Kingdom,"Reviewed: October 19, 2016",7.1,"Too expensive to 'Wynn' me over! You Wynn some, you lose some!!",• Leisure trip• Couple• Deluxe Resort King• Stayed 4 nights,4 Reviews
162,Hassan,United Kingdom,"Reviewed: October 19, 2016",10,"Amazing hotel, staff and restaurants.",• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights,6 Reviews
163,רן,Israel,"Reviewed: October 18, 2016",4.6,A disappointing experience,• Leisure trip• Group• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,5 Reviews
164,doukimo,United States of America,"Reviewed: October 17, 2016",8.8,"Very nice facilities, rooms, safe access to elevator.",• Leisure trip• Group• Deluxe Resort King• Stayed 2 nights,2 Reviews
165,Don,United States of America,"Reviewed: October 17, 2016",9.2,Great stay.  We will be back,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,1 review
166,Christine,Australia,"Reviewed: October 16, 2016",9.2,Great place,• Leisure trip• Couple• Deluxe Resort King• Stayed 6 nights• Submitted from a mobile device,4 Reviews
167,Randall,United States of America,"Reviewed: October 10, 2016",9.2,Incredible place in Vegas - Wish I could afford to come more often,• Leisure trip• Couple• Deluxe Resort King• Stayed 4 nights,1 review
168,Julian,United Kingdom,"Reviewed: October 9, 2016",7.9,Glad to have been. Never again.,• Leisure trip• Group• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,9 Reviews
169,Stefanie,United States of America,"Reviewed: October 4, 2016",6.3,It was a nice atmosphere and the rooms were nice,• Business trip• Couple• Deluxe Resort King• Stayed 4 nights,1 review
170,Onno,Netherlands,"Reviewed: October 1, 2016",6.3,"Room with a view and gadgets, pool-area and decorations in...",• Leisure trip• Couple• Panoramic View Deluxe• Stayed 2 nights• Submitted from a mobile device,17 Reviews
171,Keith,United Kingdom,"Reviewed: September 23, 2016",9.6,What a fabulous place,• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night,18 Reviews
172,Anonymous,United Kingdom,"Reviewed: September 23, 2016",7.9,Room location crucial for experience,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights,2 Reviews
173,Thenayan,Saudi Arabia,"Reviewed: September 17, 2016",8.8,"The place, room, and staff are really amazing",• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,10 Reviews
174,nazm10,Qatar,"Reviewed: September 8, 2016",8.8,Good Location,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,12 Reviews
175,Zen,Singapore,"Reviewed: September 5, 2016",9.6,Awesome location and worth the stay,• Leisure trip• Solo traveler• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,9 Reviews
176,Jeremy,United States of America,"Reviewed: September 3, 2016",10,Nicest hotel on the strip hands down!,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,1 review
177,Aurimas,United States of America,"Reviewed: August 31, 2016",10,Wonderful stay !,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,2 Reviews
178,Marcin,Poland,"Reviewed: August 30, 2016",9.6,One of the best in Las Vegas,• Leisure trip• Couple• Tower Room• Stayed 3 nights• Submitted from a mobile device,1 review
179,Andrea,United States of America,"Reviewed: August 30, 2016",9.6,Hotel Wynn... an oasis in the desert : ),• Business trip• Solo traveler• Deluxe Resort King• Stayed 2 nights,1 review
180,Kristy,United States of America,"Reviewed: August 30, 2016",5.8,Not worth the the money! Customer service was horrible!,• Leisure trip• Group• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,1 review
181,Terri,United States of America,"Reviewed: August 30, 2016",10,Great place to stay in Vegas.,• Leisure trip• Group• Deluxe Resort King• Stayed 3 nights,1 review
182,Abdullah,Saudi Arabia,"Reviewed: August 30, 2016",10,The best,• Leisure trip• Family with young children• 2 rooms• Stayed 2 nights• Submitted from a mobile device,21 Reviews
183,Mohamad,Saudi Arabia,"Reviewed: August 30, 2016",6.3,If you're looking for service this is not your place,• Leisure trip• Group• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,8 Reviews
184,Esra,United Arab Emirates,"Reviewed: August 29, 2016",10,Beautiful location.,• Leisure trip• Couple• Deluxe Resort King• Stayed 5 nights• Submitted from a mobile device,7 Reviews
185,Robert,Switzerland,"Reviewed: August 28, 2016",8.3,amazing pool area.,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,4 Reviews
186,Clement,Singapore,"Reviewed: August 26, 2016",8.8,Tower room is worth it but the strip view can be disappointing if lower floor,• Leisure trip• Couple• Tower Room• Stayed 1 night• Submitted from a mobile device,6 Reviews
187,Juhara,Saudi Arabia,"Reviewed: August 25, 2016",6.7,No slippers!!,• Leisure trip• Group• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,2 Reviews
188,Russell,United States of America,"Reviewed: August 23, 2016",10,Very comfortable room with beautiful furnishings.,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights,10 Reviews
189,Benjamin,United Kingdom,"Reviewed: August 20, 2016",9.6,Affordable luxury,• Leisure trip• Family with older children• Tower Room• Stayed 1 night,7 Reviews
190,Raquel,United States of America,"Reviewed: August 17, 2016",9.6,It was nice!,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights,1 review
191,Rachael,United Kingdom,"Reviewed: August 15, 2016",9.2,Extravagant luxury,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,8 Reviews
192,Tia,Canada,"Reviewed: August 15, 2016",10,Amazing experience!,• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,1 review
193,risingdee,South Korea,"Reviewed: August 9, 2016",8.3,Outstanding,• Leisure trip• Family with older children• Parlor Suite• Stayed 5 nights,31 Reviews
194,Candy_zjr,United States of America,"Reviewed: August 9, 2016",10,Great indoor garden!,• Leisure trip• Family with older children• Deluxe Resort King• Stayed 2 nights,13 Reviews
195,Louise,New Zealand,"Reviewed: August 6, 2016",7.1,"Avoid West wing, golf course side.",• Leisure trip• Family with older children• Deluxe Resort King• Stayed 6 nights• Submitted from a mobile device,1 review
196,Sherri,United States of America,"Reviewed: August 4, 2016",9.6,Microwave & Refrigerator,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,1 review
197,Linda,United States of America,"Reviewed: August 3, 2016",8.8,Great stay - Cleaning crew missed the mark,• Leisure trip• Family with older children• Deluxe Resort King• Stayed 3 nights,3 Reviews
198,Alexander,United States of America,"Reviewed: August 2, 2016",9.6,"Great hotel, atrocious Internet access.",• Leisure trip• Group• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,1 review
199,Zoe,United Kingdom,"Reviewed: August 2, 2016",10,Amazing trip of dreams,• Couple• Deluxe Resort King• Stayed 8 nights• Submitted from a mobile device,3 Reviews
200,Melanie,United States of America,"Reviewed: August 2, 2016",7.1,"Beautiful hotel, but okay stay.",• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,1 review
201,Anonymous,United Kingdom,"Reviewed: August 1, 2016",8.8,As part of the offer in booking through Booking.,• Leisure trip• Couple• Deluxe Resort King• Stayed 4 nights,1 review
202,Anonymous,United Kingdom,"Reviewed: July 30, 2016",9.2,Luxury hotel marred by cheap flaws,• Leisure trip• Couple• Deluxe Resort King• Stayed 5 nights• Submitted from a mobile device,1 review
203,Mariusz,Poland,"Reviewed: July 28, 2016",10,Luxurious!,• Leisure trip• Family with young children• Tower Room• Stayed 1 night,33 Reviews
204,Sharon,United States of America,"Reviewed: July 24, 2016",9.6,The view from the corner room - two window walls - was...,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights,1 review
205,Felicia,Indonesia,"Reviewed: July 22, 2016",9.2,nice bedroom!,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights,2 Reviews
206,Tee,Australia,"Reviewed: July 21, 2016",7.9,"Our room was excellent and extremely comfortable, with...",• Leisure trip• Couple• Panoramic View Deluxe• Stayed 3 nights• Submitted from a mobile device,16 Reviews
207,Simon,United Kingdom,"Reviewed: July 18, 2016",7.5,Comfortable but overcrowded and greedy,• Leisure trip• Family with older children• 2 rooms• Stayed 6 nights• Submitted from a mobile device,1 review
208,Ann,United States of America,"Reviewed: July 16, 2016",5.4,NO SLEEP,• Leisure trip• Family with young children• Tower Room• Stayed 1 night• Submitted from a mobile device,1 review
209,Itir,Turkey,"Reviewed: July 8, 2016",8.3,Beautiful hotel with bad staff,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,4 Reviews
210,TexRoz,United States of America,"Reviewed: July 8, 2016",9.2,Worth the Extra $$$$,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,10 Reviews
211,Anthony,Australia,"Reviewed: July 7, 2016",2.5,Staff very rude,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,3 Reviews
212,Judy,United States of America,"Reviewed: July 4, 2016",10,Everything perfect - except for no coffee pot!,• Leisure trip• Couple• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,1 review
213,Luis,United States of America,"Reviewed: July 3, 2016",6.3,Rooms are really nice and excellent view,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights,3 Reviews
214,Super,United States of America,"Reviewed: July 2, 2016",9.6,Staying at the Wynne is a must for my husband and I.,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,1 review
215,Lisa,United Kingdom,"Reviewed: July 2, 2016",9.2,Beautiful hotel. Allow time and patience for check in.,• Leisure trip• Couple• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,1 review
216,M,United States of America,"Reviewed: June 29, 2016",10,Sweet!,• Leisure trip• Couple• Panoramic View Deluxe• Stayed 4 nights• Submitted from a mobile device,2 Reviews
217,Greta,United States of America,"Reviewed: June 29, 2016",9.2,"A delightful, beautiful resort.",• Leisure trip• Family with older children• Panoramic View Double Deluxe• Stayed 2 nights• Submitted from a mobile device,27 Reviews
218,Alexey,Russia,"Reviewed: June 28, 2016",10,Splendid interior and views from the rooms.,• Business trip• Solo traveler• Deluxe Resort King• Stayed 7 nights,26 Reviews
219,Ivonne,United States of America,"Reviewed: June 28, 2016",8.8,"Worst experience with booking.com ever
",• Leisure trip• Group• Deluxe Resort King• Stayed 3 nights,8 Reviews
220,Camille,United States of America,"Reviewed: June 27, 2016",10,Impeccable service and excellent value!!,• Family with young children• Tower Room• Stayed 1 night• Submitted from a mobile device,1 review
221,abedrabbo,United Arab Emirates,"Reviewed: June 25, 2016",8.3,Great facility with an awesome pool. Friendly staff and comfortable stay.,• Leisure trip• Family with older children• Panoramic View Double Deluxe• Stayed 2 nights,7 Reviews
222,arubansunshine,Aruba,"Reviewed: June 24, 2016",7.1,The hotel did not accept the rate given by Booking.,• Business trip• Group• Deluxe Resort King• Stayed 4 nights,1 review
223,She'll ,United Kingdom,"Reviewed: June 23, 2016",8.3,"Very comfy beds, great comfy room.",• Leisure trip• Solo traveler• Deluxe Resort King• Stayed 5 nights• Submitted from a mobile device,4 Reviews
224,Anonymous,United States of America,"Reviewed: June 21, 2016",6.7,My TV was not working and took three engineers to fix it.,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights,1 review
225,Alexander,United States of America,"Reviewed: June 21, 2016",6.7,Great but not great value for money,• Leisure trip• Group• Deluxe Resort King• Stayed 2 nights,1 review
226,Anonymous,United Arab Emirates,"Reviewed: June 20, 2016",6.3,"Nice but over rated, over priced, calculating.",• Business trip• Couple• Tower Room• Stayed 3 nights,6 Reviews
227,Paul,United States of America,"Reviewed: June 10, 2016",9.6,Would stay here anytime!,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights,2 Reviews
228,Hans,Switzerland,"Reviewed: June 7, 2016",6.3,Everything is overcharged !,• Leisure trip• Solo traveler• Panoramic View Double Deluxe• Stayed 3 nights• Submitted from a mobile device,45 Reviews
229,Holly,United States of America,"Reviewed: June 3, 2016",5.8,"A beautiful hotel, but below standard services...",• Leisure trip• Family with older children• Resort Double Deluxe• Stayed 2 nights,6 Reviews
230,Khalid,Bahrain,"Reviewed: June 1, 2016",10,"Amazing ! A must in Vegas, worth every penny !!",• Leisure trip• Family with young children• Deluxe Resort King• Stayed 3 nights,14 Reviews
231,Lori,United States of America,"Reviewed: May 31, 2016",8.3,He spent the weekend we did not get sleep Friday Saturday or...,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,1 review
232,Sean,United States of America,"Reviewed: May 31, 2016",7.1,Meh,• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights,1 review
233,Anand,United States of America,"Reviewed: May 31, 2016",10,Best bang for your buck!,• Leisure trip• Group• Panoramic View Double Deluxe• Stayed 3 nights• Submitted from a mobile device,2 Reviews
234,Moncerrat,United States of America,"Reviewed: May 31, 2016",9.6,Pleasant and relaxing,• Leisure trip• Group• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,1 review
235,Darren,United Kingdom,"Reviewed: May 28, 2016",9.6,Wow!!,• Leisure trip• Couple• Panoramic View Deluxe• Stayed 1 night• Submitted from a mobile device,11 Reviews
236,Worldtraveller,India,"Reviewed: May 23, 2016",10,The food and service at Mizumi.,• Leisure trip• Family with older children• Tower Room• Stayed 4 nights,1 review
237,David,Ireland,"Reviewed: May 21, 2016",7.5,From a non-gambler...............,• Business trip• Solo traveler• Deluxe Resort King• Stayed 4 nights,1 review
238,Penelope,United States of America,"Reviewed: May 20, 2016",9.2,"Lots of fun, service could have been more attentive.",• Leisure trip• Family with young children• Deluxe Resort King• Stayed 3 nights,35 Reviews
239,Anonymous,United States of America,"Reviewed: May 18, 2016",7.5,"Beautiful Hotel, good food, nice stay.",• With a pet• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights,1 review
240,Ryu,United States of America,"Reviewed: May 17, 2016",7.5,"Nice view, but...",• Leisure trip• Family with young children• Panoramic View Double Deluxe• Stayed 1 night• Submitted from a mobile device,3 Reviews
241,Hennessy,United States of America,"Reviewed: May 17, 2016",8.8,The room was clean and nicely decorated.,• Leisure trip• Solo traveler• Deluxe Resort King• Stayed 2 nights,1 review
242,Ram,United States of America,"Reviewed: May 16, 2016",10,Total Perfection Except for the Pool Experience,• Leisure trip• Couple• Deluxe Resort King• Stayed 6 nights• Submitted from a mobile device,1 review
243,Stefan,Slovakia,"Reviewed: May 5, 2016",6.3,unperfect for 5 star,• Leisure trip• Couple• Tower Room• Stayed 2 nights,5 Reviews
244,Johanna,Ireland,"Reviewed: May 4, 2016",8.3,Luxurious accommodation and restaurants excellent and great choice,• Leisure trip• Group• 2 rooms• Stayed 4 nights• Submitted from a mobile device,2 Reviews
245,N,United States of America,"Reviewed: May 2, 2016",8.3,Good but not great,• Leisure trip• Couple• Tower Room• Stayed 3 nights• Submitted from a mobile device,2 Reviews
246,Mtop,Greece,"Reviewed: May 1, 2016",9.6,very good pick,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights,11 Reviews
247,Nora,United States of America,"Reviewed: April 29, 2016",9.6,Great stay and i'll love to visit again,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights,1 review
248,Marie,United Kingdom,"Reviewed: April 26, 2016",10,"Don't miss the buffet, with the endless pour",• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night,1 review
249,Paula,United States of America,"Reviewed: April 20, 2016",10,Very nice and good value for the price,• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night,1 review
250,Robert,United States of America,"Reviewed: April 18, 2016",9.6,Very nice. Very expensive.,• Leisure trip• Group• Tower Room• Stayed 3 nights• Submitted from a mobile device,1 review
251,Mark_from_Aus,Australia,"Reviewed: April 16, 2016",8.3,Vegas resort.,• Leisure trip• Couple• Panoramic View Deluxe• Stayed 4 nights• Submitted from a mobile device,26 Reviews
252,Fahad Alowais,Saudi Arabia,"Reviewed: April 14, 2016",6.7,"Rooms
",• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,26 Reviews
253,Ahmed,United Arab Emirates,"Reviewed: March 27, 2018",7.1,600 deposite only for cosino even for night,• Business trip• Group• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,38 Reviews
254,Hani,Saudi Arabia,"Reviewed: March 27, 2018",7.1,Good hotel,• Leisure trip• Couple• Special Offer - Deluxe Resort King - Resort Credit• Stayed 3 nights• Submitted from a mobile device,35 Reviews
255,Hong,Canada,"Reviewed: March 22, 2018",9.6,swimming pool is very good,• Leisure trip• Family with young children• Special Offer - Deluxe Resort Double - Resort Credit• Stayed 1 night,5 Reviews
256,Margarita,Latvia,"Reviewed: March 17, 2018",10,All is prefect ,• Couple• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,25 Reviews
257,Lincoln,Australia,"Reviewed: March 14, 2018",10,Excellent decor staff were extremely helpful and friendly.,• Leisure trip• Group• Resort Double Deluxe• Stayed 5 nights• Submitted from a mobile device,9 Reviews
258,Ronnie,United States of America,"Reviewed: March 12, 2018",5.8,I️ would love for the Wynn hotel to treat us better next time,• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,1 review
259,Jim,United States of America,"Reviewed: March 12, 2018",9.6,Will definitely stay at the Wynn again.,• Leisure trip• Couple• Panoramic View Deluxe• Stayed 2 nights• Submitted from a mobile device,1 review
260,Yi,Taiwan,"Reviewed: March 11, 2018",8.8,Nice a&clean .,• Leisure trip• Couple• Deluxe Resort King• Stayed 8 nights• Submitted from a mobile device,4 Reviews
261,Jasmine,United States of America,"Reviewed: March 9, 2018",6.3,The staff was horrible to me and my friend they treated us...,• Group• Special Offer - Deluxe Resort King - Resort Credit• Stayed 3 nights• Submitted from a mobile device,2 Reviews
262,Yousif,Saudi Arabia,"Reviewed: March 5, 2018",9.2,Very good location for shopping and good facility. Watch out for mail receiving charges.,• Business trip• Solo traveler• Deluxe Resort King• Stayed 7 nights,2 Reviews
263,Grech,United Kingdom,"Reviewed: March 4, 2018",9.2,"Great stay, great place",• Leisure trip• Group• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,3 Reviews
264,Shelley,Canada,"Reviewed: March 1, 2018",9.2,service in the cafe terrace was a bit slow first afternoon,• Leisure trip• Group• Deluxe Resort King• Stayed 3 nights,2 Reviews
265,Matthew,Canada,"Reviewed: March 1, 2018",10,Pool is fantastic.,• Leisure trip• Couple• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,2 Reviews
266,Paul,United States of America,"Reviewed: February 26, 2018",6.3,Too expensive!,• Leisure trip• Solo traveler• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,2 Reviews
267,Farhad,Pakistan,"Reviewed: February 21, 2018",6.7,The buffet wasn’t up to my expectations.,• Business trip• Solo traveler• Deluxe Resort King• Stayed 9 nights• Submitted from a mobile device,1 review
268,Elsa,United States of America,"Reviewed: February 21, 2018",10,The.hotel complete is awesome from service to amenities all...,• Leisure trip• Family with young children• Resort Double Deluxe• Stayed 1 night• Submitted from a mobile device,5 Reviews
269,Elisa,United States of America,"Reviewed: February 19, 2018",10,Excellent,• Leisure trip• Couple• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,1 review
270,Cheryl,United States of America,"Reviewed: February 19, 2018",9.6,"Lovely, relaxing and fun.",• Leisure trip• Solo traveler• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,1 review
271,Mackenzie,Canada,"Reviewed: February 18, 2018",7.9,Beautiful but expensive for amenities,• Leisure trip• Group• Special Offer - Deluxe Resort Double - Resort Credit• Stayed 2 nights• Submitted from a mobile device,1 review
272,Angelo,Australia,"Reviewed: February 17, 2018",10,Premium at its best,• Business trip• Solo traveler• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,20 Reviews
273,Kaoyong,Canada,"Reviewed: February 16, 2018",10,best   very good,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 1 night,1 review
274,Benjamin,United States of America,"Reviewed: February 16, 2018",9.2,Price for room,• Business trip• Solo traveler• Deluxe Resort King• Stayed 1 night,2 Reviews
275,Corrine,United States of America,"Reviewed: February 13, 2018",4.6,Flowers in lobby,• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,1 review
276,Louie,United States of America,"Reviewed: February 13, 2018",10,Great,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,2 Reviews
277,Fiona,United States of America,"Reviewed: February 3, 2018",10,"Romantic, exotic and great views",• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,13 Reviews
278,Ayiela,United States of America,"Reviewed: January 30, 2018",9.6,"Luxurious, clean, with great views",• Leisure trip• Couple• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,9 Reviews
279,Roberto,Brazil,"Reviewed: January 29, 2018",10,This hotel is amazing,• Leisure trip• Family with young children• Deluxe Resort King• Stayed 2 nights,14 Reviews
280,Rashed,Bahrain,"Reviewed: January 27, 2018",10,View of the city was amazing.,• Leisure trip• Couple• Deluxe Resort King• Stayed 5 nights• Submitted from a mobile device,6 Reviews
281,Stephen,United States of America,"Reviewed: January 25, 2018",10,"The layout is convenient, lots of new games a great food...",• Business trip• Family with young children• 2 rooms• Stayed 4 nights• Submitted from a mobile device,1 review
282,Ali,Kuwait,"Reviewed: January 24, 2018",9.6,Loved it,• Leisure trip• Couple• Deluxe Resort King• Stayed 5 nights• Submitted from a mobile device,4 Reviews
283,Dana,Qatar,"Reviewed: January 24, 2018",10,No coffee complementary Facilities,• Leisure trip• Group• Deluxe Resort King• Stayed 3 nights,2 Reviews
284,William,Germany,"Reviewed: January 24, 2018",10,we sawb Le reve and loved it!,• Leisure trip• Couple• Resort Double Deluxe• Stayed 2 nights,7 Reviews
285,Sheri,United States of America,"Reviewed: January 23, 2018",9.6,no complementary coffee available.,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,1 review
286,Nathan,Cook Islands,"Reviewed: January 19, 2018",10,Fabulous Hotel loved every minute of our 5 day stay,• Leisure trip• Couple• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,1 review
287,Srt,United Kingdom,"Reviewed: January 16, 2018",10,I was here a few years ago and can’t wait to come back,• Leisure trip• Couple• Panoramic View Deluxe• Stayed 4 nights• Submitted from a mobile device,2 Reviews
288,Jacob,United States of America,"Reviewed: January 15, 2018",7.5,They charge my credit card twice and the staffs couldn’t...,• Leisure trip• Family with young children• 2 rooms• Stayed 2 nights• Submitted from a mobile device,1 review
289,risingdee,South Korea,"Reviewed: January 15, 2018",10,"Experience Tower Suites, you won't regret.",• Leisure trip• Family with young children• Parlor Suite• Stayed 9 nights,31 Reviews
290,Sally,United States of America,"Reviewed: January 14, 2018",10,No Bluetooth speaker in rooms,• Leisure trip• Group• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,1 review
291,Jason,United Arab Emirates,"Reviewed: January 4, 2018",8.3,"3 Night club, Omnia is walking distance- Great Encore Pool...",• Leisure trip• Solo traveler• Deluxe Resort King• Stayed 4 nights• Submitted from a mobile device,6 Reviews
292,Yuxiang,United States of America,"Reviewed: January 3, 2018",10,Perfect,• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,6 Reviews
293,Daniel,United States of America,"Reviewed: January 2, 2018",10,When we return this will be our first choice,• Leisure trip• Group• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,1 review
294,Abbas,United States of America,"Reviewed: December 25, 2017",10,Great,• Leisure trip• Group• Deluxe Resort King• Stayed 2 nights• Submitted from a mobile device,3 Reviews
295,Simone,United Kingdom,"Reviewed: December 25, 2017",9.6,You can not choose a best hotel in Vegas,• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,10 Reviews
296,Jialan,United States of America,"Reviewed: December 24, 2017",8.8,I enjoy the day when I stay in Wynn.,• Leisure trip• Group• Tower Room• Stayed 1 night• Submitted from a mobile device,3 Reviews
297,Francisco,Switzerland,"Reviewed: December 24, 2017",6.7,"Not too much, we where expecting more",• Leisure trip• Family with young children• Special Offer - Deluxe Resort Double - Resort Credit• Stayed 1 night• Submitted from a mobile device,49 Reviews
298,Pedersen,United States of America,"Reviewed: December 20, 2017",8.8,I thought it was ridiculous that we had to pay and extra $25...,• Leisure trip• Group• Deluxe Resort King• Stayed 2 nights,1 review
299,Geoffrey,United Kingdom,"Reviewed: December 14, 2017",9.0,Very enjoyable,• Leisure trip• Couple• Deluxe Resort King• Stayed 5 nights• Submitted from a mobile device,4 Reviews
300,Anonymous,Israel,"Reviewed: December 10, 2017",6.7,I was amazed with the fact that they charged me for the some packages that arrived from Amazon. I wi,• Business trip• Group• Deluxe Resort King• Stayed 4 nights,2 Reviews
301,Tiffany,United States of America,"Reviewed: December 10, 2017",10,Best hotel in Vegas,• Leisure trip• Group• Resort Double Deluxe• Stayed 2 nights• Submitted from a mobile device,8 Reviews
302,Jason,United Kingdom,"Reviewed: December 1, 2017",9.6,Simply the best and most elegant hotel in Las Vegas,• Leisure trip• Couple• Deluxe Resort King• Stayed 4 nights,5 Reviews
303,Youxin,United States of America,"Reviewed: December 1, 2017",10,Everything,• Leisure trip• Group• Deluxe Resort King• Stayed 2 nights,20 Reviews
304,Joti,Canada,"Reviewed: November 25, 2017",10,We enjoyed our stay immensely. The hotel is gorgeous,• Leisure trip• Couple• Deluxe Resort King• Stayed 3 nights• Submitted from a mobile device,1 review
305,John,Switzerland,"Reviewed: November 22, 2017",10,Top Hotel - meets highest expectations,• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night,2 Reviews
306,Jeff,United States of America,"Reviewed: November 19, 2017",10,Gorgeous room.,• Leisure trip• Couple• Deluxe Resort King• Stayed 1 night• Submitted from a mobile device,1 review
