,0
170,The front desk personnel where rude. It took over 30 minutes to check in. I had a package mailed to the hotel. The sender called and verified how to send the package the hotel returned it to the post office. The room noise was horrible. It took 2 calls to security before the situation was ever addressed at 3am by 5am we could actually sleep. I paid a lot to stay here. From what I could tell there were a lot of twenty somethings piling into one room. I mean like 10 people a room I assume this is the only way they could afford to stay here. Very disappointed in this hotel for the price.
171,The only thing I dislike is the smoke in the casino.  Not too much they can do about that though. Their ventilation system is better than other casinos but still smokey.
172,No coffe machines nor tea
173,"The staff, there is no personal touch, they make you feel uncomfortable. The pool seats are reserved for the cabanas, the quality of the food is very very very bad"
174,"Brunch buffet not so original. I'd avoid it and go somewhere elese.Robotic staff, neutral at best at the stations."
175,"Not aware of the dedicated tower room check in counter (it's not indicated and they don't send email so we had to queue a long while for checking in); ""strip view"" on the 16th floor in the left of the tower is a joke;"
176,"The 5 star hotel do not provide slippers!! And no complementary water
I asked the cleaning lady for slippers and she said they are not provided to guests. When I checked out I expressed that to the deck and they said I should ask for it! 
They charged me 80$ extra for a night due to ""high demand """
177,Cocktails are a little pricey >$20 but the food is reasonable.
178,The pool entry was hard to find.
179,I did not like the service of the waitress at the Allegro restaurant. The waitress took a long time to bring my check despite that I told the waitress that I was in a hurry to go to a show.
180,"They need to sort the process for check in/ out. We were checking out on Sunday morning and it was slightly chaotic, though for check out we did find the rapid check out process which bypassed this, but I felt for those checking in."
181,The alcohol from the mini bar is a bit pricy.
182,"Bed service at the wynn registration.
bell man was terribly late and quite rude."
183,Nah!
184,"Complained of noisey music after 2nd night, until 4am and as far up as the 36th floor.  Requested room change. Staff mentioned a nightclub and it was not open the 3rd night - it was. Complained for a second time on the 4th day. Staff tried to negotiate with me again - lack of sleep and not impressed. Requested a room change - they had one ready that afternoon. Much quieter - bliss. 
Disappointing start to our holiday as we stayed at this hotel last year no problems."
185,"For the price that you pay, there should be a refrigerator and microwave in the rooms without a charge. Everyone may not eat all of his/her food from the day or night before, and he/she needs somewhere to place and warm it."
186,"The room was very dirty on arrival.  There was a breath rite strip stuck to the shower, The floors had not been vacuumed, the dresser had a bunch of trash in it.  The sink ran slow and the bed was lumpy"
187,"Internet that is provided is absolutely awful. Considering the cost of the wifi bundled in the ridiculous ""resort fees"" and the reputation of the Wynn the quality and stability of the wifi was unacceptable. Worst of all the cellphone coverage is dismal at best while in the rooms forcing guests to rely on the wifi which is equally as bad.  Internet access at a Holiday Inn or Motel 6 is light years better."
188,Really... Nothing at all
189,Goodies in the room were on a weight system- so why are they in the room if they're not included with the room rate? Also didn't care for the constant checking of our ID's at every table. It didn't make me feel very welcomed.
190,"As part of the offer in booking through Booking.com we were supposed to receive show tickets, which when we arrived at the hotel we were advised that this was not the case and that the Showstoppers were not performing. Very disappointing as this was one of the reasons why we booked through Booking.com at the Wynn. No alternative was offered and no attempt was made to rectify this."
191,"Charging for wifi in this day and age is like charging extra to switch the lights on. Cheap move. Also, they make you pay hugely for anything not included in the room rate."
192,"Queues for breakfast - restaurant could be bigger, you have to make a reservation for breakfast"
193,Paying for internet and access to fitness room.  No  room in frig for anything but what hotel wanted you to buy.  Concierge was very prompt to supply another refrigerator (at no cost) for diabetic supplies.
194,the reception staff didn't tell us if there will be other taxes and charges. since the hotel have been paid for through booking.com
195,"The staff seemed to have mixed attitudes toward people who book through booking.com though most were polite and attentive.
The adult pool area was like an out of control episode of the Kardashians and the many mirrors in the hotel were often accompanied by heavily made-up/fake tanned people taking pouting selfies.
Fine if that's your scene but it wasn't ours."
196,"Queues for checking in and for buffet. Out of character for a hotel of this supposed quality 
No automatic turndown/ towel change
Everything charged as an extra - wifi, water,"
197,Was in a very noisy room with party people blasting music late into the night. Could even hear it out in the hall when walking towards the room. Repeated calls to ask for room change as I had to get up the next morning at 6:00.
198,Staff! They are not helpful. We wanted a smoking room and room in the upper floors. We have mentioned in our booking reservarion but they give us non smoking room in the floor 5!
199,"The lobby, bars, casino were very smoke filled. Went to other casinos & didn't feel choked. Filter system? The Wynn shops were lovely but super pricey. There are 2 large malls next door & across the street."
200,The staff were very rude. They would open the room door without knocking and would walk in this happened two times in one day . I called management and they said they would look into it but nothing happened.  Not happy at all  .
201,"A coffee pot would have been stellar.  I understand the suites had coffee service in their rooms.  Also, can understand with a corner room there was no place for a couch, but there was no place to relax but the bed."
202,Registration for check in and check out is very disorganized!! Nobody will call you to attend you. We had to ask front desk people who will help us with check in and check out.
203,A/C too cold.  We turned it off.
204,the checking in process was outrageous (1.5 hours)
205,No coffee maker in the room
206,nothing really.  Pool a little crowded but that is the case at every hotel in the summer.
207,"The fridge is full of paid beverages - so no space to put anything else there.
Pay attention to the ""resort fee"" - in my case it was $32 per day and was covering internet, fitness gym and smth else (I only needed internet, but  there was no option to change/cancel this fee). I did not notice this fee when booking a room. If there is not option to cancel that fee - I see no reason for separating it from a room charge."
208,"Really liked the hotel but booking my room through booking.com sucked. I
was there with a group of friends, the rest of them obtained the same
room, on the same dates at half the price (booking through a different
website), it included breakfast and the resort fee for them was
optional. How much more did I end up spending during the same stay? 600+
usd only on those things!!!!! I had always reserved through booking.com.
Not anymore."
209,"No chair or sofa in the room.
No complimentary water! for a family of four this can get annoying having to buy and carry water bottles from outside
No bath slippers in the room, had to ask for them.
No baggage help upon arrival!"
210,The hotel did not accept the rate given by Booking.com..we ended up paying the rate at the hotel which was way higher than the rate given by Booking.com plus extra costs not previously mentioned...
211,I had  six friends that I met out there all had breakfast included and I didn't! 38 dollars for breakfast is very expensive. I only went once to the buffet but it was amazing! Very long queue to get in though.  They persuaded me to upgrade my room once I arrived which wasn't worth doing as my friend who didn't had a better view!
212,My TV was not working and took three engineers to fix it. Also I spent a lot of money at the Casino at the tables and lost probably 8k. Then they said I wasn't eligible for any comps.
213,"Like many Las Vegas top hotels, everything is f*ing expensive. $6 water bottle in the room. $18 per device for WiFi. All hotel restaurants; can barely look at them for less than $35, even for a light breakfast. Casino minimums are way too high (on a good day, BJ min is $15). Pool bar 1 drink+bad sandwich: $40."
214,"Felt overcharged. The hotel was too calculating. Rent your fridge, because it's full of their drinks. No room for your items. They charge you after 30 seconds sensor! Pool closes at 7 early bird. Surprising for las wages. ""Tower Suite"" is not a real suite. It's just a normal room. Beware with your expectations. Beware with inclusive breakfast. Gratuity and additional drinks were confusing. Some say it was included, but still added to the total bill. Annoying surprises."
215,Small complaint only...There was a surprising lack of power outlets in the room. Actually had a difficult time plugging in my cell phone to charge.
216,"The behavior of the staff. We had on our bill the whole minibar and the wrong room rates  (the high price of the day and not the price given by booking com). I have to go back to booking com for the reduction as I have errounsly thrown away the printed confirmation of booking.com and no access to Intetnet at the reception to show the staff the error. And I was in a hurry to get to the airport (did not receive a pre ill in the room). The staff refused to check ! 
I shall even go legally agains Wynn whe"
217,"room service, cleaning service, service efficiency, room hygiene
We stayed for two nights at Wynn Las Vegas. We had always heard good words about the hotel, and we wanted to give it a try on our vacation trip. However, our stay was much worse than our expectations.
We checked in and got into our room late in the evening. The room was really nice, with stunning views of the city in the night. We were happy about the room until we checked our bathroom. There was a wet towel in the bath basin, and the basin was still wet. It was extremely shocking to see a bathroom still dirty and uncleaned at the time of check-in. Even for a standard hotel, this would be a fail mark. The room seemed like someone didn't finish cleaning. There was also no bottled water on the table. We called the front desk about the issue. The lady who answered the phone said that she would notify the cleaning service and ask someone to come up and clean the bathroom. No sincere apologies or solutions to change the room. Because we were tired and wanted to go to bed soon. I asked that if we need to wait for the cleaning person to finish cleaning while we are in the room. She said that I could wait till tomorrow for them to clean. I was like excuse me? So I'll have to use the dirty bathroom in a hotel room that i paid for?
I've stayed in other Vegas hotels and haven't seen any situation like this. In the end, they sent someone to come up to look at our room. A guy came after a while and looked at the bathroom. Then he told me that he was gonna send someone to clean it. We waited again for a cleaning lady to come. She seemed very shocked when seeing the dirty bath basin and said we should definitely talk to someone at the hotel. So we had to wait in our room while the cleaning lady cleaned our bathroom in the middle of night.
I have to say this is one of the most ridiculous experiences I've had staying in hotels."
218,Nothing
219,See above
220,"In our 3 days stay, our room got cleaned only once, and that even was per my request. For Memorial Day weekend there was no difference (in terms of costs) between people who stay At The Wynn and others. XS night club was cramped. At concierge they tried to push us to buy tickets because it could be sold out, but at the event's night they were still selling tickets to the last second. We went out of club just to be able to breath, but when we wanted to come back in they put us back in a 1.5 hours long line, even though we showed stamps on our hand."
221,"I like the rooms. We had a panoramic premium double bed room, it had a gorgeous View. The Encore beach club + Surrender nightclub venue is also amazing. Unlike other clubs, the venue is open and less congested."
222,I don't have anything of I can think of.
223,Didn't win much money!
224,The food at Wing Lei was disappointing.
225,"Paying for WiFi............. 
Queuing at the cafe. Great to have somewhere simple for good coffee and light food but too busy. Would be great to have more cafes, i.e. something a notch down from the full table service restaurants for simple breakfasts or lunches"
226,"Requests...crib, high chair and more took more than one request to obtain....3."
227,"It would have been nice to know the prices of the mini bar fridge and snacks that were available.  It was almost scary to even touch an item for fear you would be charged an extraordinary amount.
I thought the casino was very smoky which I did not enjoy."
228,"There was a terrible hotel empoyee, he was so rude, I asked the direction of check in counter, but he was so rudely said single word, I said thank you, but he said nothing. I felt I was un welcomed. He was black, tall, looks early 30s and stood outside of gambling section. I remember his face of bad expression until now."
229,"Would have been nice to have shower gel in the room .. the really small bar of soap not easy to use. Also, difficult to get seated for breakfast without a long wait (1 1/2 hours). The smoke was pretty strong in the casino and surrounding areas."
230,"The pool closing at 7:00 PM. On hot days, this is the best time to enjoy relaxing in the beautiful pool.  Please consider extending the closing time until 8 or 9 PM as this is the case in many 5star hotels we have been to. The staff had to tell many patrons to start leaving at 6:30 PM, which to us is totally unacceptable. The hotel should present another option for using a pool after 7 PM as it is hard to get back to enjoy after busy days sightseeing and shopping in Las Vegas."
231,"slow check in and check out,slow room service,slow wi-fi in public area and restauranrs,too exprncive wi-fi for bedroom,"
232,No late night eateries only 1 and it was quite expensive !!  Room beautiful but would ask for a better view next time !
233,"Room was nice but not as nice as led to believe from booking advertisement
Passport was stolen so even though they saw it the day before and it was stolen in their casino couldn't be on the main floor after that."
234,"breakfast was not included, queues were everywhere (concierge,food) no one helped us with the baggages"
235,The fact that they couldn't do any alteration on our reservation because we booked through a third party. also the queue to The Buffet was very discouraging
236,Nothing the experience was amazing
237,It is about a 20 minute walk to get to the Bellagio at the center of the strip.
238,"In a city of hotel rooms, one need not distinguish themselves by simply being more expensive. They do a nice job of being a 5 star hotel but there's too much competition out there to charge so much for everything."
239,"Having to pay for WiFi when paying top $ for room is very poor policy.
Door was hard to open.
Toilet didn't flush quietly"
240,"Concierge staffs were not friendly, they never smile. They let you feel that they want you to finish your questions and go!
Bellboy put our luggage (5 large bags) next to our car and he left, he let us deal with it without any help!!!!"
241,Thet have taken huge money deposit for room and cusino
242,Very expensive
243,too expensive
244,Nil
245,The hotel and how the employees treated me and my husband it was our anniversary
246,The bathroom need remodeling
247,The staff was horrible to me and my friend they treated us as if we were hoes just because we were black.
248,The surprise charges in mail received.
249,"Spa, Bars, Jasmin restaurant"
250,service in the cafe terrace was a bit slow first afternoon
251,There's nothing to not like
252,Too expensive! EX:$14 hot dog.
253,The buffet wasn’t up to my expectations. The food generally was average at best and too over priced.
254,Room service is incredibly expensive
255,The walk back to registration when my key failed
256,Price for room
257,Restaurant style the distance to get in out place room bed wasn't as comfortable no microwave
258,Nothing
259,Can’t think of anything we did not likr
260,Nothing
261,-
262,One staff person
263,No coffee complementary Facilities
264,nothing
265,no complementary coffee available.
266,Nothing
267,They charge my credit card twice and the staffs couldn’t explain me why!
268,No Bluetooth speaker in rooms
269,I want to control lights on my iPhone
270,Our stay was to short.
271,Great
272,Check in was a little slow
273,Why there are no picking service reminding?
274,You are treated like cattle. Room with horrible view:(
275,I thought it was ridiculous that we had to pay and extra $25 to have a refrigerator delivered to the room.  Way too many hidden fees.
276,No tea or coffee in room
277,"I was amazed with the fact that they charged me for the some packages that arrived from Amazon.
I will never go there again"
278,None
279,Can't think of anything important
280,Smoking in casino but all hotels have it. Ventillation is very good.
281,You charged me more thanthe hotel site would have charged.
282,Everything was good
283,Pricey!
284,Can Hear my neighbor wasn’t too nice:(
285,No water in room
286,Smoke from casino.
287,Paid parking. Mean staff
288,drinks could have been less expensive
289,Tableau restaurant was only subpar restaurant
290,Bell boy screamed at us for trying to use one of his carts for luggage
291,Everything Perfect!
292,Some of the slots I felt were just money eating.
293,Everything was great but the bed was a little uncomfortable.
294,All ok.
295,"That they charged my criedt card by 115 USD without informing me, even though i payed a deposit of 900 USD for any extras."
296,Having to pay for wifi.  One shouldn't have to at this level of hotel.
297,No tea & coffee facilities in room
298,coffee in the room would have been nice
299,Smoking casino
300,"Huge gambling area on ground level
The prices at the bar, grocery store and café are outrageous"
301,It would have been cheaper booking the room through the Wynn website instead of booking.com
302,Expensive during the holiday... too many people in the pool but we could always get a seat
303,Our room was very noisy at night with the nightclub music.
304,Check-in was chaos!
305,Pool party at night so loud.
306,Nothing
307,Restaurants are very expensive
308,Staff were quite curt not rude or impolite but could have been more warm
309,Very Expensive
310,One or two members of the staff were not welcoming enough. One was almost rude.
311,It was perfect
312,"A refrigerator with space for anything
You need or want to store"
313,Nothing
314,"There were three of us in the room and only two wine glasses, if we wanted another one we would've had to pay an extra $8"
315,The loud music from the pool club at Encore
316,Niente!!!! Nothing!!
317,"the bathroom was dirty upon arrival. It was really dirty, the toilet was gross."
318,Was bit expensive in the end
319,Nothing. Loved everything about my stay here.
320,That I could not stay longer
321,Nothing
322,Nothing
323,Needs one less expensive restaurant basic food
324,Nothing
325,Considering this is Vegas there is nothing negative.
326,Everything was lovely
327,Nothing
328,NOTHING
329,"1. Sink in the room was clot.
2."
330,Concierge sucked. Horrible service.
331,"Food- if u want something simple and cheap to eat u need to go
Elsewhere"
332,Needed more umbrellas around the pool.
333,No tea making facilities
334,-
335,"Lighting in the room
Prices for brunch too high
Room service price too expensive compared to the quality of food"
336,Buffett lines were way too long :(
337,Beds to small for 2 kids
338,Nothing
339,Nothing could have been better every. Oft was so efficient
340,Sometimes too crowded
341,"the staff at the night clubs horrible  , need to be all fired and replaced ,you better off at   ARIA casino for club and dancing  !!"
342,"We asked a room in the high floor but we get just in 9 floor, so we were upset about that."
343,Nothing negative
344,I didn't like how the food in the Cafe was so expensive.
345,"Super noisy at all hours of the day, smelled like smoke"
346,so much noise from nightclub until 2AM. ask for a room away from the strip view or on the building end.
347,We had no view.
348,No in-room coffee. No radio.
349,Wifi speed isn't great.  There is practically no shade at the pool.
350,Nothing at all
351,Cost of items in room exhorbant.
352,The quality of the dinner Buffett wasn't consistent.
353,"Too many people, but thats normal."
354,After the Midnight they do night party at the pool its TOO LOUD I CANNOT SLEEP THEY ARE FNISHJNG THE PARTY ITS HORIBILE
355,The booking from booking.com could not be found in the system. The staff just told us it is the problem between us and booking.com.
356,Queue for buffet restaurant
357,Could hear other guests!
358,Tea & coffee maker should be provides
359,Nothing
360,"There should be more facilities in the room. Like an empty fridge, coffee machine ..."
361,There is no complementary water
362,None
363,"Pricy restaurants I'm hotel. In the end of the strip, requires walking to other places."
364,That I had to check out!
365,Pool service is below average.almost impossible to get served there.
366,No bottled water provided
367,A long line to eat breakfast or needed a reservation! we ordered room service...
368,Expensive for food in hotel. Paid $16 for a panini
369,Expensive restaurants and some staff were rude because we had no spare change for a tip
370,Noisy on Friday night (golf club side)
371,"no coffee machine in room , the next room was smoking weed and no one from hotel staff has complain to guest until i called them"
372,Registration took a long time
373,At the beginning of the strip so you have to walk to go to other hotels. Very expensive.
374,Everything was pricey
375,The resort fees are ridiculous. Valet price is very high.
376,Nothing
377,People smoking majijuana  at the same floor
378,No coffee or tea in the room
379,Very noisy at weekends from the three nightclubs even in higher rooms.
380,Room size for the prize
381,Valet parking charge and slow service
382,"Staff at front desk in Towers Suites. 
Horrible experience with Mandy."
383,Noise from all night long night club comes through the windows even on the 21st floor. Got no sleep Saturday night.
384,could have a express elevator to the top 5-10 floors
385,Standing at the long line for 30 minutes to check in.
386,Smelled strong cigarettes at non smoking area
387,Staff and bell service not attentive
388,Sigarets smoke everywhere :(
389,expensive
390,Coffee at breakfast place is too expensive.
391,The resort fees.
392,"Location, staff were not cooperated, casino not good at all."
393,❤
394,"Pool closed most of time
Expensive clubs"
395,Prices but hey that's life!
396,Nothing as such
397,"not very accommodating around my request for what I booked 
2 beds per room
2 rooms close
$500 / night"
398,Costa de Marre restaurant staff in the hotel were very unproffesional👎🏻 other restaurants in the property are great 👍🏻
399,"The check in process was very long (lines, multiple questions). The check out process was long too (lines)"
400,Food and room service a little too expensive.  32 usd for a pot of coffee!
401,Long queue for breakfast
402,👎🏻
403,Location is a little bit far to walk but it worth it
404,The wifi isn't free unless you pay the resort fee.
405,Too many Asian restaurants
406,Nothing at all.
407,Rude staff everywhere in the hotel and casino.
408,Poor service. Everything takes too long.
409,Bell captain
410,The room service is not that good in cleaning and replacement of bathroom items.
411,Rooms were a bit basic.
412,No kettle in the room
413,Fermeture du bar central !
414,We were kept waiting 3 hours at check in
415,PRICE IS TOO MATCH
416,Not much selection for restaurant
417,We could not fault our stay
418,"Very overpriced, not a good value for money, staff is not so friendly. They charged us 710$ per night without breakfast!!!"
419,Price
420,Terrible front desk person. Took over 40 mins to find our reservation
421,No tea or coffee facilities in room
422,Had issue with bathroom lighting!
423,we waiting for check in about 4-5 hours
424,we'll just keep coming back!
425,It is very expensive.
426,No tea/coffee provided in the room
427,Price
428,Nothing not to like
429,food
430,I've needed assistance to modify my reservation. No one from Wynn helped me. I've paid for something I didn't use.
431,Costa Di Mare - premium pricing for sub-par food
432,Restaurants were pretty bad. Needs major improvement
433,No tea and coffee in the room.
434,"45+ min line for breakfast buffet, high minimum bets at casino tables"
435,Low stream shower
436,Nothing of consequence.
437,It was crowded and the distance between front lobby and resort elevator.
438,Check in was slow.
439,I had to leave
440,Mini Bar
441,Nothing
442,"Bathroom light switch was faulty; sometimes could not turn it on
Cigarette smoke by elevators"
443,Little High on tour prices. We tourist Know the prices But they Ask more than double then What i got.
444,V satisfied thankso
445,No one came to clean the rooms!
446,Choice of food outlets
447,"Very old style hotel,dont moove from 5 yerars.Technology is retro, must pay for internet 20$...."
448,Takes forever to get to elevators. They charge for the wifi and the speed is slow.
449,My bill had someone else's room charge on it. The staff needs to verify room # with last name!
450,You will be surprised by how much you will buy at the checkout and it will be for nothing
451,"No fridge, only expensive minibar"
452,That we had to leave so soon :)
453,nothing  comes to mind!
454,Customer service
455,Check on was horrible.
456,T V not easy to get reg tv
457,"Fraud ad, rude services."
458,Long walk to taxi
459,Staff weren't as friendly as I'd expected.
460,Very expensive
461,Noticeble security presence.
462,Nothing
463,charges on everything possible
464,Nothing
465,Nothing everything was perfect
466,"Nothing not to like! 
All perfect!!!"
467,Internet and wireless connectivity was horrible.
468,Buffet is not as good as the one in Caesar Palace.
469,Nothing
470,Nothing!
471,"Room make up was not perfect  , AC"
472,Walls are too thin!! We could hear the guests next door. Woke us up twice!!!
473,A bit away from the strip
474,Non
475,Staff attitude
476,It was a bit crowded
477,The price of adult beverages
478,"Beds were too soft and uncomfortable..
Needs upgrade in regards to technology.."
479,Had to pay for internet
480,"very expensive, not much shopping like other hotels nearby"
481,No T-mobile coverage at 52 level(my room)
482,Mo complementry items in the room e.g. Bottels of water
483,There's nowhere to put ur phone or whatever when using the room bathroom
484,Nothing
485,Some room arent clean. We have to say housekepper clean one more time
486,Gruffness of check in/ check out staff
487,Restaurant service was mediocre at Jardin Saturday night.
488,wi-fi in rooms should be free of charge
489,The staff
490,no fridge in a room like this to stock any of your own items is ridiculous
491,I like it all
492,one time we asked to clean our room a little bit later when we went to the pool and it hasnt been cleand though promised to be. a lil disapointing..
493,Wifi is $20/day.
494,I honestly didn't dislike anything
495,Not a big fan of smoking inside( the casino floor)
496,N/A
497,Drinks soooooooo expensive!
498,It's very expensive
499,N/a
500,"The bed is so soft, so I got pain in my back even my friends"
501,I was very busy at my conference and didn't have time to enjoy the resort but never less had to pay resort fee.
502,The amount they charge for WiFi
503,Very noisy room neighbords
504,"No coffee/ tea facilities in room
Wifi not free"
505,Staff at pool remind belongings
506,the restaurants could do a little better...
507,"air in the room and in the Casino. It's too much smoke, what is the reason we can not gamble too much"
508,No coffee machine in the rooms
509,"Service was very slow in all of the restaurants. 
The tips are included in the bill."
510,Everything was exceptional!
511,
512,no coffee maker in room
513,It was a raining day
514,WiFi not for free
515,N/a
516,Need to pay extra for wifi in room which is ridiculous for a hotel in 2016.
517,Nathing
518,none
519,Absolutely nothing!
520,The repertoire of the Cabana bartender was limited.
521,The fact that there wasn't a mini fridge for personal use and that the iron didn't work.
522,I was very unhappy for the quality and freshness of the food at the buffet.
523,"Nothing, every thing was pleasing"
524,No network connection available  except the paid wifi
525,Due to oxygen being pumped into the rooms not being able to sleep as well as we would have liked
526,There could have been some complimentary water in the room every day.
527,the pool closes too early
