,0
399,The cleanliness.
400,"The main pool was overwhelmed by party people, but there was a smaller pool area which was calmer except for all the families.  The resort fee is now up to $35.84 a day.  You do get free Wifi and access to Canyon Ranch Spa.  May want to opt out if neither a high priority."
401,"Room dark and needs more lighting. Also when you book a suite, a small refrigerator should be included at no charge.Thought the spa prices were ridiculous"
402,"The Venetian and The Palazzo are from the same company, we booked with The Venetian but they sent us to The Palazzo for some reason."
403,"The place is too big. There are actually 3 different hotels inside (Venetian, Venezia an Palazzo) which makes the walking really long and everytime you need to reach a restaurant or something, it takes 15min or more.
The pool service stopped at 6pm in some pools... 
Also in other places the pool area is greener and ""cooler"""
404,There was nothing I didn't like at all.
405,"Beer at casino was a little pricey  at $8 a bottle, but everything else was wonderful."
406,No coffee/ tea making facilities in room. Whilst bathrooms and bed linens were well cleaned no one cleaned down table tops in the bedroom and they were very dusty after our 5 night stay. Bottled water in room way too expensive.
407,"House keeping lady woke us up at 8:00 am in the morning. She opened the door with her own key. Don't forget to put the ""do not disturb"" tag outside if you don't want any house keeping service before 10:00 am."
408,No breakfast buffet in morning.
409,"Cold and faceless monster hotel. All about the volume, not the quality. You have a feeling of being processed rather than looked after. Staff are nice overall but a bit jaded - like the hotel. Long queues to check-in are a pain. And there's a number of large dollar hidden charges like the resort fee which with other taxes added I think 30% to the already expensive price. Which isn't the best welcome off a long haul flight. Good quality is average, mostly processed for speed and volume."
410,"Very large hotel/resort, which can be bewildering to find one's way around."
411,"Most of the pools were closed. Loud music at the only open family pool. Drunk teenagers mixed with my kids, bad idea. I love a good party, but this was ridiculous. Make sure you have a family friendly pool! We actually checked out a day early because we could not even go to the pool normally :("
412,Our room did not come with a price list for the mini bar nor any type of hotel guide. The couch in the sitting area was uncomfortable to sit in. The ice buckets were really just too small.
413,Bathroom was a little dirty... Grout in tiles was grimey and the mirrors were dirty.
414,"Check in was very lack luster compared to other 5 star hotels in Vegas.  We did not feel welcomed.  The internet was terrible and since we needed it for work, my husband complained about the quality only to be told the ""included"" internet could be upgraded for a fee.
We wanted a quick breakfast one morning and didn't want to wait in the huge lines at the restaurants so went to the ""fast food"" section for a breakfast.  It was horrible, toast wasn't buttered or offered, hash browns were raw.  The pools were very packed due to summer and not enough staff on to accommodate service."
415,"Very big hotel, so lots of walking from the main entrance to the room via two lifts.Confusing layout of property especially for first time guest. Little bit longer distance to get to amenities."
416,"When we checked-in, the rooms that we ordered were not available, although we ordered them months ago (we are a family of 5).
The staff tried to make us take inferior rooms without telling the truth about them (for example: a queen bed instead of a king bed, or a high accessibility room, that doesn't have doors to the rest room) and eventually put us in their sister hotel, the Palazzo (the rooms are identical but the hotel is smaller and less fancy). One of the kids slept on the opened sofa instead of a queen bed as we ordered."
417,Paid extra for a view and wasn't that great .
418,"easy to loose your bearings, took us nearly an hour to find our room after going out onto the Las Vegas Strip"
419,"No coffee facilities in room. Smart plan not good value if you are not drinking in casino, free coffee  was long walk from room and limited online magazine access."
420,"Staff specially the security team being rude and arrogant (definitely not expected from a 5 star hotel!)
Not enough beds by the pools and that they close all pools but one or two during busy hours."
421,The fridge was not useable as it was full of Venetian items.  If you move one if those items the sensor records it and it is charged to your bill so no where to put your own drinks in summer heat.  Very user unfriendly and very annoying!
422,"Housekeeping very poor , No free water to drink in the Luxury Suite at least once ! No kettle so you can make a coffee!!"
423,"I didn't like the fact I had no Tea and coffee complimentary  .and you tried to 
Charge me for a Mars I hadn't had ..$10 ."
424,the size of the place easy to get lost
425,"Pool area and pool not great for families
So big, it feel very impersonal
Felt more like a shopping center than hotel, but that's Vegas!"
426,"Booking.com didn't explain how the resort credit worked very well, they block £400 on your credit card. Which could have come in handy for shopping."
427,"Resort fee which covers local calls (not used) newspaper (not used) and wifi (this does not work adequately in the room but works sporadically in communal areas where free wifi is available anyway for occasional visitors) the hotel should do away with this resort fee and just add the cost onto the actual booking of the room. Nobody would complain as the hotel is beautiful. People will complain if the resort fee is charged for something that doesn't work!
My only other complaint was at check in. I was made to feel cheap by refusing to pay extra for a room with s view of the strip. The staff members then explained that we would be given a key each as 'he' pointed to my room mate, may lose it! She then said what is his name anyway? thus was unprofessional and the reason why I didn't give the highest score for staff. Other than this all personnel were great."
428,I just hate thesmell of smoke when i pass the casno areas.
429,We couldn't get a space around any of the pools at 5pm... Shame as we were really looking forward to relaxing with a cocktail around the pool.
430,"This hotel is a cheap, trashy place, that feels as if you are in LAX airport. It is not a resort surely - they lack a quiet swimming pool area (no kids policy) or a quiet lobby area. There is not enough of daylight in the hotel or even in the outside pool areas. The outside pool areas are messy, crowded, look dirty. It is difficult to receive any information about hotel premises since the info leaflet is aimed to look fancy (yet super messy), concierge line is not available (loooong wait time) and the walk from your suite to concierge counter is also way tooo long. Same goes for in-room dining: wait time is 1hour. getting breakfast in that hotel should become an Olympic discipline, since it is a challenge (everything overcrowded with crazy wait time). Staff doesnt seem genuine. Hotel spa is an overkill - took me 30min to get my treatments scheduled cos the counter assistant was so slow and uninformed about the treatments."
431,"Very poor slow wi-fi (part of USD 30 resort fee), for better one was necessary to pay another USD 10. Minibar without possibility to put own drinks in. No leaflet or book with basic information about internet, TV, check-out, swimming pools etc."
432,The pool was big but not very clean. The drinks at the pool at was extremely expensive.
433,The walls/doors are thin I could hear people walking by my room
434,I will never book thru a 3rd party booking! It was my dgtrs 21st BD and we had MAJOR difficulty checking in even though I made the reservation a month in advance! The hotel also should be a little more transparent in their requirements like having to pay for the second night in person! NO WHERE did it tell me she would need a credit card or I would have been prepared. We are in another state and it was very stressful to have to deal with at least 3 different people while my daughter was in tears! Not good!
435,"I know it is lame to mention it but would be nice if there were slippers, I'm kinda of guy how collect hotels silppers as souvenir"
436,Nothing
437,Maybe they shoul renouvate some rooms
438,"Honestly this place was not worth the money that we had paid for. As a 5 star hotel I expected a lot more than rude, drunk, tawdry people roaming around in skimpy swimwear. The service was also not on par for a 5 star hotel, our room was not entirely clean(there were hairs in the shower drain) even when we first got in, the cleaning ladies didn't make much attempt to clean the next day either. Our door lock was completely faulty, the locks would take up to 20 attempts (no exaggeration, we'd cheer the one time that it took only 3 attempts) to finally work. They need to replace their locks! We visited the pools in the afternoon and with the amount of people in it you would think that it's a public pool. It's honestly best not to go into the pools, no amount of chlorine can kill all those diseases."
439,"Low down the strip, it's more lively towards the cosmopolitan and bellagio. Decor is a bit dated / old fashioned. Concierge was useless. No contacts for any club hosts, couldn't help organise any tours; simply handing the odd leaflet.  Gave us free entry to Tao, the in hotel club, but that is a rubbish club."
440,"Issues at check in due to incorrect information provided by booking.com also $100 dollar deposit taken on arrival for extras which didn't mind standard practice but you weren't able to charge room service to your room? Reception staff we encountered were ""cold"" and uninterested."
441,"The smell of smoke at the casinos ( and you can't avoid it since you have walk pass/ through the area to get to the elevators for the rooms)
NO complementary coffee in the room! But a display of all sorts of snacks and drinks for absurd prices."
442,The one thing I missed the most was that we had no coffee and tea facilities but this is normal practice in most American hotels.
443,As it is such a big hotel it is easy to get lost or lose your bearings. Clearer signs would help avoid this!
444,Pool beds too close to one another lacking a bit of intimacy between groups
445,"Occupancy charge per night added $154 for our stay, hidden cost"
446,"You can smoke in the casinos in Vegas/Nevada.  Not used to it anymore.  To get to another part of the hotel you often had to cross the casino - no easy/quick way around it and it's disgusting.  
Too hot to take advantage of the pools in July/August - 105+ degrees at 6pm."
447,"More shade is absolutely needed around the pool areas.  It is a necessity if only to ensure the health of the many children we saw exposed to 100'F+ heat without the protection of shade.  Please, the wonderful Venetian, sort it out!!  Also please more signs to guest elevators/suites - we weren't the only ones  wandering around like lost souls!"
448,The long hallways.
449,Too expensive not worththe $ rude people next door theft etc... wont be staying here again and gondalos inside is a rip off.
450,Expensive to eat or drink unless you hunt around or go outside. Additional fee per room per night fee to cover wifi and gym etc which I think should be included in room price - and it does add up.
451,"The swimming pool rules, the life guards are not police! Blowing whistles every 2 minutes, we are not children... I'm it going to spill my drink in the pool, Closing the pool 4pm and cramming everyone into one pool is ridiculous, we are booked for another 2 days here but are checking out early to go to another hotel,with less pool rules"
452,The only thing I didn't care for was leaving a $100 deposit from my account on Wednesday and I still haven't been credited back my money. I didn't have any condiments to be charged to my room.
453,"overcharged. With booking.com they told me it was going to be 569€ plus 32 usd x2 for the resort fee plus then taxes of 9% or so (635€ approx) and in the end a total of 827€ were charged, i.e. about 200usd extra with no consumption at all."
454,"Everything perfect.
Venetian could be privileged with their own Hertz collection/ return bureau."
455,They don't have good shows like all the good artists play in ceasor palace .
456,The room didnt have a kettle to make tea
457,The hotel needs an renovation and should put up a higher dress code.
458,The car park was quite a walk.
459,I ordered room service once and think it gave my boyfriend food poisoning. I didn't eat any of it so I was fine but he was throwing up all night. We are both vegan and he ordered the hummus wrap which is one of the only vegan options for room service.
460,Room service food was terrible & way overpriced.  The order was incorrect.
461,The Pool area is really crowded and there are no places in the shade you even have to pay for them.  The Pools could be cleaner.
462,"Everything is so expensive!  The fully-stocked mini bar was so tempting but I didn't dare touch anything incase I inadvertently got charged - a weeny bottle of champagne was $39!  Noise around the pool from the Tao Beach Club was a bit off-putting at times.  My request for a decent view wasn't met, despite it being my 25th wedding anniversary - not unless I wanted to pay a whole heap more cash!  The only acknowledgement I got of our special occasion, was a typed letter on arrival saying someone could put together an itinerary for me if I so wished - very generous, I'm sure!  A bottle of wine or some flowers in the room, or a room with a view other than  over the aeroplane runway would have been a nice gesture!"
463,"Room service was terrible for a vegas hotel. Over an hour, arrived cold and was the wrong order..."
464,"Shower was okay, but would have liked a power shower. Didn't like having to pay 150 dollars per day for incidentals, none of which I used, as when this is refunded to your card you lose money on fees and exchange rates. However, upon check out this was really well dealt with by refunding me the resort fee as recompense, so very happy."
465,More like staying on a shopping mall than a 5 star hotel. Quite dated too & would have been nice to have breakfast included as standard.
466,"It's such a huge place, it's very confusing to find things & then you end up walking forever & possibly getting lost! Good floor/area maps needed."
467,"Everything was good but the pools were dirty that i couldnt swim comfortably 
And the walk from the lobby to the room took us a good 10 mn walk plus 2 elevators to go to the second tower but thats not much of an issue because the hotel is soo big"
468,"Minor issues:
The shower rose needed more holes as I didn't really feel like I got very wet.  Although I do understand that being in a desert water can be an issue. 
Some of the pools were closed until 3 even though there was a guard there and the other pool was quite crowded."
469,The casino had too many high tech machines. We are old school and I guess we haven't caught up with the times . Maybe a retro section would be helpful .
470,annoying wave music by the pools because the outdoor club is right there.  it really took away the relaxing mood that we were looking for
471,Despite staff trying you are a bit of a number. They can't hide that the hotel is huge.
472,There was no drinking water in the room neither kettle or complementary tea/coffee which is always now provided by 5* hotels
473,N/A
474,"That the distance from room to lobby is so long, you need to cross the casino, our room key didn't work so it was quit a trip to get a replacement."
475,"Bathroom robes had seen better days & needed replacing ,they were old & scratchy.
Wifi connection was non existent in the room .
No DVD player or CD player in the room even though booking.com said it was included
No free newspaper even though booking.com said it was included
Pool area needed a spruce up , no umbrella's for shade. You were all packed in like sardines around the pool area .
Music was way too loud & booming reverberated in all pool area's."
476,"Some of the amenities are not included and we were told our room had no view and were kind of forced to upgrade to a more expensive one, which wasn't very nice."
477,Got a room with an outside courtyard but was in like a basement area. Only 4m high walls to look at & a kitchen extract which made the area smell of cooking all the time.
478,Not the best location on the strip.  Most of the more fun hotels are further south.
479,"I took a phone call to Australia from the hotel room. That cost me USD114 (yes, you read it correct 114) for less than 15 minute call placed in a very tense situation. Make sure you don't use the telephone provided in the room."
480,"After confirming my reservations through Booking.com more then a week in advance, I was surprised and upset when I was told at the front desk that the suite that I had booked was not available. We had to stay in a handicapped enabled room for one night and we never got the view that we paid for during the whole stay. The service was very impersonal and unprofessional at best. To add on to the situation, I was billed for the smart plan which I had cancelled upon my check in, only to find out when we arrived back home that I was charged for it. Still waiting for the refund."
481,"We asked for in room refridge - they did bring, but did not work.  They did bring another one so it was ok.  
Pools - they have many, but they are all smaller and crowded.  
One of the pools was so dirty when we were there, that we got lumps of white stuff and hairs all over us.   I have a pool at home, and I can tell you this was not a well cared for pool .  
 Wish they would invest in better pools, as we adored the rest of the stay and that would make a big difference.  Overall loved it."
482,"The wifi was pretty poor, no breakfast included, the iPod dock was for the old iPhones.
 It's really nice but I think for the money I expected everything to be perfect."
483,"The Venezia tower rooms are becoming very dated and jaded,2 elevators to get to the room and you are further away from the casino,food court and parking garage."
484,"Cleaning of the rooms can be improved. We found the keys of our room dated month of may under our bed (we stayed in August) - so noone really cleaned the floor fully since May.
Crowds of people everywhere but this is Vegas."
485,We have extended check out for one of the rooms. But they still check us out even we pay money for it. And it took about 45 minutes to unlock the room
486,Having to ask more than once for luggage to be delivered to room.  The lock on one of our rooms was broken had to be replaced. No apology from hotel and had to chase them to respond.
487,"Quieter areas to bathe. There was a constant 'boom-boom' due to a beach pool party.
Otherwise pretty perfect."
488,The wifi in the room was terrible but was good everywhere else in the hotel. Only complaint!
489,Coffee making facilities in the rooms would be great.  But that's just a teeny weeny point
490,"Normal wifi was useless on iPhone. Had to pay tier 2 to make it work at acceptable speed.
Had to move from level 5 to level 24 due to noise of hotels outside aricon system - very noisy."
491,If you need shade at the pool I suggest reserving a cabana as there are no umbrellas at the pool. We missed having a coffee maker in the room however coffee shops are nearby.
492,"Our room was a long way, three lift rides from the main pool.
Problem booking through Booking.com. We were overcharged on one room for a child under 13 (the hotel does not charge for children under 13) and we did not receive free breakfasts for our five night stay, on the two rooms booked, as listed on the website and our booking confirmation."
493,We didn't like the fact that Smoking is allows in the Casino area.
494,"Front desk lady and her manager named AJ.
We are family with 3 girls and 3boys
Booked 3 rooms she and her manager didn't do any thing to help us even  though we requested that at booking and we call hotel in the morning while we were traveling from LA to Vegas they try to sell us different room up grade"
495,No coffee in the rooms. Would have been great
496,"No coffee maker in room (only to discover you can get a free one per adult somwhere in the foodcourt once leaving)
Relatively expensive (25$! For 3 icecreams), but then again it is Vegas.
Free wifi is slow. LTE connection was better and faster
You pay 35$ resort fee bit do not get explained what it is for"
497,It takes forever to get out on to the strip via the shopping malls (but this seems to be the case with all the big hotels). It is expensive (but everything in Vegas is) but worth it. Having been into Circus Circus and Excalibur (other options for kid themed hotels for our stay) we definitely made the right choice; those are tired and shady inside. If I were to go back I would not stay anywhere else but Venetian.
498,I asked them to keep some synthetic ice I need to keep cold some medicines in one of their freezer and they refused! I think that similar things should never happen in a hotel of such a high level!
499,"The hotel was so giant we had to take two separate elevators, and use a map, to get to the room but that's to be expected on the strip I suppose!"
500,I didn't have any complaints on the Venetian part.  But the fellow visitors extremely loud when walking down the hall.  But other than that I would definitely be coming back.
501,"The frigi in room is fully sensor ed thus if you remove anything you will be immediately charged for it, this prevent us from getting cold water which is much needed in the heat of Las Vegas, as the hotel is really huge there are always queues on everything from elevators to check in and you name it, if you have a car with valet make sure you order it enough time in advance as it takes 30 mins for valet to deliver car and thus it could be you loose your show if not counting for that, I didn't also like the high priced food in hotel resturants but this is expected in Vegas as a touristic hub"
502,"when I was check in, the front desk ask me to upgrade the room without clear indication that would be charged extra money
Until I checked out, it was surprised to see that I was charged for a huge extra money while I had prepaid for the room before."
503,It was very hot and there was a shortage of deck chairs by the pools
504,Doors in the suite didn't close very easily.
505,"Nightly rate was too high, additional resort fee did not cover exercise equipment (?). Drink purchases about 3 x normal cost."
506,"cannot use the refrigerator, no water provided in the room, room too far away (since it is a big hotel with many rooms)"
507,"I didn't like the fact that you have to take two different elevators to get to the suite I find that cumbersome.
Staff were not top noch, they didn't belong to this resort.
Suite didn't get cleaned well.
The water is harsh."
508,"No fridge, it is full with mini bar items that auto charge of they're removed. Check in queues far too long for the money that you pay"
509,"The bottled water inside the fridge are chargeable which is fine, but those on top of the cupboards are also chargeable! I thought they were complimentary and finished them for usd24."
510,"A very noisy hotel - we had to move rooms when a party was going on in the room next door . Upgraded to a larger, higher suite at a reduced price, which was worth the money to get away from the raucous partying in the next room - all day ! Staff very helpful in moving us quickly."
511,The hallway was not clean - overflowing trash cans that were there in the evening as well as the following morning.
512,"In spite of all efforts to ""eat"" smoke, I still find the common casino area too smoky. When moving away from the convention center there is a huge difference in the air quality."
513,"- swimming pools overcrowded and loud (this is likely the same in other hotels)
- free Wifi useless
- housekeeping : we staid 3 nights. The room was not serviced for the 2 days and we had to ask several times. We reported a complaint  to the front desk. The way this issue was solved was professional though."
514,"Do not , and I mean do not, expect 5-star hotel service. I asked for dental kits and a kettle to make hot milk for the baby, and I waited an hour, to get them. 
The food courts on the lobby floor provide cheaper food choices and that's why the service is terrible !!!!! They don't smile and it seems you are spoiling their day."
515,"Very noisy guests next door,but that is not the hotels fault! When reported security acted quickly and courteously."
516,"Hotel was massive upgraded to a better room in the plazzio side and with a strip view but by the end of the week we all had blisters on our feet so wish I stayed in the Venetian as the pools / food courts were in the Venetian side , both hotels are the same building but BIG"
517,"They place the towels in the shower, so a friend ended up soaking them because the shower head shot at absurd angles. Lots of up and down on elevators to get around to certain floors, I think mostly to keep hotel guests safe but sometimes it was just a bit inconvenient."
518,"Requested early check in from 9-10 but there is no point on that because they don't start preparing you a room until you get there. Totally sucked for us because we had an event to attend at 11, that was our whole point of early check in. So we were expecting to have our room ready as soon as we got there to get situated. Also, receptionist was a little rude, at time of check in."
519,Couldn't fault the place.
520,Better detail cleaning and use of a fridge or something bigger than ice bucket
521,The queues at check in and out were pretty big but they staffed the desks well and they move quite quickly.
522,Couldn't fault the Venetian !! Recommend to anyone wanting 1st class accommodation !!
523,"Electronic fridge  one small shelf
To place an item 
No microwave or coffee maker
In room"
524,"Checked in at the Venetian, hotel full.  Moved to Palazzo.  Complicated with valet.  Glass fragments in room and my husband stepped on glass.  Housekeeping forgot room one day."
525,Resort fee bumps underlying price a lot. Just be honest and add into the standard rate as it is a mandatory charge
526,My rooms door lock was pretty annoying took 5-10 swipes to get the thing to open every time
527,The heat...it was 115 F outside.
528,"SLOW INTERNET CONNECTION.
ROOM CLEANING IS UPON DAILY REQUAST."
529,No tea or coffee making facilities in the room.
530,"The front desk wrote down the wrong room number while checking in 
The safe in the room was already closed when entering the room"
531,"It was 110 degrees and there were no umbrellas around the pool unless you rented a cabana.  It was too hot to lie out in the sun without shade, so we didn't get a chance to relax."
532,Wifi didn't work in our bed room.
533,We waited a long time for valet parking guy to get our car. The hotel was super crowded. When we checked out we would like a bellman but the staff told us there was a 30 min line! Would never stay in this hotel again. Venetian is too famous to live in
534,We cant think of anything we enjoyed ourselves and look forward to come back.
535,"Pool was disgusting with scum and body fats building up in corners, as a pool maintenance person I wouldn't swim in them."
536,The suite we were in was at the end. We didn't not have any closer elevators next to us. Overall not a good experience.
537,Desire to get you lost at every opportunity so you'd end up back at the Casino - or maybe that was just me :-)
538,"Depravity in the streets outside, feeling that the hotel was intent on draining my wallet at every opportunity, feeling that I was a being processed by a machine rather than entertained by a host - whole stay lacked human warmth."
539,"This is a huge hotel, so the staff didn't take the time to get to know us or find out what we were looking for. You can't use the fridge at all because the mini bar is weighted and they charge you if anything moves. The smoking in the casino was off putting. We didn't gamble much because of this. They should have a non-smoking area."
540,The bathtoom toiletries are not being  replace with a new 1 on the next day. And the guest service not helpful.
541,At room the Internet was pour ...
542,"Crowded at all times, older feel to the room, could probably do better for the money being spent"
543,Everything in Vegas is expensive and the food is overpriced and not that great.
544,Bathroom could have been slightly cleaner around taps etc. Hadn't spotted the additional resort fee that was payable so that was an unpleasant shock.
545,Didn't like that there is no tea or coffee facilities in the rooms.
546,"There wasn't any tea or coffee facilities. When I asked for some, I was told I had to go to the mall to purchase a cup of tea. This took about 30 mins round trip each morning! The operator didn't even suggest room service."
547,"The Cigarrette smell.  Got sick due to not being able to breathe and I was staying on the 33rd.floor. Although it must be hard for you guys, you should invest every so often and find ways to keep your air clean, by changing the air ducts or maintaining them so you can save us from ""nose bleeding"", ""chest congestion"" ""headaches""  I must say that Vegas is a city where almost every hotel has this problem, but that is exactly why I want to ask you Venetian, to be better and think of our lungs. Just try it!
We pay top dollar for our stay, so please consider your fans :)
Thanks!"
548,You need to go into one of the many food areas to choose breakfast.
549,"Very expensive and lots of extras to pay for, no tea and coffee facilities in room, staff not very helpful at all I was sick one evening and they refused to give us water so I could take my medicine I had to pay $4 for it!!"
550,"Slow internet, I have to walk like 5 minutes and take two elevator till I arrived to lobby plus 20 min waiting for my car.
They charge me additional money after I checked out and get my final bill.
I'll never stay there again"
551,No negatives!
552,The hotel was So Big .... Lots of Walking.
553,"Even though the room was awesome, it was more than we needed because we spent most of our time out of it. And I think we paid more than we needed to for that big, luxurious room. Next time, I'll probably try to save some money by looking something smaller. If I can do that at the Venetian, then I will be back!"
554,"The rooms were smaller than other similar priced rooms, the facilities are mostly all in the Palazzo and you have to walk FOREVER to get anywhere. And worst of all, there is cigarette smoke EVERYWHERE-- your clothes and hair stink of smoke even if you are just going from your room to the front door/taxi.  Noise also travels a lot so the room is very noisy."
555,"I was offended by the quality, security, and location of the parking garage and the fact that there was a hidden resort fee added to my bill. The staff recommended Merrrils Steak House as the best for dining! It was not, in fact the wait staff could not communicate the menu properly and the meal was at best mediocre. The stake was overpriced, undercooked, and cold. The baked potato was undercooked and difficult to consume the temperature of the potato had no effect on the butter!"
556,"Unable to use resort credit at certain stores even though they were on the applicable resort credit list (i.e. Lobster Me, Carlos' Bakery). The smell of cigarettes when walking through casino."
557,"- Slightly untidy bathroom and bedspread (or whatever the small ornamental thing is on the bed) for what we expected, however the issue was resolved immediately when we mentioned about it"
558,"A lot of the restaurants at the Venetian were closed for private parties, due to a large convention.(it was Las Vegas restaurant week) It would have been good to know in advance that this was going to be the case. Would have picked a different week to stay."
559,"The parking arrangement was very confusing, even with the Valet service which is to the far left side around the corner. We got sent all the way into the parking garage's valet which is for the Canal Shoppes and had to come all the way down and find our way back to the far left side of the front of the hotel."
560,WiFi wasn't that great. As it's so maybe it's pretty hard to work your way around and the signage isn't great.
561,"The room  needs a refrigerator that you can actually put leftovers and water in (it is stocked with beer, drinks that you pay for) and a coffee maker."
562,"Service really poor and reported this twice, directly to management, without any feedback or reply.
Nothing in the hotel was op to eat early afternoon.   Shocker!
Rooms are 20 minute walk from reception."
563,Air conditioning on the hallways too cold - always needed a jacket. Very long ways to reach room from lobby.
564,It was hot but that has nothing to do with the hotel.
565,"Don't go to the Bouchon, the hostess and staff don't give a damn about you.
Room cleaning was below expected."
566,Rooms are not meant for family stays. No complimentary water or coffeemaker machine in the room. Worst was the bathroom which was stinking.
567,Grazie membership was totally confusing and we didn't really take advantage of it.
568,"People smoking at swimming pool while there were also children, it can't be that difficult to stop smoking for the time at the swimming pool."
569,No tea maker in room. Travelled with an young child and hot water to be called from room service would take an hour.
570,Turned out it's cheaper to book on their official website than anywhere which also gives you extra credit for casino.
571,It was slightly more expensive than I would have liked.
572,"The staff is not helpful. When we arrived the reception desk at 2 a.m. , the staff just told me my room was cancelled with out a double check. And we have to explain a lot despite we were already exhausted. Although ,in the end, it was proved a mistake of the receptionist, he did give an apology at all. In addition, the wifi is quite poor..."
573,Not provide COFFEE MAKER MACHINE in room.
574,There's no tea kettle in the room. And what kind of a 5 star makes you carry your own bags to the room?
575,A little pricey for not including things like a kitchen or fridge for beverage storage.
576,"There is a charge for EVERYTHING, which is pretty standard for Las Vegas, but is also annoying. and be careful of the the ""refreshment bar"" it's weight sensitive so if you pick up an item for more than 30 seconds you will be charged for it"
577,There needs to be a his and hers light switch on either side of the bed. A detachable shower head would be great. No electric kettle. House keeping sometimes a bit rude and cleaning not excellent some days (we got chocolate some days and not others and the same for amenities - soaps etc) . Bedside radio needs updating.
578,"Booked around 6 months in advance and requested a smoking room. They didn't have a king smoking at check in but set me up with a double queen smoking room. The first room was terrible. There was trash in the drawers and cabnets and the drain on the tub was broken. The staff was very helpful after I called to complain. They cleaned the room and set me up with a king smoking room on the strip for the next three nights of my stay. They also waived all of the resort and wifi fees at checkout. Overall, I was very satisfied with how they made up for the shortfalls of my first night's stay."
579,"Difficulty when calling front desk for items like more towels .... No one would show up.... Called front desk several times and called house keeping, but it was a minor inconvenience. Overall really enjoyed our stay!!"
580,Would have liked a fridge that guests could use instead of one stocked with overpriced drinks-but that seems to be the norm in Vegas!
581,I couldn't complain about anything in this hotel
582,"Added fees for things. Resort fees, should be built into the advertised price. Paying extra for a fridge of your own to keep things as there is no room in their minibar fridge & if you even move stuff they know. Pools not open long enough in the heat of summer."
583,"They made a mistake at check in and give us an occupied room, they repair it with an upgrade for a room with an excellent view."
584,"I used the Valet parking and my car was in their care the entire time as I used a cab to get everywhere. When I got my car back I noticed a large dent and red paint on the passenger side. When I called and spoke to security to see video  footage the manager said they don't have security cameras, my car is an 06 and the dent could have been there (as if I don't know my own car and take care of it) and she spoke down on me which I didn't appreciate. For all of the money I spent there I definitely did not feel like a valued customer and nothing was done. Nothing was offered, no solutions. It's a beautiful place but I will never stay there again. EVER"
585,"Pool area, no shade except for buildings, no room to move as beds are lined up next to each other. Too many people and too little space.
Casino area all smoking except for one tiny uninteresting area, put us off spending time there.
Pride themselves on being the largest complex in LV with 7000 rooms, if full with an average of 2 people to a room thats 14,000 people - horrid, impersonal, not my cup of tea but if you want a brash, false, plastic environment in LV then this is it"
586,No Coffee/tea making facilities in the room which is not good when you have to travel half a mile to get to the nearest cafe in the morning. Food quite expensive. drinks very expensive (free apart from tip if you are at the tables)
587,"Breakfast is expensive (for the price it should be included), no ""personal touch"" from the staff"
588,It was very busy all the time some noisy people in the hall in the AM after a long night of partying...normal I guess
589,"It is a considerable distance from the front of the hotel to the rooms (it's a 7000 room hotel!) but if you follow the signs you won't get lost. 
Smoking is allowed in the casino and unfortunately you have to walk through the casino to get to and from the room. 
The pool filtration system didn't seem effective late on a hot day."
590,"Too far to Parking Area, Guest have to move bagage across CASINO to check in. Waiting too long during check in and out."
591,"1- its too big ,our suit was around 5 minutes walking and two elevators
2- rude staff at the swimming pool party, they forced us to walk all the way back to our suit to get our passport for age verification even though we are both above 43 years old,and when we brought the passport he didn't bother to open them.
3-every 5 star hotel in the world has a coffee machine in the room with complementary coffee,i was shocked that they dont have and they charge 22 dollars for a pot of coffee .
4- I Am A Type 1 Diabetic and on my last night before check out i needed to freeze my ice packs so i can keep my insulin cold,unfortunately even though we are in a a luxury suit but there is no freezer which i can understand,so i called room service so they can put my ice packs in the hotel freezer but they refused, i have don't that in every hotel i have been in the last 20 years and never been turned down.
5- my friend suggested that we can ask for ice bucket and put the ice packs inside it ,we called them they said we charge for ice and we paid 5-10 dollars for that i forgot the exact amount.  (we had no choice)
6- room service cleans the room and takes all the ashtray with her maybe because they want you to ask for them and tip them."
592,I had an excursion organized to grand Canyon was very hard to find the location of where the bus was waiting nearly missed my bus - not enough indications or signs. (made it at the end thank to the staff who were nice to point me to the right direction).
593,The wifi in the hotel was very temperamental and I struggled to have a connection at all.
594,No complementary items.not even tea or water. Have to pay for the electric cattle or any other thing. At Venetian nothing comes for free..I wonder they may not start charging to breath air..
595,Canal Shoppes area where people try to give you cheap show tickets by trying to get you to go to a timeshare resort presentation.
596,Nothing.  Everything met or exceeded expectations!
597,"Booking.com used my middle name as last name so it took longer to find the reservation, happened to us and friends we flew in with."
598,The rooms are tired and need to be updated. The mattress was way too soft and not comfortable.
599,Bedside light could only be turned off on one side which was difficult .
600,We were a bit disappointed with the shower as it was a little weak.
601,Poor odds on gaming tables.  6/5 pay on a blackjack and hitting soft 17 gives the house too big of an edge.  Comps are non-existent.  No real incentive to visit poker room.
602,Be very careful about the final bill. The price showing in booking.com is not the same as at the hotel when you check out. I arrived at noon but check in time was 3 Pm. Front desk talked me to take his deal which is 40$ more and I can go to my room now . I took the deal. When I check out I was charged 55$ plus tax more per nights. Every single nights we stayed. Very dishonest . Tricky .
603,I didn't like the tax and resort fee I feel I was overcharged because when I paid through booking.com it said the price is including the tax I paid 722dirhams on booking.com then I paid again in the resort 35dollars I don't for what.
