,pos_review
244,The Venetian exceeded most if not all my expectations. The only issue I had was check in. I was not allowed to check in early due to room availability and I have always checked in early everywhere else I've stayed. What I liked most was the decor of the room. It was very appealing to the eye.
245,Location.
246,"As I had warned my wife, there is no other hotel even quite like this... The free parking was a plus, quite self explanatory, and all the options available in this hotel are unbelievable..."
247,Overall GREAT experience!
248,The staff was extremely friendly! The estimate check in wait was 3 hours but they got us in 30 mins after arrival. Anytime we needed anything the everyone was very helpful from concierges to operations. I usually stay at The Aria or Bellagio but I think The Venetian is my new  favorite! It's in the heart of everything and sooooooooo convenient to get where I need to get. This place is AMAZING from the decor to the comfortable beds! I'd highly suggest this place!
249,Helpful and friendly staff.  Had an opportunity to go to the spa and it was amazing!
250,The rooms were a great size with a decor which lived up to the overall impressive hotel
251,the best hotel on the strip. the most beautiful and comfortable.
252,"Rooms are very nice and spacious for a group travelling, and after a 1 hr tiring process we were able to get two adjoining rooms. Nice view."
253,I loved every second of my stay here - it was truly luxurious! My room was legitimately larger than my first apartment. The staff were all very helpful and polite.
254,"What's not to like, it's Vegas.  The hotel was wonderful, the staff was great and the beds (whenever we did sleep) were very comfortable.  Will definitely be staying there when I return."
255,"WOW, this place is amazing....it just looks and feels awesome. We had an early morning check-in and were given the option of a room straight away on the 12th floor or late afternoon check-in of a higher floor.....we took the 12th floor that had views of the Venetian Pool, some of the strip, and the mountains in the background. The suite was beautiful, very opulent, classy and roomy. The king sized bed was amazing and we slept well on it, the separate lounge area was great and the bathroom was also very classy.The is a stocked mini-bar in the room but no where to put your own drinks to cool.The hotel was just marvellous, the ceilings are decorated with Sistine chapel style paintings, the Grand Canal Shoppes had sky painted ceilings simulating outdoor areas at and the floors were even a fancy design to catch the eye. The Casino is vast but very open and well decorated."
256,"The Venetian is an amazing hotel when it comes to the reception,casino and shops. The location is excellent."
257,Beautiful large rooms. Helpful staff. Great location.
258,"Standard Vegas room , large and comfy . Made use of the room service and enjoyed the access to all the casinos both in our hotel and those nearby in the strip."
259,The rooms are large :)  comfortable beds
260,Location and the Canal shops.
261,"Large rooms, comfy bed. Extra large bathroom with separate tub and shower. A few excellent on- site restaurants."
262,"The suite was wonderful!  The bed was amazing and we contacted the hotel to see what kind it was! We paid a little extra for late check out, and it was well worth it!  Wonderful time!"
263,"- The hotel is marvelous, as a town on it's own. The grand canal is amazing (can be accessed as outside visitor as well)- Provide free access for Tao pool party- Great casino (can be accessed as outside visitor as well)"
264,Amazing service and room upgrade was so worth it. Fabulous layout and quality resort. Super clean and our first experience was 10 out of 10. Highly recommend as we've stayed in Vegas over 7 times and this was by far the best experience!
265,The lobby is beautiful and its a busy hotel / casino - The grand canal shops are a classic bit of Vegas.The suites are spacious and the beds are super comfy
266,Comfy room
267,Comfortable hotel - good bed and reasonably quiet location in the hotel enabled a good night's sleep.
268,Mimi on the concierge desk was extremely helpful. Had great service & advise.
269,Location and I felt safe.
270,"Extremely friendly personnell. Made us feel very welcome. Rooms are huge! Property is incredible, we enjoyed every moment."
271,The location was pretty good and the hotel pool and spa were great. The size of the room and bathroom was also good and the number of restaurants in the hotel was great.
272,"Beds were comfortable, checkout was easy, all of the employees were super helpful, polite and easy to work with."
273,Beds were ver comfortable. Room was beautiful. Place was beautiful. Gorgeous in fact   Place was huge we were upgraded to the palazzo the view was of the beautiful mountains we really wanted to see the Bellagio but the view we had in the morning was relaxing
274,The property was beautiful and very clean. Great position to explore Las Vegas.
275,"Spacious, comfortable, beautiful, spotless room in a gorgeous hotel.  Restaurants we ate in were all delicious."
276,"Spacious room, with a great view. We paid extra to upgrade, but it was well worth it. Both I and my wife are found of real Venetia, this location was selected purposely. It has a romantic charm in it: great for our anniversary. Visited Eiffel Tower restaurant with a night view on the Bellagio fountains, made it as a surprise to my wife."
277,Room was large and clean.  We upgraded for an additional charge for a room with a view Room service was excellent
278,The spa was fantastic! The fact that with a massage booking you get all-day access to all the spa facilities makes the massage prices actually pretty reasonable.
279,"Everything, it is an amazing hotel located perfectly in the strip where everything is happening. The rooms are great and the best you can get. The basic room is huge so in my opinion you don't even need to upgrade and you can save this money to the casino :)"
280,"This is probably the best hotel i have ever been to. Cant go to other hotels anymore...Beer & burger restaurant inside the hotel serves an excellent burger meal, so as the pizza parlor at the food court-try it!"
281,The staff was very nice
282,The room was huge and looked as it appears on the photos. It was like living in a palace
283,"Awesome, place for our first time! Very dynamic and luxurious! Enjoyed the room an the location. The stocked bar is a little pricy but not unexpected ! I took roulette for a few spins and basically paid for our stay! Also if it's your first time, then you may get lost. So keep a map with ya lol .. Staff was very nice they didn't discrimate very straight forward they treat you as a five star guest ! Will def go back!"
284,Very pretty and clean but...
285,Our king suite was expensive but amazing! Never had such a beautiful room. Housecleaning was very very friendly and they go round practically all day.
286,The suite was large and lovely.Great restaurants.
287,Only thing good about this hotel is just the location
288,Parts if the internal architecture is amazing. Rooms are huge.
289,"The choice of resturants/bars/the location on the strip, facilities and our suite was wonderfully comfortable.All of the staff are courteous and polite, but happy to have a chat"
290,Each room comes with a spacious living room which is rare to see in other parts of the States. The bedding is really comfortable. The bell desk is efficient. Has several coffee shops in hotel
291,"choice of eateries was great.bathroom was outstandingbed extremely comfortablesize of room, living room was comforting"
292,"Rooms were beautiful and comfortable, although we did relocate to get a better view. We had three suites, and didn't want to look at the roof. Loved the gondola ride!"
293,Politeness extraordinary
294,The Hotel is very nice and the room on the 26th floor was excellent
295,"This hotel is amazing and huge, took me a while to figure out my way around. Great room sooo big. We has a strip view suite which was great. Staff were amazing and helpful."
296,Everything. Spectacular suite with a really comfy bed and pillows. Fantastic ameninties.
297,"the location was perfect and staff was helpful and friendly. We arrived around 10am, and they let us check in early, which we appreciate a lot, especially after the long drive."
298,"Free parking, Canal view."
299,The architecture.
300,Unbelievable design and architecture.  The scale is breathtaking.  A canal runs through the hotel on the SECOND floor complete with gondolas and gondoliers who sing to you as you travel down the canal.  Buzzing with activity 24 hours a day.  Staff really helpful and friendly and located right on the strip.
301,The suites are massive.
302,"Rooms were amazing, so spacious and the bathroom was incredible!! everyone was lovely and couldn't do enough for you!"
303,The hotel was nothing but luxurious.
304,I feel that you get way more service than the price of the hotel. The hotel rooms are so beautiful!!!  I ordered room service and the service came in less than 20 minutes and the level of service I receive superseded my expectations. I loved the large pools!!
305,Room was beautiful!!! once I got a concierge it was very good. Great Location.
306,"Extremely clean, large and modern rooms."
307,The hotel decorationThe bed size although the wood background make me nervous they should add more pillow or change the back of the bed with soft matrialIts neer welgernes supermarket
308,Loved the room. (They are all suites)Fantastic view. Hotel has a great spot on the strip with free parking. I would fully recommend.
309,"Great location, free self-parking, very clean room, decent views, great casino, friendly staff."
310,The location of course is perfect and the feeling of being in Vegas is transported very authentic.
311,Fabulous room - beautiful hotel in a great location
312,"The rooms are very spacious and luxurious, the bed is super comfortable, the grand canal shops area is very nice"
313,"Comfortable, large suite. Great size bathroom, bed very comfortable and separate sitting area. Security near guest elevators. Gym was well stocked and friendly staff. Huge hotel, all amenities, shops, etc. right on your doorstep."
314,"Really nice suite, large and comfortable. Very friendly and helpful staff."
315,"The grand lux cafe, location on the strip, the atmosphere, the gondolasThe shops,"
316,Everything!! Great helpful staff
317, beautiful accommodation
318, attention to detail
319, fabulous setting
320, lovely restaurants and eateries.
321,"Location,very comfortable bad,nice view,nice swimming pools,large casino"
322,The lobby and decorating looks amazing
323,"Suite was fantastic.  Bed was very, very comfortable. Restaurant food was excellent."
324,The staff were very accommodating! Lots of space in the rooms. The Tao restaurant has amazing food!
325,"Everything! The shows were awesome. The room was incredible & comfortable. Lots to do, shopping,entertainment & food."
326,Stunning rooms and decor. Brilliant pools!
327,"The decor and beauty of the hotel sets it apart from all the rest as well as the staff, cleanliness and comfort. There were times I wanted to stay in my suite and enjoy the tranquil decadence and beauty the pools and customer service.  Will be back very impressed"
328,"Bedding, was good. Excellent view."
329,"Everything is utterly perfect, the rooms, the staff, the food, the location ....I could go on and on. We never stay anywhere else when we go to Vegas, why would we, it's amazing. The Bellini bar is the place to hang out at night people watching, so many interesting characters. David, David, Tim, Chris, Santiago are all amazing bar tenders and greet us like old friends as we arrive back year on year."
330,"The bathroom was stunning, the exterior of hotel was very impressive"
331,Liked the location
332,"A very luxurious resort that provides you absolutely everything you require and MORE !!Good restaurants, amazing pools fun beach clubs in the most amazing environment"
333,AMAZING and HEAVENLY. The best hotel and casino ever.We loved every single aspect of the stay. Will come back again for sure.Excellent views and love the multiple levels in our Luxury Suite.
334,"Luxurious hotel, beautiful details, lovely restaurants."
335,"Fantastic hotel, great staff and a great location on the strip.   I would definitely stay here again."
336,"I loved the theme of the hotel, it works well and is well executed. The choice of restaurants and pubs is huge. Room size and bed comfort is a big plus when sharing."
337,"The room is excellent with 3 TV's (one in bathroom), very comfortable beds, large living room and bathroom and overall very clean with nice products in the bathroom. We almost wanted to spend the whole weekend just in the hotel room! Would definitely stay there again if I came back to Vegas."
338,"Beautiful suite, bed comfy, large bathroom. Friendly staff. Excellent choice of restaurants. Location superb, excellent value for money. A beautiful hotel."
339,"From the moment we arrived, until our checkout, we enjoyed our stay and would definitely come back !This is a beautiful place to stay when in Vegas - including the room quality, facilities, pools, restaurants."
340,The location is goog. Lots of restaurant.
341,Liked the space and the fact that you never have to leave the hotel for anything.. set of restaurants are excellent. Whole experience was amazing.. would definatly stay there again.
342,I liked the free parking. The clean indoor streets everywhere. The beutiful sculptures and the arkitecture of everything.
343,Great location and surroundings. Huge room. Great choice of restaurants. Efficient check-in and check-out. Obviously the property and the surroundings are very popular with Vegas visitors. Could be congested at times.
344,"Hotel was magnificent, beds super comfortable- buzzing atmosphere"
345,"Amazing hotel in an amazing resort, great rooms, great restaurants, everything you need for vegas!"
346,"Great location, right on the strip. Spacious suite with very large bathroom."
347,Great Location with everything in one place - no need to go anywhere else in Vegas except for shows. The room and bathroom werr fantastic: comfy bed and a well laid out bathroom. Excellent restaurants
348, the concept of St Marks Sq was brilliant. We will be back for another magical experience. The Staff friendly and well trained . Thank you Mr Adelson
349,Upgraded suite 33rd floor of Venetian towers. Panoramic views of the strip. Staff was helpful with directions when lost. Deluxe cafe was a good breakfast value- large portions.
350,"Location and services,  the wow factor was a must see"
351,This property is beautiful!  It has everything one can need for a fabulous time in Las Vegas.  Walking around the property makes you feel like you are indeed in Venice!
352,"We are definitely staying with you again. The room was amazing, the staff was amazing, our mini vacation was amazing. Thank you for everything!"
353,Location and the design of the room.
354,Rooms were really large and very comfortable. Location was great.
355,"Wonderful setting, very clean and extravagant."
356,"Spacious, comfortable rooms, fabulous view.  Absolutely quiet - cannot hear other guests pass in hall, or in next rooms.    Staff was helpful, courteous and ready to make any problems  right ASAP.  The formal gardens and pools on the 10th floor are exquisitely beautiful and a restful spot to lay outdoors and read or nap, or to take advantage of the hot tubs and cool water pools.  For the party crowd, the pools on the 4th floor offer drinks and lots of sun.  Set aside an evening to enjoy a delicious meal at Bouchon restaurant."
357,"The pool staff was extremely accommodating. The manager, Jessica was great!The Bouchon Bakery is my favorite and they have outside seating on the strip!Tao beach was awesome!"
358,It's crazy - it's another world - and it's fun to experience. The room was huge with a fantastic view of the Strip and the lava show at The Mirrage.
359,"the rooms were beautiful, and so comfortable"
360,"this hotel is amazing... one of THE best places i have ever stayed. staff were very helpful, nothing was too much, plenty to do from shopping, eating, relaxing by one of the many pools, visiting casinos, drinking at a bar etcThe options are endless at the Venetian"
361, you wouldn't even need to leave the hotel to have a great Vegas experience
362,"Great value for money if you want a luxury stay. Staff are really friendly, beds are comfortable, the grand lux cafe is a great place to go for dinner. Just walking around the resort is a great way to spend the evening."
363,The bed was so comfy and the room was spacious. I loved the vanity in the bathroom.
364,bed is good .Room was big.wifi good.
365,"Every single thing was great! The front desk staff was very polite, our room and the entire hotel were absolutely amazing! Our entire stay was an unforgettable experience."
366,Rooms are great although getting a little tired - This was my 6th stay since they opened. Great location but maybe try the Palazzo which is effectively the same 'resort'.
367,"Great hotel, big but not too big where one has to walk 10 mins to exit the hotel. Great bars and restaurants within the hotel. We booked a queen size suite which was truly gorgeous. We enjoyed every minute of our stay."
368,Staying in Vegas is always a 24 hour life. Service was amazing with the response upon request. Polite even though it was over night. Made me feel extremely comfortable.
369,"Loved the fact that they cared about first impressions of there hotel, and were very generous of upgraded our basic suite into a massive suite to please us. The pool was great and lively, our suite was extremely large with a private treadmill and sauna, it was WOW!!!! Overall and excellent value for what we got!!!!!!!!!"
370,"Luxury and comfort, with remarkabke ease of facilities such as restaurants, entertainment and gambling (! )."
371,"Bella Suites sleep 4 comfortably and were a great choice for a group trip. Location on the strip is great, and many good dining options within both Venetian and Palazzo."
372,"Clean, modern with every facility you could ask for. The pool area was amazing with sun and shade for tender skins"
373,"Not cheap obviously but simply fantastic and almost mandatory to experience the las vegas ""wow"" effect."
374,"The suite was amazing, huge, clean, modern! Everything you needed and so much more. We didn't want to leave the room. And cheaper than what we paid per night in San Francisco and New York but at such a higher level.The bed was the most comfortable bed I've ever slept in.The hotel had everything you could ever need however we couldn't stay there forever and had to venture down the strip."
375,"We liked everything about this hotel. The staff were super friendly. The room was amazing, clean and beautiful. And the bed was sooo comfy!!! The hotel is well located on the strip too."
376,"What a surprise! We expected much less. Everything was perfect!! No matter how hot outside there is so much to do and be entertained here. So well done, you would think you were really in Italy. Great selection of fiod and shops and not as expensive as you would think."
377,Location and room comfort
378,Shops and restaurants were excellent.  Lovely mini suite.
379,"The check in woman gave us an upgrade, which was soooo appreciated. Made me feel so special. Loveliest place I have stayed. Loved the decore throughout. Loved the theme of Venice. Loved the gondolas , loved the shops, enjoyed the overall atmosphere."
380,The healthy option breakfast/cafe near the gym.
381,"The room looked great, just like in the pictures. Also, we liked the gondola floor."
382,Bed really comfortable. Room beautiful.Location fantastic
383,"Excellent spacious clean suite, good pool area. Friendly bar staff and waiter staff."
384,Room was exactly what I had expected. Well sized suite with a spectacular view of the fountain at the Mirage. Beautiful hotel with friendly staff and excellent dining. Drinks and table min are on the higher end but you get what you pay for.
385,The room was very quiet even though there was a hens party on our floor.   The bed was very comfortable.
386,The hotel is really nice and clean
387,"The room was amazing - loads of space to relax, the bathroom especially was pretty fancy.  Very clean as well.  The hotel has a great location on the end of the strip - easy to get the bus to downtown or the other end of the strip.  The pools were great."
388,Beautiful hotel with an excellent location.  Our suite was large with 2 double beds. Bathroom was lovely and the pools that we used (there's so many we didn't get to use them all!) Were great. Shopping mall was huge and we were lucky to have a suite away from the casino with having kids with us. Would recommend if you don't mind paying over the odds for everything once you are there - but that's Vegas for you!
389,The hotel is amazing! The grand canal section is the best! So beautiful! Good shops and restaurants. I loved everything! You will want to stay forever in this hotel!
390,"The room smelled of sewage, the bathroom & the sheets did were not cleaned, the garbage was not emptied with a banana skin still left in the bin. Not great at all!"
391,"the restaurants were mostly exceptional, other than Morels and Yardbirds.  Sushisamba was by far the best, followed by Bouchon & B&B Restorante. Best Happy Hours at DB Brasserie & Zeffirino. The hotel was very clean and considering the crowds the staff was exceptional.  Room was spacious and comfortable but a few things were not right (dead remote, snack tray in disarray, make-up mirror light dead, clock set 3 hours early)."
392,The facilities were immaculate. Staff around the pool is extremely helpful. .
393,"Everything was awesome, the hotel is impressive"
394,the Hotel is just the most unbelievable among all Las Vegas Hotels (artchitecture POV)
395,"Everything was superb! Free valet parking , great location, amazing suite and facitilies. Very good for kids too. 5* all the way"
396,Room was spacious and comfortable. Staff was friendly and professional in every way. Great restaurants and shopping. Location  was convenient and accessible.Will definitely stay here on my next visit to Vegas.
397,Efficient check in and check out. Staff helpful.
398,"Super nice room and facility, good view, very clean and comfortable. The pools were also nice with sun."
399,Loved the grandeur of the  hotel ! We have been to Venice and the hotel portrays Italian romantic capital at its best. Staff is v good. Location is excellent!
400,It's got everything you need (of course). But little personality.
401,"Everything, the staff were friendly, the casino and resort was light and clean with so much variety and had lots to offer, the room was incredible, the cleaning service was excellent and the location was superb."
402,"The bed was amazing! So comfortable. The suites are a great value for money, super clean and beautiful. Amenities are great, staff is super helpful. AMAZING experience, LOVED it!"
403,Very well equipped and spacious room with comfortable beds. Hotel at the heart of the strip with excellent facilities on site.
404,"The rooms are amazing, nice and spacious."
405,"The one touch electronic window blinds are straight pimpin'. The bathroom was beautiful and came with a vanity + vanity mirrors. TV's in the sleeping area, sitting area, AND bathroom! The bed was also very comfortable, I didn't want to leave the room :) The view was great even when not purchasing extra for a City Strip View. The mountainside, skylines, other buildings, and golf course were all nice to look at. The entire room, and resort for that matter, was sparkling clean. I loved the atmosphere and convenience of having all the shops around, including a Walgreens for random necessities. The elevators were also nicely organized so they did't overcrowd."
406,Staff were friendly and quick....to check us in excellent service.
407,"The room was spacious along with the decor being nice.  Most of the staff were awesome, especially the girl serving drinks at the pool."
408,"Great hotel, with very large rooms, bathroom and comfortable beds and well looked after. Really good location on the strip, and loads of options for entertainment and restaurants."
409,"Big, comfortable rooms"
410,"Excellent hotel, with very large rooms, bathroom and comfortable beds. One room was easily large enough for family with 2 teenagers. Great location, really felt like you were in Venice and attention to detail was amazing. Very opulent , would definitely recommend . Free parking as well."
411,"we were given an upgrade and the room was spectacular, will definitely stay here again"
412,"Quiet room, very comfy bed, beautiful layout of cafes and shops near canal and st marks square in hotel."
413,"Specious, comfortable rooms, great location."
414,We had the Bella suite with 2 queen beds and a sofa bed and this was perfect for two adults and 2 older kids. Great view and very specious room.  If you need a rent a car there is a Avis desk in the lobby area which makes the whole process of renting a car very convenient and easy.
415,"Bed ,location,and staff are very good ."
416,"I like the theme of the hotel eg Venice and we booked a gondola which we enjoyed but was dissapointed with the time on it .its expensive fo 10 mins ,the decor and cleanliness we thought was excellent ."
417,Luxury hotel very extravagant had the WOW factor extremely well kept everything you need under one roof stayed here for our honeymoon August 2016 was amazing
418,Good value and facilities in hotel complex
419,The suite was superb and of a superior standard.
420,"Beautiful property, amenities and restaurants. Decorated to an excellent standard"
421,"Theres a lot of good restaurants all over the property. Even the fastfood establishments were not the typical ones, but still very good."
422,The rooms are incredible! Standard suite is gorgeous! Lovely seperate living area to bed and a huge bathroom.
423,French restaurant in the Venetian was the only good thing about my stay there.
424,"Great location, luxury, large clean room, many restaurants, good food court."
425,Perfect location and very luxurious feeling. Very clean and spacious rooms.
426,We got there at 11am were going to have to wait until 3-6pm for our room but we did the 20$ tip & got our room at check in instead of waiting until 3-6pm
427,The room was beautiful and comfy
428,"I liked the location, the whole Venice them all over the hotel, the casino and, the shopping mall inside hotel, some many restaurants from panda and subway to the fancy Italian ones, and most fascinating thing the 3 pools there were just amazing and there was a beach-pool where people were parting around 2 p.m there dj rocked the place great atmosphere"
429,Everything - would highly recommend the Venetian hotel - great food & Casio was fantastic- rooms were spotless & very spacious - staff friendly & very helpful
430,"I spend 2 days in Las Vegas with my wife they upgrade our reservation to a suite but at the third floor, in general great rate quality, service price"
431,"Spacious rooms, clean. Beautiful marble floors and murals on ceilings."
432,The suite was very comfortable and we were impressed with the room service member of staff.
433,"The check in was very pleasant, the room was immaculate. And the hotel has a nice variety of shops.Plenty of restaurants with good food. My stay was short, 1 night, so my experience is limited to one restaurant and one breakfast place."
434,"I enjoyed my whole experience in this hotel and was sorry to leave.  The bedroom was wonderful, it was like being at home. The staff were very helpful and answered all my questions that I asked, they were polite and courteous at all times."
435,"Staff were really great, especially Janet on check in. She upgraded our room for us as we were on our honeymoon, making it even more special. The whole hotel was amazing, imposing and grand without being pretentious and the shops and casino areas were nice. Room was awesome with a lovely view and the hotel itself is in the perfect location. Also good restaurants inside."
436,"Probably one of the best hotel on the Strip. Outstanding luxury hotel, great shops, great casino and perfect collection of restaurants. Location is great to walk along the strip to any major LV casino."
437,"Pure Luxury, great rooms and pools, restaurants in the complex were also great.Why leave the hotel in 100 degree heat and be accosted by beggars all day and night?Would visit the hotel again, would we visit Las Vegas again??????"
438,The hotel was really beautiful - a holiday in itself.  Everything is spotless and luxurious.  The beds are very comfy and the rooms are spacious and sumptuous.  Pay for a view room and ask for a high floor to see the city lights.  Allow time in your trip to spend in the hotel as it is huge and worth exploring.
439,"Although its a large hotel, they got us through check in and check out quickly, efficiently and, most importantly, with a smile.  Excellent  and very glamorous facilities.  The suites were amazing and so comfortable!  This is a hotel that works very hard to make sure their guests are well catered for and have a great time.  The final check out with the wonderful Sylvia ensured we left wanting to come back!  It far outshines the dated money-grabbing Bellagio - well done!"
440,My husband and I were ending a two week driving trip through the Western Natinal Parks. The Venetian was the perfect end!  We upgraded to a king suite that was extremely spacious and comfortable. We had a relaxing two days before driving home to San Francisco.
441,The room was nice staff was good
442,This hotel is truely enormous. Incredible decor. Overwhelming.  Were there three days and still got lost. Excellent facilities. Centrally located on strip but also take the time to go downtown to Fremont Street for a totally different experience and atmosphere.
443,You didn't even need to leave the Venetian everything right there!Thank you
444,good size room
445,"The rooms were luxurious and everything we could wish for.  Really beautiful rooms.We had a great check-in, a lot of guests arriving but we moved quickly.Pool complex on the 4th Floor provides a vista of the city, Saint Mark's in the background.  Plenty sunbeds, towels, supportive staff, friendly conversational lifeguardsHuge choice of restaurants, Otto's for lively and atmospheric openers, CUT for formal dinner and exquisite meal.  Great shopping variety, great walks through to The Palazzo.The television-based account and room check-out system offers an efficient alternative to the Guest Reception on peak times. very good innovation.Indoor Gondola experience perfect.  Our first stay at The Venetian, everyone helped and supportive."
446,"Venetian have bigger room compare to  other hotels on strip , one of the biggest casino."
447,The receptionist was really nice and upgraded us to a larger suite (free of charge) as we were tired and only had one night to stay- he wanted us to have a 'good night :)'- great service.The suite was enormous and beautifully designed and quiet as we requested. We got a great nights sleep with a very comfortable bed.Very easy acess to the rest of the hotel and restruants and shops.
448,The supervisor offered us an upgrade to the top floor of the property at a discounted rate.
449,"The hotel is so impressive the room was wonderful, the furnishings were beautiful and everything was very clean. So many things to do and see in the complex alone before stepping a foot outside! Lovely shops and restaurants. A real must if you like luxury and want to be spoilt."
450,The hotel was nice and felt very clean ! All the staff was nice and very helpful. There were a lot of great shops in the hotel as well.
451,Enjoyed the spa & the room was very nice. La Bouchon is top notch.
452,The rooms are superbig. The beds are very comfortable.
453,"The suites are huge and luxurious, what you would expect of a hotel of this calibre.  Beds and linen to die for.The pool areas are immaculate, and nice fluffy towels are provided.  The shopping area is huge. The canal, and surrounding areas, ""St Mark's Square"" etc, are just stunning.  It is hard to imagine you are indoors, the way they have done the starry sky is very, very clever.  The most impressive hotel we saw during our stay, by far."
454,"We LOVED this hotel, ended up extending stay for extra night. Facilities were excellent, location was exactly what we needed, rooms were huge! Great value for money! Happy hours in the hotel brasserie were delicious too! Wifi was quick and always to hand. Pools are amazing and there is something for everyone! Cameron and Terri on the check in/out des deserve a special mention. SO helpful, well mannered and welcoming!"
455,"Immaculate hotel as expected, we didn't have breakfast so cannot comment on that. Pool choices and privacy were well appreciated, along with the shopping mall connected."
456,"The room was superb, spacious, very comfortable bed, lovely bathroom, just lovely. The hotel is simply sumptuous."
457,Huge amount of facilities & location.
458,The suite was palacial & very comfortable. The view was fantastic!
459,"The suites are huge, there's a minimum of three TV's per suite! The dining area was really nice with the great view. Comfy beds with lots of pillows. The bathroom was awesome."
460,The room space was amazing more like a 7 star hotel with TV's everywhere even in thr bathroomThe location was perfect near to all attractions
461,"The rooms were unbelievably beautiful.  The location great and the bed was so comfortable I would like to have it at home.The staff were very helpful and friendly.The Bouchon restaurant had good food, and pool on the 10th floor was very tranquil."
462,"Ate at the B and B our service was beyond excellent . Helen was wonderful explaining everything. We had a fantastic meal . The room was cleaner than clean . We enjoyed our stay sorry we couldn't stay longer , but plan to return in the future ."
463,"food, shopping, it's beautiful and sparkly clean.  Staff are very nice and smiley and very helpful.  It's a fantastic hotel"
464,"Great experience, large and comfortable room. Lots of restaurants and a unique experiece"
465,Everything was good
466, we have been provided with late check out and staff were very helpful
467,"Accommodations excellent. Enjoyed eating at the Grand Lux.  Enjoyed the circular casino bar.  Excellent restaurants available.  Will indulge next trip.  Will also enjoy poolside next visit, pending itinerary."
468,"Wonderful suit, best value for money"
469,Room was nice & spaciousHousekeeping were really nice
470,"Room is really big, bathroom is awesome, there are about 10 pools, spa and lots of shops and restaurants. You may never leave the hotel if you want!"
471,Hotel Location on the strip & size of room
472,Huge room.  It really felt like I was staying somewhere with class.
473,Location.
474,"Loved this hotel - stayed in many and overall this was the favorite.  When you first walk in, you feel 'Wow' right away.  The staff makes everybody feel like royalty.  They are helpful and fast and so good at their jobs - they make the stay here extra special.  All staff wonderful,  desk, housekeeper, dining.  All top notch.  And the concierge floor made a big difference !  Would def say you should get that Upgrade - it is floor 23. That was a wonderful perk.   The apps were delightful and area is so sophisticated and fun.  In the room - amazing rooms.  Loved the dream machine night time ocean sound maker - slept so very well.   Views were wonderful.  These beds were like clouds - never wanted to get out of the beds!"
475,"This was our final stop on a fairly energetic tour of California. We decided to treat ourselves the Venetian. It was great, easily the best hotel in Vegas as far as I can see."
476,"The staff are very helpful,polite and friendly .The hotel is always spotlessly clean.The buffet breakfast at the restaurant is very good value with plenty of options."
477,"Great hotel to feel the spirit of Las Vegas in the very heart of the gambling city. Too big, too crowded but you feel yourself just in the center of everything. You may spend the whole day in this hotel as it has everything in it - SPA, swimming pools, casino, shopping center, variery of restaurants. Spacious rooms with comfortable furniture and excellent views. Good location near the shopping mall."
478,"Good location and interesting hotel.  It is a huge complex with various restaurants scattered around, the ones we visited were good.  Bedrooms are big and comfortable and also quiet apart from a parent playing with a screaming child in the corridor late at night. Good swimming pools"
479,Suites were very comfortable and high quality.Staff went above and beyondFacilities were second to none.A good variety of restaurantsEntertainment everywhere.
480,"I loved the Venetian. Excellent hotel and has all the facilities under the sun. The staff were friendly, Casino was great, bars and restaurants are excellent (especially Delmonicos steakhouse!) I can't wait to go back! Everyone should stay at The Venetian!"
481,Beds super comfortable. Suite superb.  Good choice of restaurants and fast food outlets in the complex along with one of the best casinos on the strip.      Vegas is Vegas baby......   What can I say.  Ha ha
482,"Excellent location with great shops, restaurants and shows. Beautiful pool complex with both quiet areas or high energy music from TAO. The Italian theme with gondolas and performers in the square provide a wonderful ambience for walking, shopping, dining, watching street performers or just some gelato!"
483,"Excellent customer service, especially the manager 'Emily' on the front desk. She was very empathetic and helpful and offered personal assistance throughout our stay.Very comfy beds, interconnecting, large suites, exceptionally clean, good security, a fabulous resort. We will definitely stay here again, next time we visit Las Vegas!!!!"
484,"it has all you need, it is a great location and the rooms were huge. You almost don't need to leave the hotel."
485,The canalShops Restaurant
486,"Great staff. Always ready to help. Immediate assistance and free supplies ""for the road"" when a member of the party twisted their ankle."
487,Location great
488, right at the stripExperience great
489, if you are going to Vegas it is this one or the BellagioRestaurants great and many (and normally priced)Parking free with great vallet staff (do not forget to tip them)
490,"From our explorations of most of the hotels on the strip the Venetian / Palazzo is probably the best / most beautiful / flashy. Interior is unbelievable. Room was palatial. Access to so many diverse pools was great for kids. Very helpful staff. Brilliant for kids, car parking included."
491,"This hotel room was like an apartment! It was awesome! We had a view of the strip, the room was clean and comfortable. There was a tv in the living room, the bedroom, and the bathroom! Next to the bed on both sides were plugs at table height for charging phones which makes excellent sense!"
492,"I took my wife for her birthday at the Venetian.  We fell in love with the suite, but she fell in love with the bathtub. All she talked about was wanting one at our house. We wanted to make time for the pool but couldn't make it.  But the restaurants The Yard bird and The B&B burger served food that was delicious and well worth the wait."
493,"High luxurious hotel, a lot of marble finishs inside, very big and connected to the canal shopping mall through internal bridge, the room is spacious and very comfortable, big bathroom, despite the building looks old but it is well maintained"
494,good location and facility
495,Huge room with comfortable bed. Very helpful staff at front desk check in/ out. Well equipped gym.
496,The whole stay was amazing.. I won't stay anywhere else from now on when I come to Vegas. I was even upgraded because the facility was full and I have to say I couldn't be happier with my experience
497,"Nice stay in Las Vegas. The canal and plazza with all the restaurants and shops are really great, create a Venice atmosphere. The suite was spacious and luxury."
