,neg_review
198,Nothing made me uncomfortable or sad everything was perfect for me
199,At check in the front desk agent was a little snobby. I wish I had a warm welcoming since it was my first time at the hotel. She seemed to be doing the bare minimum when checking me in and I know I was early when checking into my room but when I asked if I could get something a bit higher she got frustrated with me saying that it was still early and I would have to wait and she wasn't able to give me a time. I know the process of checking someone in and I don't blame her answers but the attitude could have been skipped.
200,A later check out is always a plus.
201,The system was down due to an upgrade and they couldn't let us get the room right away on check in time. Later they gave us a room and then told us they need to move us to another room which was different to what we asked for which then they needed to move us to a third room but it was already 11 pm and wanted to sleep so we slept in the second room. It was a big mess!!
202,Took 7 hours to get my room and they tried to give me a 100 food voucher to be used in the hotel... wow.. then got to my room finally and found out it was the wrong room.. the pricing in the hotel was crazy... spent 70 for a breakfast and they charge you almost 4.00 for a pop..
203,Not being able to store even a bottle of water in the fridge supplied as it was completely full of stocked items.
204,"The wifi signal was very poor in our room, it would only work if you were sitting right at the desk in the corner. We contacted the hotels IT department and the problem still persisted. In the end I gave up trying to connect. There was also no bar fridge to put any items. The items in the small fridge was stocked full of mini bar item (which if you lifted or moved anything would be charged to your bill). I also didn't appreciate the strong cigarette smell in the halls. I understand that it's a casino and people smoke in the lobby etc but the smell lingered in the hall outside our door. Wasn't plesent to smell all the time. I also thought to gondola ride looked amazing but I feel like hotel guests shouldn't have to pay the full price , or at least a discount for hotel guests."
205,The room service was very pricey- especially with delivery fees on top.
206,"With all the awesome things they had to offer, they were some downers as well. First, my husband opted to receive the 15 dollars of ""table "" credit instead of ""slot"" credit. However, the tables wouldn't accept the credit so we were left with essentially a souvenir check. Also, some of the staff are just down right rude. Although we stayed for 4 days, we only ate breakfast there only once. The breakfast staff were just ridiculously rude. Not to mention I absolutely hated having to go downstairs because, as soon as you step off of the elevator you are attacked by the smell of smoke."
207,The only thing I had an issue with was having to walk through the smokey casino floor with my children to get to the rooms
208,"Terrible services:a) long check-in line and rude / unfriendly staff. Booked into the Venetian, but got Palazzo (sister property attached to the Venetian)... no idea why?b) SHOCKING house keeping - not enough amenities (e.g. towels, shampoo, etc) provided for the number of people booked and paid for in the room. One day our room wasn't even cleaned - had to be requested a number of times and was only cleaned at 8pm that evening. Any requests took c.2 hours to be actioned. No turndown services - for a high * hotel, very unexpected!c)Terrible concierge service - rude, unfriendly, not interested staff, only happy to sell their own 'approved' services. d) Absolutely no help with luggage on check in or check out - prepare to drag your luggage yourself to your rooms through carpeted casino floors!!!Very disappointed stay will not return."
209,"The hotel is beautiful.  However, it didn't feel clean.  The non-smoking room had the fragrance of cigarette smoke.  The room was dark and had a not so fresh odor to it.  We normally putts on the day of check out to enjoy our stay"
210," this time, we were up at 6AM and out by 8AM."
211,Wish they had a fridge to store our own personal drinks and food.
212,"There is a charge of 25 dollars a day to ""rent"" a fridge. The one included in the room is packed full of purchasable items with no room left for your own food or drinks. The amenities of the room were extremely lacking for the price that we payed to stay. No hair dryer, no coffee maker, no extra towels"
213,only two full sized ones left for us! It was a beautiful room but lacked in the comforts that even cheap hotels our iced for no extra cost. Very disappointed in that aspect
214,The shower jet power was really poor. There is nothing to do there but the casino and the mall. So boring and limited You end up being charged away more that what you agreed to pay upon check in. Overall poor value for money
215,I booked on the Venetian but the room was at the Palazzo Hotel maybe they are the same but they should mention this at the booking because at the website they are separate.
216,Cigarette smoke thru casino!
217,We are older and did not like the difficult  maze and distance we had to navigate to find our room. I also did not like the heavy quilt on the bed. I sweat all night. Thought I had the air set cold enough. I need a lighter blanket
218,"Cleaning of our suite wasn't thorough, and dirty drinking glasses were not replaced during a whole week."
219,"I didn't like that I checked into venetian hotel but yet they put me into palazzo which I had walk across whole property to get to my suite.And that's not all I valet park my car when I checked in, so when I was checking out I was fine to check out at palazzo but yet again I had walk across property to get my car from venetian valet staff, which I was not advised from registration staff when I arrived or when I checked out."
220,Very noisy by our room. Stayed at a different hotel on the strip and it was closer to the airport but the room was alot quieter.
221,"There was a large blood stain under our pillow, which we didn't notice until the morning after since we didn't get into bed until very late the previous night. It left us feeling grossed out. We were offered a room change but since we booked our stay next to our family, we didn't want to relocate."
222,"everything is with fees even water and hot water ,kettle etc. it doesn't sound good with this luxury designed hotel. in gulf area where I live we used to luxury service although paid indirectly but give nice impression water free , kettle ....."
223,"what I don't like of this super expensive hotels is that you don't have free wifi or coffee or water in the room!! In cheap motels you always have those services, I don't understand why they don't offer this in the expensive ones, that should be basic"
224,"Heated pool, hot tub, jacuzzi would've been great. A refrigerator to hold our left overs and drinks would've been nice without an extra charge."
225,The room had hard water spots and stains on the counter tops.  The TV kept losing signal and freezing up.  The toilet and sink kept running and had a smell coming from the water.  It took 4 hours to get a package delivered from the internal package room AND 3 hours to get dishes cleared from room service.  Carpet was shabby in the room I was in
226,"I kind of wished the shower had a closed door/curtain, but it wasn't a huge deal. Also   a mini fridge and microwave would have been nice."
227,"As a Brit, I missed having tea and coffee making facilities and would have loved to have had breakfast included."
228,The fact that the rooms didn't have coffee making facilities.
229,A shame not to have breakfast/ water/ any food or drink included
230,"No morning paper outside doior,  shower didn't have good water pressure,communication was not always forthcoming,"
231,Our view was a little boring. Having a pay minibar in such a place seems a bit silly. The prices were prohibitive.
232,There's nothing to dislike about the hotel.
233,Looking old and the towel in toilet are dirty and the value of money 40% more than showing in Booking.com The hotel will till you to pay 40% more in check in!!!!!!!!
234,I did not like having to cut through the smoky casino to check in and check out. I also missed a coffee maker.
235,"Casino felt taken advantage of, as someone who had not played black jack before."
236,Unfortunately when we checked into the Venetian they didn't have a non smoking room available therefore they put us up in the Palazzo. The Palazzo is also fantastic but we did book to stay at the Venetian.
237,Vegas in general is getting very pricey.
238,the bar in the casino was dirty and messy 
239,"the video poker machines buttons were sticky, needed cleaning up"
240,"Housekeeping could have been much better. The shampoos, soaps, bathrobes and glasses were not replenished. The Wifi was good in casino, however it was PATHETIC in the room."
241,"The beds were too high to climb into without a stool. We were given a room at the far end of the hallway and told it was halfway down the hall, (which it wasn't) so it  meant we had to walk the furthest to and from the elevators, even though we both use walkers. This made it difficult to go anywhere and we got tired before we even got started. It would have been nice to have seen a floor map when checking in to help find the ice machine and see where our room would be before we accepted it and went all that way."
242,The rooms do not have tea / coffee making facilities. Only plastic cutlery available in the food court.
243,"The service of the staff was terrible, they wanted a lot of money for everything and werr really sarcaatic and non caring.. for examply they dont provide a toothbrush and if u want one simple one they only offer a crappy kit for 32 dollars.. worst hotel iv'e ever been in vegas.. me and my friend checked out after one day and decided to go to the aria"
244,"After having stayed in the Aria for a similar amount of money, we couldn't have been more disappointed. The reception area is loud and overcrowded with nowhere to sit if the queue is long, or if you're in a big party and some want to wait at the chairs. I was feeling very ill when we arrived, and there was nowhere for me to wait while my boyfriend checked in. The design of the place actually feels kinda oppressive, low ceiling, lots of smoke, and too many people made it feel like an overcrowded zoo."
245,The casino was not clean and air filtration was not sufficient. Ash trays were left dirty and I found in several locations. The door key pad to room had to be fixed in the middle of the night.
246,"Personel in reception are not friendly,gave me very far room from the left inspite I am 60 years old, no meal plan, although the room is expensive no kettle, when I asked for one they charge me for it??, on checkin they took 100$in cash and gave me receipt to take it back on checkout,but they did not give me the money as promised and told me they will return it to my credit card"
247,Was fully booked when I needed it:)
248,must of the stuff are not nice. the minibar is full so you dont have any place to put anything refrigerated
249,"Although we paid with 3 months in advance using booking, the room was not confirmed, and we have problems at checking, not having the exact room we had requested. At the end they ""found"" one."
250,"Not the best and kindest staff, no sun in the swimming pool areas, rooms far away from the elevators, dealers with no smile on their face. I will certainly not come back again."
251,I cannot think of anything I didn't like about the place besides the check in issue
252,"1. The bedsheets had a foul odor, and the corridors had a horrible stench2. Everything took over 40 mins to come ( water, in room slippers, luggage, bell boy , food, and even tissues.) 3. We changed rooms after the first night and we had to wait over 2 hours just to get our keys and everytime we called reception they said it was on the way to us. 4. We were charged for everything and anything , and though i dont mind paying, in return i would have liked to see the amount of money going into the hotel being reciprocated through the service and quality like any 5 star hotel.5. We have been to numerous 5 star hotels , this was by far, the worst experience . We were not treated like how a 5 star hotel should treat it's hotel guests.6. This is the most commercial and profit based hotel i have been to , the quality and service was the lowest i've ever experienced.(Bear in mind we stayed in a deluxe suite and we are IHG elite members and we were treated as if we were in some 3 star hotel) * we are newlyweds and since we are IHG elite members they upgraded us to another room which was exactly the same size and it was a DOUBLE bed room ???"
253,there was still hairs of the previous customer in the bathtub.  Internet going up and down
254,"First off, I booked online and the price shown on website was totally different when checking in. I would recommend to just include all tax and resort fee so customers are aware of what to expect. Its shocking really, especially if the price difference is a large amount."
255,It's a pretty big property and I managed to get lost a few times.
256,"Hotel information lacked in the hotel room e.g. No clear literature on the services available E.g. Pool times, shopping, dining, entertainment, bars, gaming etc. Not even when & where. The experience was more biased towards self discovery on that front."
257,there is nothing included at the price. as a guest of the hotel - you do not get any privileges - no breakfast etc.  the pool was too small
258,"It was a lot of trouble checking in and finding a place suitable for a group with a 1 yr old baby. After two trips to reception and a phone call...p.s two trips in a very large hotel meant 1 hr process with a 1yr old baby...... checking in seeing the rooms and finding out they were initially very very far from eachother, calling reception, heading back down, talking to someone nice enough to give us two adjoining rooms, moving our stuff again. Casino - smoking...but I guess this is allowed in Las Vegas.... We managed to find routes around the smoke.We mainly stayed here to be close to the canyon and to be comfy. Worth it, but the hotel is so huge, having a problem at check in makes it a large mess. So make sure to spend the extra time down there, and cross your fingers you have a nice staff member so they can accommodate a travelling family with a 1yr old."
259,Nothing.  I enjoyed everything.
260,I disliked the long walk to the elevators to get to your rooms......it didn't matter which way you enter. I also dislike having to walk through smokey areas which is very popular in Vegas
261,The rooms for me were a disappointment. They were not of 5 star quality and there wasn't even water or a tea/coffee maker which is standard in most hotels in America. You had to pay a resort fee to use the facilities and the restaurant and bar prices were so high. It felt like you had to pay for an extras that in a 5 star hotel should have been included. The pool chairs were filthy as well.
262,"The resort is so large that it took us 10+ minutes to get from our hotel room, down two sets of elevators and across breezeways, etc to get to food court/restaurants/gym. It got old very fast. The staff is positioned at various stations along trek to point you in the right direction which we appreciated. I would definitely request a room closer to the hub of activity next time."
263,If you want a strip view you'll have to pay extra other than that nothing to complain about!
264,No coffee maker in the room . Close from another person left behind still there .  Sofa bed dirty with stuff on it .
265,"The most disgusting hotel room ever. 
The housekeeping service is really bad. 
Some of the things i was shocked to see in a 5 star hotel. ( i was served dinner in a broken tray! , the duvet was torn! And one of the days i left the room at 1pm and came back at 9pm and it wasn't clean.  Really the worst experience ever."
266,"Housekeeping left dirty dishes in the room. Didn't clean shower area. A housekeeping manager stopped by the room and told us that he would make it better "" for the next guests"" and walked away without taking the dirty dishes out of our hands!"
267,"- No simple things as kettles in the room- Encountered an issue that required remote assistance by phone (after checkout), staff wasn't helpful on this case- Pool seating options isn't big enough for this amount of visitors- Irritating minibar that charge for everything you *moving* in the bar + doesn't allow to put your own bottle of water."
268,"The shower head was a trickle, terrible water pressure. The towels were threadbare. Just seems a bit tired and starting to need a refresh - especially considering the price. There are way better options these days than the Venetian - it used to be my favourite, but no more!"
269,"Mandatory resort fee added on top of room cost, even though we didn't use the facilities. By the time we added this, tax, and paid for breakfast which wasn't included the night cost over £200."
270,Trek from self parking to reception and another to the room.
271,"When we arrived , in our rental care we were sent around the world to park. Really stressful after a very long trip. Staff didn't seem to know where we should go.
Long check in queue. When I went down to the lobby an hour later there was still a long queue."
272,Cost and up-charge to check in 2 hours early when obviously rooms are available. And resort fee that I had no intention of using.
273,a five star hotel should have a coffee maker in the room. it is a loooong walk to get a cup of coffee in the morning.
274,The hotel is a bit aged and stinks like cigarettes!!!! They charge you for a kettle and don't provide complimentary tea and coffee in the room!!! They charge you if you knock something in the mini bar (as its weight sensitive) even if you don't use it!! Brutal!! You are definitely just a number at this huge hotel!! We also found the gambling here very expensive!!! There were no options to bet smaller amounts.
275,I would say the worst part was how difficult it is to figure out how to work around the hotel.  It took us 30 minutes and poor directions just to find the gondola ride. it was super frustrating.
276,We didn't find out until our last morning that we could have gotten discounts in at least the cafe express for being a hotel guest. Where else not sure. 1 casino employee was very rude. I say bring comfortable walking shoes. Our feet hurt the whole time. We walked too much with the wrong shoes
277, our fault 😏 When leaving the guys were very helpful at customer service at Palazzo but the airport shuttle never showed! That is the reason and the rude employee for the low score.
278,Time and effort required to get to and from the room using two elevators and six corridors. No usable fridge in the room. No coffee making facilities.
279,"The hotel is sooooo large, it is hard to find your room, restaurants, shops.More signage would be appreciated."
280,"Smoking everywhere, but it is come with Las Vegas package. Did not have a coffee machine in the room. But on the positive side of it: it made us have coffee by the Venecian canal."
281,Time it took to check inTime it took to obtain a rewards cardLack of a coffee machine in roomThe resort freeElevators were not all operating
282,Casino waitresses could have been more friendly. The dealers were fine but the waitresses were often curt and dismissive.
283,There's no such a thing
284,-towels did smelt like food or some other smell but were clean.-rooms are lacking a hair dryer? couldnt find one.-for this amount of guest there are not enough sunbeds. If you want to go to the pool-get there early. Not shaded sunbeds are in minimum. People save sunbeds with towels and will come back hours later.
285,"The Hike to our room.  Not only was it like going through a maze but being one who has health issues and a difficult time walking long distances we probably walked at least a good quarter of a mile if not more to get to our room.  I had requested a low floor and something close to an elevator or entrance so I wouldn't have to walk to far.  I hav wanted to stay at the Venetian for quite awhile but was disappointed that it was such trouble to get to our room.  Also, we were hoping to do a Gondola ride for our anniversary but the prices were outrageous.  Truly the only good thing about the stay was the staff"
286,"I'm not a Vegas person so...Most irritating was their extre 35$ for the hotel facilities, even though we never used them. The total price with taxes was 200$!The smokes of cigarettes was felt all the way up to the corridor You must go throw all the stupid machine to get to the elivator that will take you to your room"
287,"My stay at the Venetian Hotel was not much of a great one. I was upgrade room I paid $100 each day  Front desk staff said that room great street view but it was swimming pool view and wifi didn't work Also,  The sink in the bathroom did not close all the way. It kept leaking of water as well as the shower knobs. The constant running of water was of insanity. The water kept the floors of the bathroom moist like a swimming pool changing room. This was definitely not one of a satisfying stay.."
288,"Just wish they had firm foam pillows. We called housekeeping and thought they were bringing some to our room, but it was just two more feather pillows. That's the only complaint"
289,Prices in the stock mini bar an fridge!
290,"NO coffee pot in room. While, I understand there are coffee shops and room service, very cheap of them not to provide a convenience for their guests. NO free airport shuttle! What??? Another important amenity that was missing.  Even the Gondola ride had to be paid for!!!"
291,Really Expensive
292,"Hotel room should provide coffee maker or microwave. Fridge is full of hotel items, no space to store our own drink. Not suitable for family that need hot water or to store milk."
293,Our room wasn't cleaned every day.Wifi was terrible.Costs such as spa costs were very expensive.
294,"The service is real bad, it took forever for the staff to bring one thing to the room, even though it was something basic which it should be in the room before the guest check in, such as flippers and toothbrushes. Very disappointed at the services and will never go back."
295,"Its just too big.. Staff is inconsistent.. Some sre great some are shockers.. We were told we had $150 room credt per for each of our two rooms on check in only to find out that it was only for one room, mean while we had already spent our credit for each room .."
296,Could have had a coffee machine in the room
297,The check-in queue was very long when we arrived. It appeared every day is like so. The front desk staff is lack of energy and doesn't seem to be patient.
298,only one thing could have been better. If I had more time to stay
299,"Valet was a bit rude to our son, as he apparently pulled into the wrong lane - he wanted us to drive completely around in ridiculous traffic and get into the correct lane. So from then on we self parked."
300,"I ordered eggs benedict Saturday morning. Shortly after I became ill and vomited. (I haven't drank alcohol in 8 years so it was attributed to anything to do with alcohol). I haven't vomited from food in 20 years, so it was directly related to the breakfast.I was fine after about 30 mins. That meal, I would to like have compensated. But once again,  everything else was 5 STAR !!"
301,The noise in the restaurant during breakfast was far to loud.  I assume it was that to drown out the noise from the slot machines.
302,"Found a couple of business cards in the robe pocket, which suggests that the robes had been used by previous guest. Put them to wash immediatley but got new ones right away. Under the beds could be a little more cleaner..."
303,"the pool was a disappointment. We found it quite small and not so creative and fun.  They have quite a few pools, but they are all the same, only differ in size."
304,"The room is old and not well maintained, many power plugs are loose. No breakfast, drinking water, heater at this price. And it is very far away between parking, front deck and your room.
The canal view is not attractive to us in compare with the music fountain in Bellegio."
305,"long trek from anywhere to our suites, up to three elevators and hallway trips long enough to carry a lunch, the logistics of this place is very confusing. We had eleven people in our group and we all agreed never again. A beautiful place very impressed. The food was not impressive,and thats an understatement."
306,Service at the grand lux was poor also this is second year in a row that we have tried to order French toast to find that there is none available. Items on menu should be available.
307,Check in queue was long but well managed.  Signage for entrance and exit from the car park was non-existent.  I got completely lost trying to get back out on to the strip to drive back to the airport.
308,The hotel is massive so takes ages to get in/out of the hotel or to places in the hotel it's self.There was no coffee/tea making facilities (or complimentary water) in the rooms & as its so far away from cafes...Needed a map of hotel as its difficult to find your way around
309,"Restaurants were slightly pricey but it's the Venetian in Vegas, easy to find slightly less pricey places!"
310,"We paid for a view of the strip which i don't believe we got. The only hotel on the strip we could see was the Mirage over the road, hardly a strip view."
311,Nothing I have stayed in several hotels in Vegas but this hotel by far was the best and the cost was less then the service I received.
312,Smoke near or in casino. Lack of adequate staffing at concierge desk. long wait on phone. The pool closed to early at 10pm. It should of been open until midnight.
313,"IT guy tried to charge me $170 to make HDMI work, fixed it myself for free later.
Extremely large hotel with bad directions to some places in the hotel, easy to get lost."
314,I stayed for three days no body come to clean my roomThe smoking in the entranceAlthough they said its non smoking hotel
315,Service in the restaurants was slow.
316,It smells like tobacco in several places since you can smoke inside. A bit pricey in general but not as pricey as other hotels. TV check out didn't work.
317,"Everything is seriously overpriced as everywhere in Vegas and the smell of smoke hangs in the air. By now, you can get better service and amenities in any mid class Hotel in China..."
318,"Light in our room was on constantly as the switch to turn it off didn't work - very annoying when trying to sleep. The floor got soaked when using the shower as the door seal wasn't on all the way down. 
Didn't ruin our stay though and I would defiantly book it again."
319,"A little pricey, given that breakfast is not included. Also, when you pay on booking, be aware that they also charge you a service fee of around 30 $ per day, plus other tax."
320,"No real welcome on arrival, ignored by bell boys and check-in staff very robotic. Room service well overpriced and sub-standard for the strip. Quite smoky in casino, newer hotels much better air quality."
321,"No coffee facilities in the suite, sounds pathetic but when you pay nearly $300 and then have to go downstairs and pay another $8-10 for your morning coffee it a little annoying!!! Also there is a minibar but no separate fridge for keeping your drinks cool. Not big issues but for the price it's disappointing"
322,"Would have liked a Cleaner bedroom, very dusty, no coffee machine in room, Very busy lobby at all times"
323,Nothing. This place gets a 10/10
324,"The key to the room didn't work probably, remote control was broken and after the cleaning the tub was dirty"
325,"It looks very luxury as appearance, but I don't think it is reaching professionism as a hotel in term of service. We paid USD400 a night, only for the look not feel real from the heart."
326,Would have preferred a room with a view of the strip rather than the back of the hotel.
327,Beds aren't very comfortable. No activities like water volley ball going on in the pool areas. The hotel is smoker friendly which reminded me of being in an old snooker hall before the ban. Everything in the shops and restaurants is quite expensive so we went else where after a couple of nights.
328,"View from our room sucked! It was the top of the outside of the convention center. I think they should have offered us a better room, with a view. I think they put us on the hospitality floor which was much too noisy for my taste."
329,"Very disappointed, reported on night one that there was a strong smell of cannabis coming into our room from the corridor, was told it is totally unacceptable and security would deal with it..the problem just got worse, every hour the smell kept coming in to our room for the next 2 nights! 
Wifi was absolutely terrible, got the top tier package and was no improvement whatsoever. 
This hotel is stunning, but over priced for the experience. What do we pay our resort fees for??
Very little atmosphere for such a highly renowned hotel."
330,"Service and staff, very poor services. Second night in my wife lost her key and they wouldnt allow her in and they refuse to contact me, till i got there a few  hours later, no apolagies, she was mistreated, wont recommend this place to my worst enemy. Avoid this place."
331,nothing ...it's utterly beautiful !!!
332,Hotel had no atmosphere. Was very expensive to stay in and facilities weren't excellent and were overpriced to use (not all facilities included in room price). We were celebrating a special occasion which staff where aware of but no acknowledgement made
333,The hotels water bottle in the rooms are not complementary they cost $5.It would have been nice if they were complementary as you are paying so much money to stay in the hotel.
334,"On check in we upgraded to a suite with a view, BUT the room hadn't been cleaned--bed unmade, trash in the room, used towels thrown all over the bathroom. Not what we expected from this hotel."
335,Very expensive to eat or drink in (like all the hotels in Vegas). But there are 2 Walgreens on either side of the hotel where you can buy much cheaper alcohol and snacks!
336,"The showers are large but are not particularly powerful, it won't blow away those cobwebs or bad hangovers. Some of the room furniture is a little well worn and not all that comfy. Not a negative but the huge scale of the place makes everything (even things in the hotel) quite far away from your room."
337,"When we checked-in there was a room key and sunglasses on the table like somebody had been there. So staff came and collected those items. Everything was cleaned but it did make us a bit bummed. Also, Pringles was charged to our room when we didn't have any but we got that removed from our bill without problem. Wi-fi was slow."
338,No tea or coffee facilities in the suite.  The tv in bathroom didn't work.
339,"The service is soso. When we check in got to the hotel room, both keys not working, the 3 day came back from the show, the room key not working, we called 4 times, the house keeper who was passing by told us she cannot open the door for us, after she was done, saw us still waiting, she called for us, then we see the engineer after more then 20 minutes waiting, he confirm the key is not working as we already knows."
340,The fact I had to walk for a while to reach the lift.. the property is so big that you always have to carry your flats with you.
341,"Smoking in the casino. The gusts in the outdoor park, poolarea. The park was closed one day."
342,Wi Fi has a good coverage throughout the surroundings but it has certification issues. I kept getting warnings about the certification and recommendations not to use the hotel Wi Fi.
343,"Ate in the grand lux cafe- found the service very poor, the waiter forgot to bring one of the starters.. Ordered the steaks medium, they were served rare, sent them back and they were returned rare again. Would not return to this restaurant."
344,"During weekends, there is a beach party by the main pool, this creates a horrible noise, there are other pools but this seems to be the only one that gets the sun!"
345,"Not great value for money. At $500 a night I don't want a view of all the aircon ducts. Felt dated inside too - freyed carpet, toilet door not closing properly - little things you expect to be perfect for that sort of money. Location is the big selling point."
346,Loosing bucks at the casino Grrr .
347,"Amount of miles put on the car while with the valet parking, shame about all the additional payment even though the price had been paid through booking.com"
348,"We were four woman sharing a sub-par hair dryer!  After traveling for 2 weeks prior to various other hotels, we were surprised the hair dryer at The Venetian was so low powered."
349,Nothing
350,"The worst staff I've ever dealt with. I literally waited for about half an hour for someone to pick up the phone to take my request. The hotel is way understaffed. It takes about 7 minutes to go from my room to the reception and then join the long queue there. This is why I waited with my luggage outside my room for 40 minutes as the key was not working after I checked in. These things do not mean that the staff were rude or anything like that. It just the fact that it's a complete mess.
I will never go back to this hotel again."
351,"Maid servicing of the rooms each day was very inconsistent despite tips being left everyday. Some days the place was left really clean, other days it was like no one had serviced the room."
352,Very little not to like with this property. It has everything there. You could spend 4 days there and not see everything
353,"Long line for check in, waited 20 minutes even at 1 am.  Paper coffee cups at Bouchon kiosk leaked. Coffee itself was excellent!  When we mentioned it, they gave us our coffee free and double-cupped it.  The casino floor is loud and smoky smelling (although they do an admirable job of filtering the smoke out, it's not smoky looking).  By the time we'd left we had figured out how to exit the hotel without having to pass through the casino."
354,I would like it if there were hard pillow available in the room!
355,That you have to pay the high resort fee even though you don't use any other facility than your room. We knew it would be like that but it doesn't make it better.
356,"i ordered a cake and some other gifts for my sisters birthday two days before arrival and was going to have them delivered to the room for 1pm on day, however, when we came back to room singing happy birthday the room was empty.  We looked like idiots..  I went down to concierge and they had the cake sent up right away, and the gifts came to the room at 5pm.  So, the surprise was ruined and i still had to leave the room to coordinate the times when i had done it two days in advance already.  Very annoying, floral sent up an extra cheese basket but it still ruined the surprise and took my time away from my party for an hour to go deal with it.  I was trying to avoid that, to make it seem that much more special.  It was annoying at the least.  Also, there is way to much smoking in the venetian, it was disgusting to walk around in plumes of smoke."
357,need a map to get around its just so big got lost a lot (not a bad thing though)
358,Gondalas were quite pricey.
359,The difficulty to speak to someone at the front desk from the room phone.
360,they are pushing u to buy  for good view room .if u didnt do ..they r giving very bad room without nothing to see..they havent intersting w u ..r u ok or all is ok ..etcto much expensive for that kind of service.cleaner people was very kind and helpfull.other staff was not kind and no smile..pool bar staff was not kind.they r working in there very agresive and dont wanna do their job.that hotel has to educate their staff emergency.
361,"We did not appreciate being charged $48 for refreshments in our room we did not use. Said amount was returned, however, once we called them, without any particular fuss."
362,"Its a very busy hotel/casino/convention center with 7000 guest rooms!The booking.com price did not include the compulsory 'resort fee' $35 nor the city tax $50 odd so theres an extra $85 a night extra you dont expect.  Like so much in Vegas, it's a money making machine.   Restaurants, Cafes etc are all wildly overpriced (+ don't forget the 20-25% tips!). Finding your way around the hotel is difficult as they make sure you have to walk through the Casino to get to your room!Although it looks like a 5* hotel a lot of detail is missing in order to cut costs.  Towels are tired, table tops scratched, soaps are cheap etc etc (I suspect they use a lot of produce from their Macao/Chinese location)."
363,"Hate the additional $32 per night resort fees which include items such as wifi, gym use and boarding pass pringreat ting,  all of which should be included in the room rate. Rip off."
364,Extra blankets and towels didn't come with the room by default and were a little hard to obtain. The in-room phones didn't work.
365,No coffee facility in room and a 500 yard walk to pick up the free coffee every morning
366,The check-in starts at 3pm but that doesn't mean that the room will be ready by then. Cleaning staff has up to 5pm to prepare rooms which means that you could have to wait. Very frustrating for a hotel of that category / price.
367,"Nothing really. Maybe the fact we easily got lost a few times in the hotel but it is like that in all the Vegas hotels. There was nothing we didn't like about the hotel itself. Had the best time here, just wish we could have stayed longer to enjoy the pools more."
368,Nothing! This hotel was perfect!
369,Nothing!
370,The resort fees were more expensive than was stated by Booking.com when I made the booking.Outside Gondola ride is poor value for money
371,"Room had no soap and when we asked for some the maid all but accused us of stealing it.  Also, I never received the promised checkout confirmation."
372,No one to help with luggage at the main doors.Did not appreciate the persistence of the cosmetic sellers.
373,You had to walk through the gaming/casino area to get to the rooms. There was no dedicated hotel breakfast area. The lobby felt like a train station.
374,"The room keys did not work on two occasions, so we had to go the long way back to the reception to Fix it.The pool area was very crowded, and there were no sun umbrellas available. Also, the pool beds were crammed together so that you were sitting 5cm from a total stranger.They had pressure sensors in the mini bar which meant we could not use the mini bar to store any of our drinks.It's a long walk from your room to the reception, parking, the strip etc. Not very convinient."
375,Paid quite a bit for wi fi which wasn't very good and didn't work from the bed so couldn't watch netflix in bed.
376,"Lack of sun loungers due to other guest leaving towels on loungers once they had left, or guests hogging the loungers for hours leaving a top for example on them. This resulted in many people not gettin a sun lounger or groups having to split up. This isn't the fault of the hotel, but they could look to manage this selfish behavior."
377,"This is far from a 5 star hotel, much more in the 4 star bracket compared to European standards. no evening TD service, no luggage porters, no rooming. the hotel of course is also massive, so expect to walk for an hour to get to your room!"
378,"Service to the rooms was relatively slow/non existent in some cases? Stood in line at midnight for 45 minute to check in after a long day of travel. In another instance we asked from an extra blanket, told we could expect it in 20-30mins and never received anything. Maybe not enough staff to handle the Labor Day weekend?"
379,That there was no fridge space for personal use or tea making facilities.
380,"I will not be staying at this hotel again due to their customer service. I had issues with  booking this hotel and them not wanting to help me once my reservations were cancelled....if it was not for booking.com that helped me i would have stayed somewhere else but trust and believe i will not be giving my money to the venetian EVER AGAIN. Also one of the customer service reps at the front desk name Jessica was really rude and just nasty, and not to me but other customers as well. They also charged me an extra $7-8 when i was only suppose to pay what was stated when i booked this through booking.com"
381,No tea and coffee making facilities in the room. No fridge for us to put our own drinks in - only a mini bar which charged as soon as an item was removed.   No water left in the room for teeth brushing etc.Gondola rides were pretty pricey for a family of 4.
382,The cleanliness.
383,"The main pool was overwhelmed by party people, but there was a smaller pool area which was calmer except for all the families.  The resort fee is now up to $35.84 a day.  You do get free Wifi and access to Canyon Ranch Spa.  May want to opt out if neither a high priority."
384,"Room dark and needs more lighting. Also when you book a suite, a small refrigerator should be included at no charge.Thought the spa prices were ridiculous"
385,"The Venetian and The Palazzo are from the same company, we booked with The Venetian but they sent us to The Palazzo for some reason."
386,"The place is too big. There are actually 3 different hotels inside (Venetian, Venezia an Palazzo) which makes the walking really long and everytime you need to reach a restaurant or something, it takes 15min or more.The pool service stopped at 6pm in some pools... Also in other places the pool area is greener and ""cooler"""
387,There was nothing I didn't like at all.
388,"Beer at casino was a little pricey  at $8 a bottle, but everything else was wonderful."
389,No coffee/ tea making facilities in room. Whilst bathrooms and bed linens were well cleaned no one cleaned down table tops in the bedroom and they were very dusty after our 5 night stay. Bottled water in room way too expensive.
390,"House keeping lady woke us up at 8:00 am in the morning. She opened the door with her own key. Don't forget to put the ""do not disturb"" tag outside if you don't want any house keeping service before 10:00 am."
391,No breakfast buffet in morning.
