,pos_review
298,"눇
The pools, accessibility to everything & the room was fabulous!"
299,"눇
The room in Augustus tower was very spacious,with very good beds and execellent toillet."
300,"눇
Everything is big and awesome. the room was super big and the bathroom as well. the pool is for free and it was an awesome experience."
301,Stayed in May 2017
302,"눇
Beautiful Hotel with award winning chef restaurants and shows through out the week."
303,"눇
We had a renovated room so it was very clean and looked brand new. The room was huge and so was the bathroom, which made our stay very comfortable! Also loved the proximity with shops and restaurants, and both the Treasure Island volcano and the Bellagio fountains were within a walking distance!"
304,"눇
Excellent facilities, very clean and modern, looks like the rooms have recently been refurbished."
305,"눇
Loved staying in the Nobu Hotel within Caeser's.  It has a special concierge area with individual, personal attention. Very helpful and friendly staff."
306,"눇
Nothing at all"
307,"눇
Nice hotel and room but overpriced  additionalso for example: coffee in the room (everywhere is included, here 14$ etc)"
308,"눇
The bathroom was amazing, everything else in the room and the stay was okay, not worth the amount of money we payed"
309,"눇
Really friendly and helpful staff.  Lovely hotel."
310,"눇
Room was good. Petite suite"
311,"눇
All was fine, except for noise level,but that applies to all of Las Vegas. Will see big time entertainers elsewhere"
312,"눇
The Staff was very helpful."
313,Stayed in April 2017
314,"눇
The Location bcz it was in middle of everythingn else"
315,"눇
Location on the strip is perfect. Helpful staff. Most comfortable bed. Spotlessly clean. The express check out was convenient using the TV as the queues at reception can be crazy. A constant flow of taxis outside so never left waiting long to get anywhere."
316,Stayed in April 2017
317,"눇
Very clean and really has the character you look for in Vegas a perfect hotel to stay in when you are looking for a Vegas trip"
318,"눇
Very comfy room, nice decor, bacchanna buffet was top notch"
319,Stayed in April 2017
320,"눇
The room was very large and really good with pool view"
321,"눇
Loved that we just went downstairs to have dinner and a show."
322,"눇
Clean, comfortable,  pleasant staff, spacious room and bath"
323,"눇
Lovely staff! The bathrooms and beds were really comfy too!"
324,"눇
The room was recently refurbished and immaculate and large. Staff were very friendly and helpful throughout."
325,"눇
The room was decent for the money. We didn't spend much time there. And I liked the location of Caesars compared to the other hotels."
326,"눇
4pm was the normal check in time and we tried to check in early but they would charge us $30 to check in early.  So we upgraded our room for $30 which we could check into immediately.  The rooms in the Augustus tower are as nice as the nicest on the strip.  The Beds may be the nicest on the strip.  You can beat location and proximity to everything.  Would absolutely stay here again.  
The pool area is one of the best in Vegas."
327,"눇
We loved the location, the facilities."
328,"눇
Newly renovated room was nicely designed. Good restaurants."
329,"눇
Bed great and room new.  Some construction going on was noisy beginning at 8am was an issue.  We were not told it would be an issue until actually getting to the room."
330,Stayed in April 2017
331,"눇
Great location in central Las Vegas"
332,Stayed in April 2017
333,"눇
Bed and pillows were great"
334,"눇
The Forum shop area. The location"
335,"눇
Caesars Palace is a phenomenal hotel, the interior is very impressive and what makes it even more great are the staff, from check in experience which Maria kindly assisted us and to our house keeping lady who does an amazing job. The pools are absolutely fabulous and the location is perfect!!"
336,"눇
excellent location and plenty to do inside and out"
337,"눇
location , food , room , pool , everything about the hotel is great but not the staff"
338,Stayed in March 2017
339,"눇
Amazing big room and bathroom, very clean."
340,"눇
Room, location, facilities"
341,"눇
Octavius strip view room was great and the staff were very helpful in getting us a great view on 43rd floor"
342,"눇
The bed was very comfortable.  The ventilation in smoking rooms were great.  We never smelled smoke when returning to the room."
343,"눇
Location on the strip, cleanliness, and shops within the hotel made Caesars worth staying at."
344,"눇
Shower was awesome. Bed was super comfy."
345,"눇
Very clean and staff were all wonderful."
346,Stayed in March 2017
347,"눇
Location and it's facilities."
348,"눇
Excellent Location
Free Self Parking
Fantastic Pool
In room Jacuzzi"
349,"눇
Bed was very comfy"
350,"눇
Casino updates were good (Sport Book),  Spa facilities were nice as well (for a casino). Always love the theme and ambiance at Caesars"
351,"눇
Location."
352,"눇
We appreciate the room size and location of the hotel. Front desk manager under the name of Edwin I believe was very courteous."
353,"눇
Great legacy hotel of vegas, 4000 rooms and 27 restaurants make this an experience you could afford - but:"
354,Stayed in February 2017
355,Stayed in February 2017
356,"눇
Location great, convenient to concert at the Colosseum and many other activities."
357,"눇
The location"
358,"눇
The price.  It is very reasonably priced.  In the middle of the strip so easy to get around."
359,"눇
Quality and Selections at food court. Convenience to Coliseum, wonderful show by Celine Dion. Selection and quality of Bacchanal Buffet."
360,"눇
The hotel was amazing. The check in staff and concierge were so helpful, even pumping our checkout up from 11am to 2pm. The facilities were great. The room was awesome and the bed was like a cloud. The parking is free. The location is great. We went in winter so the main pool was closed, but we will be back in summer because it looked too good not to!"
361,Stayed in February 2017
362,"눇
Friendly staff. Great location. Close to everything."
363,"눇
Very luxurious hotel. 
Spacious rooms , royal treat"
364,"눇
Room and staff were amazing, really happy"
365,Stayed in February 2017
366,"눇
Loved the location and staff were friendly and helpful."
367,"눇
What you expect in Vegas. Glitz and glitter. Good central location. Plenty of choices for meals."
368,"눇
Room was nice, the $10 upgrade was wonderful and spacious."
369,Stayed in February 2017
370,"눇
We had booked to see Celine Dion so this hotel was the most convenient. It was nice to walk around without a coat! We were in the Palace Tower. Liked the on-line booking in and checking out, very efficient. The Forum shops were good and the restaurants and coffee shops catered for all tastes. The doorman was most welcoming and helpful when we arrived."
371,"눇
Extremely expensive. Avoid this hotel!!!"
372,"눇
Staying at the Caesar's Palace with the form shops adjacent there to was an excellent choice. Everything at your fingertips."
373,"눇
Right on the strip. Beautiful hotel. Clean. Efficient staff. Lots of restaurants, stores and bars inside the hotel. Beautiful pool. Valet parking included."
374,"눇
Location"
