,Name,Nationality,Date,Score,Topic,Tags,History reviews,
717,Zagrik,United States of America,"Reviewed: April 9, 2018",7.1,Check in process queue is too long.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night",5 Reviews,
718,Alex,United States of America,"Reviewed: April 8, 2018",2.5,bad,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night",4 Reviews,
719,Ra,United States of America,"Reviewed: April 8, 2018",8.3,The room was big with a great view of the pool.,"??Leisure trip??Family with young children??Octavius Premium Room, 2 Queens, Non-Smoking??Stayed 5 nights??Submitted from a mobile device",1 review,
720,Anonymous,United States of America,"Reviewed: April 7, 2018",10,It was great.,"??Leisure trip??Family with young children??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,
721,Rob,United Kingdom,"Reviewed: April 7, 2018",7.5,Beds Good,"??Leisure trip??Couple??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 4 nights",20 Reviews,
722,Timothy,United States of America,"Reviewed: April 7, 2018",9.2,They charged me 2 times for parking and cost me 600 and...,"??Leisure trip??Couple??Augustus Premium Room, 1 King, Smoking??Stayed 2 nights",2 Reviews,
723,Mark,United States of America,"Reviewed: April 7, 2018",6.3,expected a lot more,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night",1 review,
724,Tiffany,United States of America,"Reviewed: April 6, 2018",8.3,fair place to stay,"??Leisure trip??Family with young children??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,
725,Brad,United States of America,"Reviewed: April 5, 2018",7.9,i lost a lot of money,"??Leisure trip??Group??Octavius Premium Room, 2 Queens, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,
726,Anonymous,United Kingdom,"Reviewed: April 5, 2018",9.6,Spacious and clean rooms with great pool views!,"??Leisure trip??Group??Octavius Premium Room, 2 Queens, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",3 Reviews,
727,Carletta,United States of America,"Reviewed: April 5, 2018",10,Bed extra comfy.,"??Leisure trip??Group??Augustus Premium Room, 2 Queens, Smoking??Stayed 4 nights??Submitted from a mobile device",3 Reviews,
728,Edward,United Kingdom,"Reviewed: April 3, 2018",6.3,Underwhelming,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,
729,Carlos,United States of America,"Reviewed: April 3, 2018",6.7,"Pool hour , and how there wasn?? enough pool towels to give...","??Couple??Palace Premium Room, 2 Queen Beds, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,
730,Anonymous,Canada,"Reviewed: April 3, 2018",6.7,Food and service were great.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",2 Reviews,
731,Francisco,Mexico,"Reviewed: April 2, 2018",9.6,Fabulosa estancia excelente atencion,"??Leisure trip??Couple??Octavius Premium Room, 2 Queens, Non-Smoking??Stayed 3 nights",7 Reviews,
732,John,United States of America,"Reviewed: April 2, 2018",9.6,Pleasant.,"??Leisure trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",1 review,
733,Tracey Matthews Blucke,Canada,"Reviewed: April 2, 2018",7.5,smell of sewer in palace tower covered by scented air...,"??Leisure trip??Couple??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",14 Reviews,
734,Filip,Australia,"Reviewed: April 2, 2018",9.2,Very friendly staff and warm and cosy stay,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",2 Reviews,
735,Limor,Israel,"Reviewed: April 2, 2018",10,The best vacation ever,"??Leisure trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",4 Reviews,
736,Laurence,United Kingdom,"Reviewed: April 1, 2018",9.6,"Amazing complimentary upgrade (to a suite, no less!","??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",5 Reviews,
737,Armando,United States of America,"Reviewed: April 1, 2018",10,The room,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,
738,Bruce,United States of America,"Reviewed: March 31, 2018",9.6,"Clean,comfortable ","??Leisure trip??Solo traveler??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,
739,You,Taiwan,"Reviewed: March 30, 2018",3.8,"Besides room charges, you have to pay lots of fee, such as room fee, resort fee, internet fee, parki","??Leisure trip??Family with young children??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",4 Reviews,
740,John,United States of America,"Reviewed: March 29, 2018",8.8,It was a good time,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",3 Reviews,
741,Selvan,South Africa,"Reviewed: March 29, 2018",8.3,Awesome stay,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",27 Reviews,
742,Anonymous,Cyprus,"Reviewed: March 27, 2018",9.6,Impressive hotel with spacious rooms and great facilities,"??Leisure trip??Solo traveler??Palace Premium Room, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",7 Reviews,
743,Sheneal,United States of America,"Reviewed: March 26, 2018",10,Everything,"??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,
744,Chironda,United States of America,"Reviewed: March 26, 2018",7.5,Parking for people that stay here should be included in resort fees,"??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,
745,Anthony,United States of America,"Reviewed: March 26, 2018",10,Yep,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",2 Reviews,
746,Anonymous,United States of America,"Reviewed: March 22, 2018",10,Loved it!,"??Leisure trip??Family with young children??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",1 review,
747,Rodrigo,Chile,"Reviewed: March 21, 2018",8.8,Very good overall ,"??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",2 Reviews,
748,Nattakarn,Thailand,"Reviewed: March 20, 2018",9.2,The hotel is impressive.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",13 Reviews,
749,Ioanna,Cyprus,"Reviewed: March 18, 2018",8.8,"great location, clean, great room.","??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",4 Reviews,
750,Chuka London,United Kingdom,"Reviewed: March 18, 2018",9.6,An excellent Hotel. So much to see and do.,"??Leisure trip??Solo traveler??Palace Premium Studio Suite, 2 Queens, Non-Smoking??Stayed 3 nights",35 Reviews,
751,David,United States of America,"Reviewed: March 13, 2018",2.5,Crap,"??Business trip??Couple??Forum Petite Suite, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,
752,Lindsey,United States of America,"Reviewed: March 13, 2018",7.1,Averag e,"??Business trip??Solo traveler??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,
753,Kristiana,United States of America,"Reviewed: March 12, 2018",4.6,dirty socks were found in the bed and it took a solid hour...,"??Business trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",2 Reviews,
754,David,New Zealand,"Reviewed: March 12, 2018",10,The only place to stay in Vegas!,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 6 nights??Submitted from a mobile device",50 Reviews,
755,Colleen,United States of America,"Reviewed: March 9, 2018",9.6,Great!,"??Business trip??Couple??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 2 nights",3 Reviews,
756,Bruce,United States of America,"Reviewed: March 9, 2018",10,Location.,"??Business trip??Solo traveler??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",1 review,
757,Anonymous,Canada,"Reviewed: March 6, 2018",9.6,Awesome hotel. Would defintely come back when its warmer.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",3 Reviews,
758,Guadalupe,United States of America,"Reviewed: March 6, 2018",9.2,Atmosphere ,"??Leisure trip??Couple??Palace Premium Studio Suite, 1 King, Non-Smoking??Stayed 1 night??Submitted from a mobile device",2 Reviews,
759,Natalia,United Kingdom,"Reviewed: March 5, 2018",10,Everything,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",5 Reviews,
760,Ashley,United Kingdom,"Reviewed: March 5, 2018",10,Fabulous!!,"??Leisure trip??Group??Palace Premium Studio Suite, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",6 Reviews,
761,Amr,Egypt,"Reviewed: March 5, 2018",5,Location,"??Travelers with friends??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 1 night??Submitted from a mobile device",22 Reviews,
762,Diana,United States of America,"Reviewed: March 5, 2018",10,Kept very busy!,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,
763,Armand,United States of America,"Reviewed: March 5, 2018",5,It sucked,"??Business trip??Solo traveler??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,
764,Christine,United States of America,"Reviewed: March 5, 2018",5,It never meet my expectations being a first time visitor,"??Leisure trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",3 Reviews,
765,Michael,Hong Kong,"Reviewed: March 4, 2018",5.8,Overpriced dated hotel,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",9 Reviews,
766,Eddie,United States of America,"Reviewed: March 4, 2018",10,Enter facility,"??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",1 review,
767,Phillip,Spain,"Reviewed: March 3, 2018",10,Extra money to check in before 4 pm.,"??Leisure trip??Couple??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 1 night??Submitted from a mobile device",11 Reviews,
768,Alice,United States of America,"Reviewed: March 2, 2018",8.3,The room was very well kept,"??Business trip??Solo traveler??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night",1 review,
769,Robert,Canada,"Reviewed: March 1, 2018",9.2,Had a great time doing things I wanted too on my birthday,"??Solo traveler??Augustus Premium Room, 2 Queens, Smoking??Stayed 4 nights",1 review,
770,Isabel,United States of America,"Reviewed: February 28, 2018",10,Fun and the food was great!,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",3 Reviews,
771,Lynn,United States of America,"Reviewed: February 27, 2018",9.6,Bed was very comfortable.,"??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",2 Reviews,
772,Dan,United States of America,"Reviewed: February 27, 2018",10,Awsome,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",2 Reviews,
773,Anonymous,United States of America,"Reviewed: February 26, 2018",7.5,turned out to be better than expected nice motel,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night",1 review,
774,Amanda,United States of America,"Reviewed: February 23, 2018",10,I stayed in the Augustus tower.,"??Leisure trip??Solo traveler??Augustus Premium Room, 2 Queens, Smoking??Stayed 1 night??Submitted from a mobile device",13 Reviews,
775,Ali,United Arab Emirates,"Reviewed: February 21, 2018",5.4,Just fine,"??Leisure trip??Family with young children??Palace Premium Room, 2 Queen Beds, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,
776,Rene,United States of America,"Reviewed: February 20, 2018",10,"Exciting, 5 star plus!!!!","??Leisure trip??Couple??Augustus Strip View, 1 King, Non-Smoking??Stayed 1 night",1 review,
777,Jie,China,"Reviewed: February 20, 2018",6.3,Check in at 6pm,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",4 Reviews,
778,Yannick,Switzerland,"Reviewed: February 20, 2018",5.4,Huge hidden fees,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",8 Reviews,
779,Parvaneh,United States of America,"Reviewed: February 14, 2018",10,Great hotel!!,"??Leisure trip??Family with young children??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,
780,Celeste,United States of America,"Reviewed: February 13, 2018",7.1,I am planning to come for Celine Dion.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,
781,Byrd,Mexico,"Reviewed: February 12, 2018",6.3,Reality much lower than expectation,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",2 Reviews,
782,Janeyh44,United Kingdom,"Reviewed: February 12, 2018",6.7,An expensive travel lodge,"??Leisure trip??Group??Forum Classic, 2 Queen Beds, Non-Smoking??Stayed 1 night??Submitted from a mobile device",9 Reviews,
783,Digimon,United States of America,"Reviewed: February 11, 2018",9.6,"Location , lots of food options and shopping","??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,
784,Mohamed,United Arab Emirates,"Reviewed: February 8, 2018",9.6,"The spacious room & great gym, let alone helpful &...","??Business trip??Solo traveler??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",14 Reviews,
785,Corrine,United States of America,"Reviewed: February 7, 2018",5,The coffee maker was broken and still charged.,"??Leisure trip??Family with young children??Octavius Premium Room, 2 Queens, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,
786,Clifton,United States of America,"Reviewed: February 4, 2018",9.6,Great all around.,"??Leisure trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",2 Reviews,
787,Marc,Australia,"Reviewed: February 4, 2018",9.6,What a night!,"??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 1 night??Submitted from a mobile device",19 Reviews,
788,James,United States of America,"Reviewed: February 3, 2018",3.3,Not good,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",2 Reviews,
789,Anonymous,Pakistan,"Reviewed: February 3, 2018",5.4,Not good value for money.,"??Business trip??Family with young children??Augustus Strip View, 1 King, Non-Smoking??Stayed 4 nights",17 Reviews,
790,Anonymous,France,"Reviewed: February 1, 2018",5.4,No breakfeast included (only promotion),"??Leisure trip??Travelers with friends??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",2 Reviews,
791,Diane,Australia,"Reviewed: January 30, 2018",10,Loved it. Will visit again one day,"??Leisure trip??Couple??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 2 nights",7 Reviews,
792,Colm,Ireland,"Reviewed: January 29, 2018",6.3,Breakfast tottaly over priced and over rated,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",6 Reviews,
793,Gonzalo,Argentina,"Reviewed: January 29, 2018",4.6,The check inn process.,"??Leisure trip??Solo traveler??Palace Premium Room, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",11 Reviews,
794,Ez,Argentina,"Reviewed: January 29, 2018",10,2nd house,"??Leisure trip??Family with young children??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,
795,Theresa,United States of America,"Reviewed: January 29, 2018",6.3,"I would never recommend the Forum Tower, I didn?? experience the real Caesar palace stay","??Leisure trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,
796,Bruce,South Africa,"Reviewed: January 27, 2018",10,Everything was just awesome thank you very much,"??Business trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 5 nights??Submitted from a mobile device",1 review,
797,Mark,United States of America,"Reviewed: January 26, 2018",10,Caesar's stay,"??Business trip??Solo traveler??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 1 night??Submitted from a mobile device",5 Reviews,
798,Alejandro,Canada,"Reviewed: January 24, 2018",7.5,Smell of smoke permeated the entire first floor and some of...,"??Business trip??Couple??Palace Premium Room, 1 King Bed, Non-Smoking??Stayed 3 nights",1 review,
799,Stuart,Canada,"Reviewed: January 23, 2018",10,Classy and Clean!,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,
800,Michael,United States of America,"Reviewed: January 21, 2018",9.6,"Great time, but disappointed about Celine. Main purpose of trip.","??Leisure trip??Group??Octavius Premium Room, 1 King, Non-Smoking??Stayed 3 nights",1 review,
801,James,Canada,"Reviewed: January 21, 2018",10,The Qua Spa is a hidden gem in Vegas.,"??Leisure trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",16 Reviews,
802,Dung,Vietnam,"Reviewed: January 20, 2018",9.6,Perfect,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",3 Reviews,
803,Larry,United States of America,"Reviewed: January 19, 2018",10,Had a great time.,"??Leisure trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",2 Reviews,
804,Angela,United States of America,"Reviewed: January 19, 2018",10,X,"??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",2 Reviews,
805,Vanessa,United States of America,"Reviewed: January 18, 2018",7.5,Nice stay had no room VIEW of the strip.,??Family with young children??2 rooms??Stayed 3 nights??Submitted from a mobile device,2 Reviews,
806,Stefanie,Chile,"Reviewed: January 18, 2018",10,Awesome,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",6 Reviews,
807,Anonymous,United States of America,"Reviewed: January 17, 2018",10,Great trip,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,
808,Anonymous,Australia,"Reviewed: January 11, 2018",8.8,"Great location, nice sized rooms and amazing Buffett.","??Leisure trip??Couple??Augustus Premium Room, King, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",8 Reviews,
809,Omar,United States of America,"Reviewed: January 9, 2018",10,It was perfect... the staff,??Leisure trip??Family with young children??2 rooms??Stayed 2 nights??Submitted from a mobile device,1 review,
810,Robert,United States of America,"Reviewed: January 8, 2018",9.6,great time  goodl ocation,"??Leisure trip??Solo traveler??Octavius Premium Room, 2 Queens, Non-Smoking??Stayed 2 nights",1 review,
811,Anonymous,Canada,"Reviewed: January 8, 2018",7.5,Location,"??Leisure trip??Family with young children??Octavius Premium Room, 2 Queens, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",2 Reviews,
812,Felicia,United States of America,"Reviewed: January 7, 2018",10,Large remodeled room excellent view of pool and clean and huge bathroom with jacuzzi tub,"??Leisure trip??Couple??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,
813,Kiran,Australia,"Reviewed: January 4, 2018",9.6,"Although the booking says breakfast included-it is not, you...",??Leisure trip??Family with young children??2 rooms??Stayed 5 nights,1 review,
814,Ariana Flores ,Singapore,"Reviewed: January 3, 2018",10,location was excellent,"??Leisure trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",8 Reviews,
815,Jean,Burkina Faso,"Reviewed: January 3, 2018",5,"We booked our stay 1 month prior date, when we check in, the...","??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",10 Reviews,
816,Nick Nifo,Australia,"Reviewed: January 2, 2018",10,Probably one of the best hotels I've ever stayed at.,"??Leisure trip??Solo traveler??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night",4 Reviews,
817,Carol,Australia,"Reviewed: December 26, 2017",9.6,the staff was excellent,"??Leisure trip??Group??Augustus Strip View, 2 Queens, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",2 Reviews,
818,Anonymous,Australia,"Reviewed: December 26, 2017",4.6,We have to pay for parking to stay at the hotel.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",22 Reviews,
819,Garland,United States of America,"Reviewed: December 26, 2017",10,"Very nice, can't wait to see you again","??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",2 Reviews,
820,Jiyu,United States of America,"Reviewed: December 23, 2017",7.5,Restaurant,"??Family with young children??Palace Premium Room, 2 Queen Beds, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",3 Reviews,
821,Perlita,United States of America,"Reviewed: December 19, 2017",3.8,the hotel was not worth of the stay. I had a better  hotel accomodation for less cost.,"??Leisure trip??Family with young children??Octavius Premium Room, 2 Queens, Non-Smoking??Stayed 2 nights",2 Reviews,
822,Lloyd,United States of America,"Reviewed: December 16, 2017",9.6,Great,"??Leisure trip??Couple??Palace Premium Studio Suite, 1 King, Non-Smoking??Stayed 1 night??Submitted from a mobile device",2 Reviews,
823,Anonymous,United Kingdom,"Reviewed: December 15, 2017",8.3,Excessive charging.,"??Leisure trip??Couple??Palace Premium Studio Suite, 2 Queens, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",2 Reviews,
824,Ronald,Ireland,"Reviewed: December 14, 2017",10,"Very nice and clean,  rooms are nice and quiet.","??Leisure trip??Couple??Palace Premium Studio Suite, 1 King, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",2 Reviews,
825,Maria,United States of America,"Reviewed: December 14, 2017",10,Excellent,"??Leisure trip??Family with young children??Octavius Premium Room, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,
826,Andy S Mayne,United Kingdom,"Reviewed: December 6, 2017",10,Great Hotel,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",22 Reviews,
827,Stephen,Australia,"Reviewed: December 6, 2017",9.6,Great central location,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",21 Reviews,
828,Anonymous,Ireland,"Reviewed: December 6, 2017",10,Everything,"??Leisure trip??Family with young children??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,
829,Eliza,United States of America,"Reviewed: December 5, 2017",10,This hotel is very high demand hotel,"??Family with young children??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",2 Reviews,
830,Leslie,United States of America,"Reviewed: December 3, 2017",10,A wonderful hotel that had all that we expected!,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",6 Reviews,
831,Tim,Canada,"Reviewed: December 2, 2017",6.3,Overpriced underwhelmed,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",6 Reviews,
832,Jessica,Australia,"Reviewed: December 2, 2017",10,Amazing hotel!,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",8 Reviews,
833,Karen,United States of America,"Reviewed: December 1, 2017",10,Fun quick and broke.  Lol,"??Leisure trip??Couple??Forum Classic, 2 Queen Beds, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,
834,Susan Schaefer,United States of America,"Reviewed: November 29, 2017",7.1,Comfortable and big rooms,"??Leisure trip??Group??Augustus Premium Room, 2 Queens, Non-Smoking??Stayed 4 nights",23 Reviews,
835,Melanie,Canada,"Reviewed: November 29, 2017",10,Ceasars  Palace is very central to all others places to visit in Vegas.,"??Leisure trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 5 nights??Submitted from a mobile device",2 Reviews,
836,Rick,United States of America,"Reviewed: November 28, 2017",2.5,Leaving!,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,
837,Anonymous,United States of America,"Reviewed: November 28, 2017",4.6,Money greedy - fee for everything,"??Leisure trip??Couple??Palace Premium Studio Suite, 1 King, Non-Smoking??Stayed 1 night??Submitted from a mobile device",6 Reviews,
838,David,United Kingdom,"Reviewed: November 27, 2017",7.1,"Love it, I will be back.","??Leisure trip??Family with young children??Augustus Strip View, 2 Queens, Non-Smoking??Stayed 4 nights",41 Reviews,
839,Anonymous,France,"Reviewed: November 26, 2017",8.3,A very god bed,"??Leisure trip??Solo traveler??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",3 Reviews,
840,Tracy,United States of America,"Reviewed: November 26, 2017",2.5,Missed my trip,"??Leisure trip??Couple??Palace Premium Studio Suite, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",2 Reviews,
841,Marilucy,Canada,"Reviewed: November 22, 2017",7.5,Games,"??Leisure trip??Family with young children??Octavius Premium Room, 2 Queens, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,
842,Joanne,United Kingdom,"Reviewed: November 22, 2017",9.2,Great place to stay in Vegas,"??Leisure trip??Couple??Augustus Premium Room, King, Non-Smoking??Stayed 5 nights??Submitted from a mobile device",7 Reviews,
843,Irene,United States of America,"Reviewed: November 20, 2017",10,"Had a great time, saw Cirque beatles live, joe walsh at HOB and Hershey World","??Leisure trip??Couple??Palace Premium Studio Suite, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,
844,Michael,United States of America,"Reviewed: November 19, 2017",10,"amazing accommodations and views, exceptional staff, amazing food.","??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights",3 Reviews,
845,Nichole,United States of America,"Reviewed: November 17, 2017",10,Amazingly beautiful,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",2 Reviews,
846,dagfinn777,Norway,"Reviewed: November 15, 2017",8.3,Value for money.... You expect... the place provides. Period,"??Leisure trip??Couple??Augustus Premium Room, 1 King, Smoking??Stayed 2 nights",17 Reviews,
847,Miriam,United States of America,"Reviewed: November 14, 2017",7.1,Room is dirty.,"??Leisure trip??Solo traveler??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",2 Reviews,
848,Lynn,United Kingdom,"Reviewed: November 12, 2017",9.2,My son was married in Caesars and was very nice,??Family with young children??2 rooms??Stayed 3 nights??Submitted from a mobile device,1 review,
849,Elliot,Australia,"Reviewed: November 12, 2017",9.2,"Beds really good
","??Leisure trip??Family with young children??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",5 Reviews,
850,John,United Kingdom,"Reviewed: November 9, 2017",9.6,Caesar's Palace - great choice!,"??Leisure trip??Solo traveler??Palace Premium Studio Suite, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",6 Reviews,
851,Austin,United States of America,"Reviewed: November 7, 2017",10,"My room was upgraded to a suite as I??was staying 1 night,...","??Leisure trip??Solo traveler??Octavius Premium Room, 1 King, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,
