,Name,Nationality,Date,Score,Topic,Tags,History reviews,latitude,longitude
465,Allene,United States of America,"Reviewed: September 30, 2016",7.1,Stayed here to see Celine,"??Leisure trip??Family with young children??Palace Premium Room, 2 Queen Beds, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,37.09024,-95.712891
466,George,United States of America,"Reviewed: September 29, 2016",10.0,We had a wonderful relaxing time.,"??Leisure trip??Family with young children??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",3 Reviews,37.09024,-95.712891
467,Anonymous,Australia,"Reviewed: September 29, 2016",9.2,"Location, facilities, staff were friendly and willing to help","??Leisure trip??Couple??Palace Premium Studio Suite, 1 King, Non-Smoking??Stayed 2 nights",2 Reviews,-25.274398,133.775136
468,Biglob,United Kingdom,"Reviewed: September 28, 2016",9.2,Overall a good stay - would return,"??Leisure trip??Family with young children??Octavius Premium Room, 2 Queens, Non-Smoking??Stayed 2 nights",4 Reviews,55.378051,-3.435973
469,James,United Kingdom,"Reviewed: September 28, 2016",8.3,AS THIS WAS A SUPRISE FOR MY 40TH BIRTHDAY HAD A GREAT TIME,"??Leisure trip??Couple??Augustus Premium Room, King, Non-Smoking??Stayed 1 night",4 Reviews,55.378051,-3.435973
470,Robert,United Kingdom,"Reviewed: September 28, 2016",9.2,enjoyed our stay,"??Family with older children??Forum Classic, 2 Queen Beds, Non-Smoking??Stayed 5 nights",6 Reviews,55.378051,-3.435973
471,Roberto,United States of America,"Reviewed: September 28, 2016",5.0,Room too far away from lobby.,"??Leisure trip??Family with young children??Octavius Premium Room, 2 Queens, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,37.09024,-95.712891
472,Javier,United States of America,"Reviewed: September 27, 2016",10.0,"I would not only gladly stay there again, but I would also reccomend this to my friends and family","??Leisure trip??Couple??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 5 nights",1 review,37.09024,-95.712891
473,Alexander,United States of America,"Reviewed: September 27, 2016",10.0,Royal accommodations.,"??Leisure trip??Couple??Palace Premium Studio Suite, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",5 Reviews,37.09024,-95.712891
474,Annette,United Kingdom,"Reviewed: September 26, 2016",6.7,Not worth a second visit,"??Leisure trip??Group??Palace Premium Studio Suite, 1 King, Non-Smoking??Stayed 14 nights??Submitted from a mobile device",6 Reviews,55.378051,-3.435973
475,Pamela,United States of America,"Reviewed: September 25, 2016",10.0,Caesar's was a treat.,"??Leisure trip??Couple??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,37.09024,-95.712891
476,Ravinder,United Kingdom,"Reviewed: September 25, 2016",10.0,Amazing luxury hotel with amazing location,"??Leisure trip??Group??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",2 Reviews,55.378051,-3.435973
477,Shruti,United Kingdom,"Reviewed: September 25, 2016",10.0,"Brilliant hotel, in a great location. Would definitely recommend :-)","??Leisure trip??Group??Octavius Premium Room, 2 Queens, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,55.378051,-3.435973
478,May,Egypt,"Reviewed: September 24, 2016",6.7,Extremely confortable beds,"??Leisure trip??Couple??Augustus Strip View, 2 Queens, Non-Smoking??Stayed 5 nights??Submitted from a mobile device",7 Reviews,26.820553000000004,30.802497999999996
479,Kenneth,United Kingdom,"Reviewed: September 24, 2016",8.8,Classy room BUT be aware of the ridiculous hidden costs.,"??Leisure trip??Family with older children??Forum Classic, 2 Queen Beds, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",13 Reviews,55.378051,-3.435973
480,Amber,United States of America,"Reviewed: September 23, 2016",9.6,A must stay!,"??Leisure trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,37.09024,-95.712891
481,Melissa,United States of America,"Reviewed: September 22, 2016",5.8,Mediocre hotel.. Can do better on the strip,"??Leisure trip??Couple??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,37.09024,-95.712891
482,Annemarie,United States of America,"Reviewed: September 22, 2016",10.0,We were thrilled with our room and what made our stay better...,"??Leisure trip??Couple??Augustus Strip View, 1 King, Non-Smoking??Stayed 1 night??Submitted from a mobile device",3 Reviews,37.09024,-95.712891
483,Lazyj,United States of America,"Reviewed: September 22, 2016",5.4,Not worth the premium price.,"??Business trip??Solo traveler??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night",1 review,37.09024,-95.712891
484,Ste,United Kingdom,"Reviewed: September 21, 2016",10.0,Overall an excellent hotel really friendly helpful staff facilities very good.,"??Leisure trip??Family with young children??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",2 Reviews,55.378051,-3.435973
485,Teresa,Canada,"Reviewed: September 21, 2016",4.6,Not the best,"??Leisure trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights",1 review,56.130366,-106.34677099999999
486,Juan,United States of America,"Reviewed: September 20, 2016",10.0,My stay was awsome because i was aware of what i was paying for and it was all due to Gemma.,"??Leisure trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",5 Reviews,37.09024,-95.712891
487,Theodorus,Australia,"Reviewed: September 19, 2016",8.3,Stayed 3 nights in September,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",3 Reviews,-25.274398,133.775136
488,Jody,Canada,"Reviewed: September 18, 2016",8.8,Great location with a newly renovated room!,"??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,56.130366,-106.34677099999999
489,Anna Bacelar,Brazil,"Reviewed: September 18, 2016",5.8,Indifferent Staff,"??Leisure trip??Family with older children??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 7 nights",2 Reviews,-14.235004,-51.92528
490,Dean,United Kingdom,"Reviewed: September 17, 2016",5.0,Over priced very impersonal service,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",2 Reviews,55.378051,-3.435973
491,Maximo,Brazil,"Reviewed: September 17, 2016",6.3,Swimming Pool,"??Leisure trip??Couple??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",1 review,-14.235004,-51.92528
492,Kamil,Canada,"Reviewed: September 16, 2016",7.5,"Didn't like the check in process, took to long and even...","??Leisure trip??Couple??Augustus Premium Room, 1 King, Smoking??Stayed 2 nights",3 Reviews,56.130366,-106.34677099999999
493,Hannah,Australia,"Reviewed: September 16, 2016",6.7,"Amazing location, bad reception staff","??Leisure trip??Group??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",2 Reviews,-25.274398,133.775136
494,Ann,Ireland,"Reviewed: September 15, 2016",8.3,Good,"??Leisure trip??Group??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",5 Reviews,53.41291,-8.243889999999999
495,Angus,Canada,"Reviewed: September 15, 2016",8.3,Great but room for improvement,"??Leisure trip??Couple??Augustus Premium Room, King, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,56.130366,-106.34677099999999
496,Cleopatra,United States of America,"Reviewed: September 15, 2016",7.5,Great,"??Leisure trip??Couple??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",5 Reviews,37.09024,-95.712891
497,Wayne,United Kingdom,"Reviewed: September 15, 2016",7.9,Nice but a lot of niggly issues,"??Leisure trip??Couple??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",5 Reviews,55.378051,-3.435973
498,Hayden,Australia,"Reviewed: September 12, 2016",2.5,RUDE STAFF!!!,"??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,-25.274398,133.775136
499,Kathryn,Australia,"Reviewed: September 12, 2016",5.0,Don't waste your money,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night",1 review,-25.274398,133.775136
500,Angela,Australia,"Reviewed: September 12, 2016",8.3,Great hotel and location. ,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",11 Reviews,-25.274398,133.775136
501,Andy,United Kingdom,"Reviewed: September 11, 2016",8.3,Good enough!,"??Leisure trip??Solo traveler??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",7 Reviews,55.378051,-3.435973
502,Liang,United States of America,"Reviewed: September 11, 2016",7.5,Exciting times!,"??Leisure trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",4 Reviews,37.09024,-95.712891
503,Andrea,United Kingdom,"Reviewed: September 10, 2016",8.3,Great hotel in the heart of Vegas,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",37 Reviews,55.378051,-3.435973
504,Carlos,Portugal,"Reviewed: September 9, 2016",8.8,Caesars.......live the life!,"??Leisure trip??Family with young children??Palace Premium Room, 2 Queen Beds, Non-Smoking??Stayed 2 nights",5 Reviews,39.399871999999995,-8.224454
505,Robert,Belgium,"Reviewed: September 9, 2016",6.7,Bien mais c'?tait mieux avant.,"??Leisure trip??Solo traveler??Palace Premium Studio Suite, 2 Queens, Non-Smoking??Stayed 7 nights",4 Reviews,50.503887,4.469936
506,Andy Renn,United Kingdom,"Reviewed: September 9, 2016",7.9,"Great value for money room / hotel, expensive add ons","??Leisure trip??Couple??Augustus Strip View, 1 King, Non-Smoking??Stayed 3 nights",11 Reviews,55.378051,-3.435973
507,Anonymous,United Kingdom,"Reviewed: September 8, 2016",7.1,Not good value for money,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",13 Reviews,55.378051,-3.435973
508,Yianoula,Australia,"Reviewed: September 8, 2016",7.5,Not 5 star,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",6 Reviews,-25.274398,133.775136
509,Martyn,United Kingdom,"Reviewed: September 7, 2016",5.0,As expected. Depressing.,"??Leisure trip??Family with young children??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 1 night??Submitted from a mobile device",5 Reviews,55.378051,-3.435973
510,Maven,United States of America,"Reviewed: September 7, 2016",7.5,The new automated checkin - there were some glitches but it...,"??Leisure trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",2 Reviews,37.09024,-95.712891
511,Brad,United States of America,"Reviewed: September 7, 2016",7.1,"Long walk to the Palace tower, and hard to find your way.","??Leisure trip??Couple??Palace Premium Studio Suite, 1 King, Non-Smoking??Stayed 2 nights",1 review,37.09024,-95.712891
512,Robert,United States of America,"Reviewed: September 6, 2016",7.5,Disappointed,"??Leisure trip??Couple??Augustus Strip View, 1 King, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",5 Reviews,37.09024,-95.712891
513,Marc,Luxembourg,"Reviewed: September 5, 2016",8.3,Had a wonderful large room with jacuzzi and shower.,"??Leisure trip??Family with young children??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",10 Reviews,49.815273,6.129583
514,Nikita,United Kingdom,"Reviewed: September 5, 2016",7.5,Hotel itself was magnificent,"??Leisure trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",2 Reviews,55.378051,-3.435973
515,Anonymous,United Kingdom,"Reviewed: September 5, 2016",8.8,Location was good.,"??Leisure trip??Solo traveler??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,55.378051,-3.435973
516,Sandrine,France,"Reviewed: September 4, 2016",9.2,The Italian shower.,??Leisure trip??Travelers with friends??2 rooms??Stayed 2 nights??Submitted from a mobile device,7 Reviews,46.227638,2.213749
517,Sue,United Kingdom,"Reviewed: September 4, 2016",9.2,It's Ceasar's Palace - enough said!,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night",8 Reviews,55.378051,-3.435973
518,Helen,New Zealand,"Reviewed: September 4, 2016",8.3,Be weiry of Upgrade!!,"??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",3 Reviews,-40.900557,174.88597099999998
519,Anonymous,United Kingdom,"Reviewed: September 4, 2016",8.3,To Vegas or not to vegas,"??Leisure trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 5 nights??Submitted from a mobile device",3 Reviews,55.378051,-3.435973
520,Marie,France,"Reviewed: September 4, 2016",10.0,Wonderful stay in this hotel !,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,46.227638,2.213749
521,Hamish,Cayman Islands,"Reviewed: September 4, 2016",7.5,Great location.,"??Leisure trip??Couple??Augustus Premium Room, King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",11 Reviews,19.513469,-80.566956
522,Murray,Canada,"Reviewed: September 2, 2016",7.1,Great location.,"??Leisure trip??Couple??Palace Premium Room, 1 King Bed, Non-Smoking??Stayed 2 nights",12 Reviews,56.130366,-106.34677099999999
523,Very,United Kingdom,"Reviewed: September 1, 2016",7.9,Very disappointing five times stayed at this hotel.,??Leisure trip??Family with young children??2 rooms??Stayed 5 nights,6 Reviews,55.378051,-3.435973
524,Amy,United States of America,"Reviewed: September 1, 2016",10.0,Great location with a wonderful bed.,"??Leisure trip??Couple??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",1 review,37.09024,-95.712891
525,Madeleine,United Kingdom,"Reviewed: September 1, 2016",8.3,'Breakfast included' is a $10 voucher! which at a push will get you small coffee and a biscuit!,"??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 5 nights??Submitted from a mobile device",25 Reviews,55.378051,-3.435973
526,Lorenzo,Italy,"Reviewed: September 1, 2016",10.0,Exceptional location,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",29 Reviews,41.87194,12.56738
527,Aliki,United Kingdom,"Reviewed: September 1, 2016",5.8,Avoid if possible,"??Leisure trip??Family with young children??Octavius Premium Room, 2 Queens, Non-Smoking??Stayed 5 nights??Submitted from a mobile device",2 Reviews,55.378051,-3.435973
528,Anonymous,Luxembourg,"Reviewed: August 31, 2016",9.2,Room was fabulous.,"??Leisure trip??Couple??Augustus Strip View, 1 King, Non-Smoking??Stayed 1 night??Submitted from a mobile device",5 Reviews,49.815273,6.129583
529,Robert,United Kingdom,"Reviewed: August 30, 2016",9.2,Great hotel but be careful of 'breakfast included' and poor room views.,"??Leisure trip??Family with older children??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 2 nights",17 Reviews,55.378051,-3.435973
530,GambleT05,United States of America,"Reviewed: August 30, 2016",8.8,Overall nice hotel.  Basic rooms are overpriced.,"??Leisure trip??Group??Palace Premium Room, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",3 Reviews,37.09024,-95.712891
531,Mazi,United States of America,"Reviewed: August 30, 2016",2.5,Worst experience ...worse than mote 6,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,37.09024,-95.712891
532,Ricahard,United States of America,"Reviewed: August 30, 2016",2.9,NEVER STAY AGAIN!,"??Business trip??Group??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 2 nights",1 review,37.09024,-95.712891
533,Jean-Marc F.,France,"Reviewed: August 29, 2016",7.5,"Large and nice room, quiet, as you can expect.","??Leisure trip??Family with young children??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 1 night",12 Reviews,46.227638,2.213749
534,Sean,United States of America,"Reviewed: August 29, 2016",10.0,The bed was amazing and the room was gorgeous.,"??Leisure trip??Couple??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,37.09024,-95.712891
535,Jade,United Kingdom,"Reviewed: August 27, 2016",9.6,Excellent,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",2 Reviews,55.378051,-3.435973
536,Ailene,Belgium,"Reviewed: August 27, 2016",9.2,It's is a superb hotel.,"??Leisure trip??Group??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",4 Reviews,50.503887,4.469936
537,Bushra,Pakistan,"Reviewed: August 26, 2016",5.0,You ruined my trip.,"??Leisure trip??Group??Palace Premium Room, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",2 Reviews,30.375321000000003,69.345116
538,Anonymous,Romania,"Reviewed: August 26, 2016",9.6,Very happy with,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night",14 Reviews,45.943160999999996,24.96676
539,Alexandra,United States of America,"Reviewed: August 25, 2016",9.6,great fun but be careful,"??Leisure trip??Couple??Julius Deluxe Room, 1 King, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,37.09024,-95.712891
540,Shelley,France,"Reviewed: August 25, 2016",6.7,Impersonal service,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",10 Reviews,46.227638,2.213749
541,Michael,United Kingdom,"Reviewed: August 25, 2016",4.6,Poor staff and over crowded,"??Leisure trip??Couple??Augustus Premium Room, 1 King, Smoking??Stayed 2 nights??Submitted from a mobile device",2 Reviews,55.378051,-3.435973
542,Susan,United States of America,"Reviewed: August 22, 2016",10.0,"It was newer than we thought, everything was under one roof.","??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights",1 review,37.09024,-95.712891
543,Vegas,United Kingdom,"Reviewed: August 22, 2016",8.3,Short but Sweet,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,55.378051,-3.435973
544,Adriaan,Taiwan,"Reviewed: August 22, 2016",6.7,"Nice historical hotel, but only worth one stay to say you stayed there","??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",3 Reviews,23.69781,120.96051499999999
545,Las,United States of America,"Reviewed: August 22, 2016",7.1,"Handicapped room in lieu of ..,","??Family with older children??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",4 Reviews,37.09024,-95.712891
546,Alessandro,Italy,"Reviewed: August 22, 2016",7.1,"Stay away, they cheat on the price!!!","??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",19 Reviews,41.87194,12.56738
547,Amanda,United States of America,"Reviewed: August 21, 2016",8.3,Check in and out was quick and easy.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",1 review,37.09024,-95.712891
548,Selenajeff,United States of America,"Reviewed: August 20, 2016",10.0,Cesar's redemption with suite upgrade,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,37.09024,-95.712891
549,Carolyn,United States of America,"Reviewed: August 20, 2016",10.0,perfect place to stay to introduce 11 yr old granddaughter to Las Vegas.,"??Leisure trip??Family with young children??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",1 review,37.09024,-95.712891
550,Timea,United States of America,"Reviewed: August 20, 2016",6.7,Desapointed by the personal and hotel mind set,"??Leisure trip??Group??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",19 Reviews,37.09024,-95.712891
551,Rocky,United States of America,"Reviewed: August 20, 2016",7.9,"Great hotel, Rude staff","??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night",1 review,37.09024,-95.712891
552,J,Ireland,"Reviewed: August 20, 2016",7.9,Caesar's Palaccccceee babyyyyy,"??Leisure trip??Group??Palace Premium Studio Suite, 2 Queens, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",1 review,53.41291,-8.243889999999999
553,Aidan,New Zealand,"Reviewed: August 18, 2016",7.9,Stung at checkout,"??Leisure trip??Couple??Augustus Strip View, 2 Queens, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",6 Reviews,-40.900557,174.88597099999998
554,Mabanks,United States of America,"Reviewed: August 18, 2016",8.3,The bathroom was nice and spacious.,"??Leisure trip??Group??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,37.09024,-95.712891
555,Wendy,New Zealand,"Reviewed: August 18, 2016",10.0,Amazing stay at Caesars will def be back.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights",7 Reviews,-40.900557,174.88597099999998
556,Abbi,United Kingdom,"Reviewed: August 17, 2016",7.9,Good location poor breakfast - don't pay extra for it.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",4 Reviews,55.378051,-3.435973
557,Linda,United States of America,"Reviewed: August 17, 2016",8.5,A fall visit may be better,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",5 Reviews,37.09024,-95.712891
558,Kristyna,Czech Republic,"Reviewed: August 16, 2016",9.6,We were upgraded to a suite which was actually bigger than...,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night",4 Reviews,49.817492,15.472961999999999
559,Eduardo,Spain,"Reviewed: August 16, 2016",6.3,They try to squeeze more money out of you.,"??Leisure trip??Group??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",17 Reviews,40.463667,-3.7492199999999998
560,Shona,New Zealand,"Reviewed: August 15, 2016",7.1,Good central location,"??Leisure trip??Family with older children??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,-40.900557,174.88597099999998
561,V&connor,United States of America,"Reviewed: August 15, 2016",7.5,"Enjoyed our stay, as well as just beig in Vegas.","??Leisure trip??Family with young children??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,37.09024,-95.712891
562,Princess,United States of America,"Reviewed: August 15, 2016",10.0,My husband and i had an amazing time.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",1 review,37.09024,-95.712891
563,Brijesh,India,"Reviewed: August 14, 2016",4.6,Misinformation about breakfast.,"??Leisure trip??Family with young children??Julius Deluxe Room, 2 Queens, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",1 review,20.593684,78.96288
564,A,Oman,"Reviewed: August 14, 2016",6.3,Staff not up to it.,"??Leisure trip??Group??Octavius Premium Room, 2 Queens, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",2 Reviews,21.512583,55.923255000000005
565,jducrosd,France,"Reviewed: August 13, 2016",9.6,Excellent and luxurious,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night",22 Reviews,46.227638,2.213749
566,Achraf Safieddine,United States of America,"Reviewed: August 13, 2016",7.5,Old but still standing,??Leisure trip??Family with young children??2 rooms??Stayed 3 nights??Submitted from a mobile device,19 Reviews,37.09024,-95.712891
567,Mike,United States of America,"Reviewed: August 12, 2016",8.8,Nice place but not a great value for the money,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",3 Reviews,37.09024,-95.712891
568,Donal,Ireland,"Reviewed: August 12, 2016",9.6,Great place has everything,"??Leisure trip??Group??Octavius Premium Room, 2 Queens, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",7 Reviews,53.41291,-8.243889999999999
569,Vanessa,United States of America,"Reviewed: August 12, 2016",7.9,We spent quite a bit and were charged for small things that should have been included,"??Leisure trip??Couple??Palace Premium Room, 1 King Bed, Non-Smoking??Stayed 2 nights",1 review,37.09024,-95.712891
570,Liz,Australia,"Reviewed: August 11, 2016",7.5,I enjoyed the whole experience,"??Leisure trip??Couple??Octavius Premium Room, 1 King, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",7 Reviews,-25.274398,133.775136
571,Susan,Philippines,"Reviewed: August 9, 2016",8.3,Good but shortchanged.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights??Submitted from a mobile device",3 Reviews,12.879721,121.77401699999999
572,Michal,Czech Republic,"Reviewed: August 9, 2016",9.2,Great hotel on Las Vegas strip.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",55 Reviews,49.817492,15.472961999999999
573,Jennie,United Kingdom,"Reviewed: August 8, 2016",5.0,Awful stay at Caesars,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights??Submitted from a mobile device",3 Reviews,55.378051,-3.435973
574,Adel,Kuwait,"Reviewed: August 8, 2016",8.8,Beautiful Experience,"??Leisure trip??Family with older children??Forum Classic, 1 King Bed, Non-Smoking??Stayed 5 nights??Submitted from a mobile device",1 review,29.311659999999996,47.481766
575,Margaret,United States of America,"Reviewed: August 8, 2016",6.7,Brunch was very good.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 3 nights",1 review,37.09024,-95.712891
576,Srikrishna,United Arab Emirates,"Reviewed: August 7, 2016",7.1,Good,"??Leisure trip??Family with older children??Augustus Premium Room, 2 Queens, Smoking??Stayed 4 nights??Submitted from a mobile device",1 review,23.424076,53.847818000000004
577,Teri,United States of America,"Reviewed: August 6, 2016",10.0,Always so much fun!,"??Leisure trip??Couple??Palace Premium Studio Suite, 1 King, Non-Smoking??Stayed 4 nights??Submitted from a mobile device",2 Reviews,37.09024,-95.712891
578,Philippa,United States of America,"Reviewed: August 6, 2016",7.1,Juno garden wedding stay,"??Leisure trip??Family with young children??Forum Classic, 1 King Bed, Non-Smoking??Stayed 1 night??Submitted from a mobile device",1 review,37.09024,-95.712891
579,Laurent,France,"Reviewed: August 6, 2016",10.0,PERFECTION,"??Leisure trip??Family with older children??Forum Classic, 1 King Bed, Non-Smoking??Stayed 2 nights",20 Reviews,46.227638,2.213749
580,Robert,United Kingdom,"Reviewed: August 6, 2016",9.6,Fantastic start to our holiday in the iconic Caesar's Palace in Vegas. What's not to love?,"??Leisure trip??Family with older children??Augustus Strip View, 2 Queens, Non-Smoking??Stayed 4 nights",17 Reviews,55.378051,-3.435973
581,Tareq,United Arab Emirates,"Reviewed: August 4, 2016",7.1,Good to stay but not to sleep,"??Leisure trip??Family with young children??Forum Classic, 1 King Bed, Non-Smoking??Stayed 6 nights??Submitted from a mobile device",11 Reviews,23.424076,53.847818000000004
582,Breda,Ireland,"Reviewed: August 4, 2016",9.6,Lovely Hotel to stay in.,"??Leisure trip??Couple??Forum Classic, 1 King Bed, Non-Smoking??Stayed 5 nights??Submitted from a mobile device",3 Reviews,53.41291,-8.243889999999999
583,Weiping,China,"Reviewed: August 4, 2016",7.1,good but,"??Leisure trip??Solo traveler??Octavius Premium Room, 2 Queens, Non-Smoking??Stayed 3 nights",8 Reviews,35.86166,104.195397
584,Amaury,United Arab Emirates,"Reviewed: August 3, 2016",4.2,A total disaster,"??Leisure trip??Group??Augustus Premium Room, 2 Queens, Smoking??Stayed 2 nights",1 review,23.424076,53.847818000000004
